# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.000526  ,-0.014045 ,7.942066  ,7.965455  ,0.023838  ,-0.034545 ,100.000000,-0.003037 ,0.603518  
0.020000  ,0.159383  ,-0.015474 ,7.944237  ,7.947669  ,0.024709  ,-0.052331 ,0.090000  ,0.000246  ,0.379843  
0.040000  ,0.318264  ,-0.016933 ,7.944556  ,8.137467  ,0.017831  ,0.137467  ,0.170000  ,0.004095  ,0.121768  
0.060000  ,0.477330  ,-0.018357 ,7.962465  ,7.927896  ,0.015894  ,-0.072104 ,0.170000  ,0.006535  ,-0.091154 
0.080000  ,0.636449  ,-0.019664 ,7.950566  ,7.955273  ,0.013891  ,-0.044727 ,0.260000  ,0.007559  ,-0.181770 
0.100000  ,0.795460  ,-0.020876 ,7.951003  ,7.938663  ,0.011576  ,-0.061338 ,0.340000  ,0.007334  ,-0.146414 
0.120000  ,0.954431  ,-0.021981 ,7.946755  ,7.978054  ,0.008951  ,-0.021946 ,0.430000  ,0.006218  ,-0.028414 
0.140000  ,1.113393  ,-0.022937 ,7.949661  ,8.151015  ,0.006789  ,0.151015  ,0.520000  ,0.004466  ,0.137895  
0.160000  ,1.272574  ,-0.023690 ,7.968354  ,8.052031  ,0.004795  ,0.052030  ,0.520000  ,0.002398  ,0.325239  
0.180000  ,1.432018  ,-0.024175 ,7.976123  ,8.037514  ,0.003061  ,0.037514  ,0.600000  ,-0.000151 ,0.516307  
0.200000  ,1.591598  ,-0.024325 ,7.981822  ,8.106208  ,0.000000  ,0.106208  ,0.690000  ,-0.003170 ,0.702437  
0.220000  ,1.751352  ,-0.024230 ,7.993370  ,7.959454  ,0.000508  ,-0.040546 ,0.770000  ,-0.004734 ,0.825725  
0.240000  ,1.911096  ,-0.024005 ,7.981695  ,8.030496  ,0.000493  ,0.030496  ,0.860000  ,-0.004985 ,0.822960  
0.260000  ,2.070776  ,-0.023655 ,7.986226  ,7.970890  ,0.001343  ,-0.029110 ,0.860000  ,-0.004248 ,0.696889  
0.280000  ,2.230444  ,-0.023223 ,7.980947  ,7.910786  ,0.002106  ,-0.089214 ,0.950000  ,-0.002368 ,0.493626  
0.300000  ,2.389808  ,-0.022785 ,7.956796  ,8.094708  ,0.000000  ,0.094708  ,1.030000  ,0.000079  ,0.250165  
0.320000  ,2.549073  ,-0.022423 ,7.969600  ,8.018150  ,0.003639  ,0.018150  ,1.120000  ,0.002908  ,0.009318  
0.340000  ,2.708510  ,-0.022143 ,7.974107  ,7.935157  ,0.004502  ,-0.064843 ,1.200000  ,0.005450  ,-0.241135 
0.360000  ,2.867851  ,-0.021869 ,7.960699  ,8.065251  ,0.005331  ,0.065251  ,1.200000  ,0.007468  ,-0.378316 
0.380000  ,3.027163  ,-0.021570 ,7.970406  ,7.912502  ,0.006129  ,-0.087498 ,1.290000  ,0.007357  ,-0.383509 
0.400000  ,3.186361  ,-0.021246 ,7.950474  ,8.044698  ,0.000000  ,0.044698  ,1.380000  ,0.006217  ,-0.281837 
0.420000  ,3.345459  ,-0.020860 ,7.959222  ,7.933266  ,0.007549  ,-0.066734 ,1.460000  ,0.004329  ,0.114644  
0.440000  ,3.504548  ,-0.020355 ,7.950287  ,7.986328  ,0.008078  ,-0.013672 ,1.550000  ,0.001936  ,0.088993  
0.460000  ,3.663586  ,-0.019660 ,7.953633  ,7.876238  ,0.008374  ,-0.123763 ,1.550000  ,-0.000591 ,0.306531  
0.480000  ,3.822376  ,-0.018700 ,7.926992  ,7.944625  ,0.008398  ,-0.055375 ,1.640000  ,-0.003854 ,0.528314  
0.500000  ,3.980928  ,-0.017559 ,7.928629  ,7.990177  ,0.000000  ,-0.009823 ,1.720000  ,-0.006398 ,0.691717  
0.520000  ,4.139554  ,-0.016330 ,7.934343  ,8.013833  ,0.007931  ,0.013833  ,1.810000  ,-0.006825 ,0.719415  
0.540000  ,4.298310  ,-0.015007 ,7.941723  ,7.987283  ,0.007528  ,-0.012717 ,1.890000  ,-0.006234 ,0.615676  
0.560000  ,4.457181  ,-0.013627 ,7.945952  ,7.871251  ,0.007029  ,-0.128749 ,1.890000  ,-0.004882 ,0.431039  
0.580000  ,4.615823  ,-0.012262 ,7.920238  ,8.007691  ,0.006539  ,0.007691  ,1.980000  ,-0.002693 ,0.202635  
0.600000  ,4.774305  ,-0.010990 ,7.928357  ,7.907489  ,0.006121  ,-0.092511 ,2.070000  ,0.000161  ,0.044527  
0.620000  ,4.932793  ,-0.009893 ,7.921174  ,7.973253  ,0.005860  ,-0.026747 ,2.150000  ,0.002844  ,0.293017  
0.640000  ,5.091262  ,-0.008900 ,7.926009  ,8.013767  ,0.005685  ,0.013767  ,2.240000  ,0.004901  ,-0.480326 
0.660000  ,5.249862  ,-0.007922 ,7.934156  ,8.069997  ,0.005491  ,0.069997  ,2.240000  ,0.005805  ,-0.533588 
0.680000  ,5.408670  ,-0.006975 ,7.946768  ,8.089499  ,0.005327  ,0.089499  ,2.320000  ,0.005696  ,-0.455622 
0.700000  ,5.567737  ,-0.006028 ,7.960019  ,8.002204  ,0.005150  ,0.002203  ,2.410000  ,0.003338  ,0.295522  
0.720000  ,5.726973  ,-0.005025 ,7.963935  ,7.977854  ,0.004904  ,-0.022146 ,2.500000  ,0.001103  ,0.089759  
0.740000  ,5.886261  ,-0.003894 ,7.965227  ,7.997826  ,0.004517  ,-0.002174 ,2.580000  ,-0.001529 ,0.136669  
0.760000  ,6.045591  ,-0.002556 ,7.968254  ,7.967992  ,0.003904  ,-0.032008 ,2.580000  ,-0.004724 ,0.366250  
0.780000  ,6.204948  ,-0.001091 ,7.968164  ,8.090136  ,0.003163  ,0.090136  ,2.670000  ,-0.006888 ,0.537003  
0.800000  ,6.364419  ,0.000410  ,7.979487  ,7.986655  ,0.002381  ,-0.013345 ,2.750000  ,-0.008134 ,0.576283  
0.820000  ,6.524008  ,0.001956  ,7.980153  ,7.992817  ,0.001547  ,-0.007183 ,2.840000  ,-0.006663 ,0.487593  
0.840000  ,6.683615  ,0.003512  ,7.981329  ,7.959662  ,0.000698  ,-0.040338 ,2.930000  ,-0.005074 ,0.319612  
0.860000  ,6.843156  ,0.005019  ,7.973871  ,8.046817  ,0.000098  ,0.046817  ,2.930000  ,-0.003253 ,0.106455  
0.880000  ,7.002696  ,0.006402  ,7.980643  ,8.055633  ,0.000770  ,0.055633  ,3.010000  ,-0.000479 ,0.126282  
0.900000  ,7.162375  ,0.007585  ,7.987605  ,7.860727  ,0.001238  ,-0.139273 ,3.100000  ,0.002567  ,0.359672  
0.920000  ,7.321665  ,0.008480  ,7.943930  ,7.861510  ,0.001415  ,-0.138490 ,3.180000  ,0.005944  ,-0.593625 
0.940000  ,7.480243  ,0.009176  ,7.915559  ,8.124787  ,0.001377  ,0.124787  ,3.180000  ,0.008784  ,-0.771937 
0.960000  ,7.638750  ,0.009761  ,7.934984  ,8.058541  ,0.001221  ,0.058541  ,3.270000  ,0.009606  ,-0.805183 
0.980000  ,7.797565  ,0.010220  ,7.946455  ,8.016475  ,0.000924  ,0.016475  ,3.360000  ,0.009149  ,-0.696681 
1.000000  ,7.956560  ,0.010596  ,7.952955  ,8.030093  ,0.000527  ,0.030093  ,3.440000  ,0.008110  ,-0.505072 
1.020000  ,8.115691  ,0.010956  ,7.960117  ,7.920146  ,0.000095  ,-0.079854 ,3.530000  ,0.005888  ,-0.268084 
1.040000  ,8.274748  ,0.011385  ,7.946358  ,8.154656  ,0.000318  ,0.154656  ,3.530000  ,0.003453  ,0.011765  
1.060000  ,8.433870  ,0.011969  ,7.965696  ,8.080010  ,0.000587  ,0.080010  ,3.610000  ,0.000659  ,0.243418  
1.080000  ,8.593289  ,0.012797  ,7.976309  ,7.975319  ,0.000644  ,-0.024681 ,3.700000  ,-0.002910 ,0.483038  
1.100000  ,8.752807  ,0.013952  ,7.975968  ,7.877087  ,0.000409  ,-0.122913 ,3.790000  ,-0.005119 ,0.703937  
1.120000  ,8.911962  ,0.015334  ,7.941931  ,7.995949  ,0.000021  ,-0.004051 ,3.870000  ,-0.007044 ,0.861366  
1.140000  ,9.070844  ,0.016850  ,7.946946  ,8.030491  ,0.000503  ,0.030491  ,3.870000  ,-0.008299 ,0.880420  
1.160000  ,9.229853  ,0.018517  ,7.954702  ,8.032663  ,0.001114  ,0.032663  ,3.960000  ,-0.007199 ,0.760535  
1.180000  ,9.389011  ,0.020290  ,7.961940  ,8.052352  ,0.000000  ,0.052352  ,4.040000  ,-0.005144 ,0.557629  
1.200000  ,9.548324  ,0.022098  ,7.970334  ,7.992891  ,0.002433  ,-0.007109 ,4.130000  ,-0.002445 ,0.310270  
1.220000  ,9.707742  ,0.023855  ,7.972428  ,7.998466  ,0.002976  ,-0.001534 ,4.220000  ,0.000726  ,0.045743  
1.240000  ,9.867207  ,0.025468  ,7.974845  ,8.018671  ,0.003247  ,0.018671  ,4.220000  ,0.003763  ,0.217656  
1.260000  ,10.026738 ,0.027004  ,7.978914  ,8.034876  ,0.003414  ,0.034876  ,4.300000  ,0.006495  ,0.417525  
1.280000  ,10.186361 ,0.028548  ,7.984109  ,8.049220  ,0.000000  ,0.049220  ,4.390000  ,0.007402  ,0.482475  
1.300000  ,10.346097 ,0.030079  ,7.990154  ,8.054539  ,0.003531  ,0.054539  ,4.480000  ,0.007544  ,0.415382  
1.320000  ,10.505953 ,0.031625  ,7.996132  ,8.151177  ,0.003479  ,0.151177  ,4.560000  ,0.006681  ,0.264496  
1.340000  ,10.666013 ,0.033239  ,8.010526  ,8.030395  ,0.003316  ,0.071328  ,4.560000  ,0.003450  ,0.065988  
1.360000  ,10.826233 ,0.034989  ,8.012371  ,7.881381  ,0.003252  ,-0.078758 ,4.650000  ,0.001509  ,0.154442  
1.380000  ,10.985994 ,0.036949  ,7.967281  ,8.038546  ,0.000000  ,0.038546  ,4.730000  ,0.000439  ,0.387872  
1.400000  ,11.145391 ,0.039198  ,7.973897  ,7.888528  ,0.003552  ,-0.111472 ,4.820000  ,-0.002066 ,0.617304  
1.420000  ,11.304538 ,0.041815  ,7.944511  ,7.958024  ,0.004065  ,-0.041977 ,4.910000  ,-0.004648 ,0.835443  
1.440000  ,11.463414 ,0.044716  ,7.945765  ,8.112513  ,0.004632  ,0.112513  ,4.910000  ,-0.007750 ,0.984853  
1.460000  ,11.622456 ,0.047810  ,7.961246  ,8.144658  ,0.005347  ,0.144658  ,4.990000  ,-0.007587 ,0.986637  
1.480000  ,11.781819 ,0.051098  ,7.978274  ,7.980961  ,0.000000  ,-0.019039 ,5.080000  ,-0.008087 ,0.849097  
1.500000  ,11.941350 ,0.054526  ,7.978523  ,7.958410  ,0.006915  ,-0.041590 ,5.160000  ,-0.003528 ,0.630490  
1.520000  ,12.100810 ,0.058009  ,7.971600  ,7.936794  ,0.007623  ,-0.063206 ,5.250000  ,-0.000354 ,0.370724  
1.540000  ,12.260079 ,0.061454  ,7.959619  ,8.084699  ,0.007996  ,0.084699  ,5.250000  ,0.002237  ,0.094541  
1.560000  ,12.419354 ,0.064770  ,7.971231  ,7.952976  ,0.008190  ,-0.047024 ,5.340000  ,0.006353  ,0.178881  
1.580000  ,12.578679 ,0.068027  ,7.964947  ,8.057790  ,0.000000  ,0.057790  ,5.420000  ,0.009599  ,0.386919  
1.600000  ,12.738032 ,0.071302  ,7.973567  ,8.027826  ,0.008000  ,0.027826  ,5.510000  ,0.011172  ,0.458268  
1.620000  ,12.897521 ,0.074575  ,7.978604  ,7.892149  ,0.007658  ,-0.107851 ,5.590000  ,0.011591  ,0.395909  
1.640000  ,13.056745 ,0.077867  ,7.948844  ,8.050126  ,0.006966  ,0.050126  ,5.590000  ,0.010749  ,0.250276  
1.660000  ,13.215782 ,0.081230  ,7.958247  ,8.189130  ,0.006293  ,0.189130  ,5.680000  ,0.009604  ,0.055128  
1.680000  ,13.375125 ,0.084737  ,7.979682  ,8.062999  ,0.000000  ,0.062999  ,5.770000  ,0.007466  ,0.161300  
1.700000  ,13.534754 ,0.088464  ,7.987417  ,7.861078  ,0.004847  ,-0.138922 ,5.850000  ,0.006286  ,0.379904  
1.720000  ,13.693994 ,0.092473  ,7.943928  ,8.080226  ,0.004217  ,0.080225  ,5.940000  ,0.004179  ,0.602851  
1.740000  ,13.852940 ,0.096842  ,7.956582  ,8.102406  ,0.003495  ,0.102406  ,5.940000  ,0.001223  ,0.814599  
1.760000  ,14.012136 ,0.101656  ,7.970120  ,7.965607  ,0.003149  ,-0.034393 ,6.020000  ,-0.001127 ,0.995481  
1.780000  ,14.171433 ,0.106974  ,7.968567  ,8.111414  ,0.000000  ,0.111414  ,6.110000  ,-0.003557 ,1.152199  
1.800000  ,14.330836 ,0.112695  ,7.981828  ,8.123389  ,0.003152  ,0.123389  ,6.200000  ,-0.005018 ,1.235154  
1.820000  ,14.490493 ,0.118702  ,7.994971  ,8.047948  ,0.003262  ,0.047947  ,6.280000  ,-0.004889 ,1.178916  
1.840000  ,14.650319 ,0.124967  ,7.999889  ,7.988777  ,0.003067  ,-0.011223 ,6.280000  ,-0.003834 ,0.997051  
1.860000  ,14.810147 ,0.131416  ,7.996064  ,7.972386  ,0.002984  ,-0.027614 ,6.370000  ,-0.001430 ,0.744006  
1.880000  ,14.969848 ,0.137954  ,7.987913  ,8.029097  ,0.002718  ,0.029097  ,6.450000  ,0.001308  ,0.456243  
1.900000  ,15.129512 ,0.144486  ,7.991737  ,7.998255  ,0.002162  ,-0.001745 ,6.540000  ,0.004217  ,0.157762  
1.920000  ,15.289217 ,0.151072  ,7.992342  ,8.059701  ,0.001366  ,0.059701  ,6.630000  ,0.006328  ,0.083430  
1.940000  ,15.448986 ,0.157781  ,7.998596  ,8.043651  ,0.000104  ,0.043651  ,6.630000  ,0.008053  ,0.191638  
1.960000  ,15.608856 ,0.164581  ,8.002779  ,8.115303  ,0.001139  ,0.154331  ,6.710000  ,0.006282  ,0.167207  
1.980000  ,15.768868 ,0.171485  ,8.013225  ,7.894353  ,0.002554  ,-0.066681 ,6.800000  ,0.006243  ,0.056769  
2.000000  ,15.928548 ,0.178515  ,7.972307  ,7.924034  ,0.004084  ,-0.075966 ,6.880000  ,0.003364  ,0.108955  
2.020000  ,16.087656 ,0.185720  ,7.955690  ,7.909433  ,0.005649  ,-0.090567 ,6.970000  ,-0.000797 ,0.307238  
2.040000  ,16.246427 ,0.193175  ,7.939767  ,7.977586  ,0.007318  ,-0.022414 ,6.970000  ,-0.003066 ,0.517650  
