# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.091178 ,-0.027908 ,7.996476  ,8.000000  ,0.009146  ,-0.073793 ,100.000000,0.020612  ,-6.257847 
0.020000  ,0.068360  ,-0.039133 ,7.996804  ,8.000000  ,0.000634  ,0.083997  ,100.000000,0.187865  ,-5.951009 
0.040000  ,0.227784  ,-0.051949 ,7.997100  ,8.000000  ,0.013466  ,-0.007481 ,0.090000  ,0.095225  ,-5.126909 
0.060000  ,0.387105  ,-0.066060 ,7.997370  ,8.000000  ,0.031518  ,-0.018139 ,0.170000  ,0.091307  ,-4.092906 
0.080000  ,0.546384  ,-0.080695 ,7.997614  ,8.000000  ,0.046528  ,0.077899  ,0.260000  ,0.168709  ,-2.848337 
0.100000  ,0.705661  ,-0.095399 ,7.997835  ,8.000000  ,0.062113  ,0.021914  ,0.340000  ,0.101437  ,-1.406025 
0.120000  ,0.864998  ,-0.109490 ,7.998036  ,8.000000  ,0.077679  ,0.052543  ,0.340000  ,0.123895  ,0.166583  
0.140000  ,1.024466  ,-0.122042 ,7.998219  ,8.000000  ,0.091643  ,-0.030244 ,0.430000  ,0.019905  ,1.909646  
0.160000  ,1.184076  ,-0.132689 ,7.998384  ,8.000000  ,0.103511  ,0.086444  ,0.520000  ,0.113638  ,3.718560  
0.180000  ,1.343827  ,-0.141019 ,7.998534  ,8.000000  ,0.113081  ,-0.035205 ,0.600000  ,-0.030748 ,5.357659  
0.200000  ,1.503691  ,-0.146858 ,7.998670  ,8.000000  ,0.120201  ,-0.011759 ,0.690000  ,-0.027252 ,6.645150  
0.220000  ,1.663640  ,-0.149560 ,7.998794  ,8.000000  ,0.124138  ,0.007590  ,0.690000  ,-0.025809 ,7.597677  
0.240000  ,1.823614  ,-0.149224 ,7.998906  ,8.000000  ,0.125033  ,-0.021552 ,0.770000  ,-0.071887 ,8.212124  
0.260000  ,1.983564  ,-0.146244 ,7.999007  ,8.000000  ,0.123273  ,0.080467  ,0.860000  ,0.019017  ,8.287878  
0.280000  ,2.143451  ,-0.140810 ,7.999099  ,8.000000  ,0.119047  ,0.030263  ,0.950000  ,-0.034867 ,7.788186  
0.300000  ,2.303259  ,-0.133339 ,7.999183  ,8.000000  ,0.112768  ,-0.019195 ,1.030000  ,-0.083171 ,6.811529  
0.320000  ,2.462966  ,-0.123941 ,7.999259  ,8.000000  ,0.104526  ,-0.018848 ,1.030000  ,-0.080242 ,5.571079  
0.340000  ,2.622580  ,-0.113045 ,7.999328  ,8.000000  ,0.094780  ,0.000655  ,1.120000  ,-0.055266 ,4.274128  
0.360000  ,2.782140  ,-0.101359 ,7.999390  ,8.000000  ,0.084225  ,-0.064750 ,1.200000  ,-0.112478 ,2.923771  
0.380000  ,2.941679  ,-0.089372 ,7.999447  ,8.000000  ,0.073351  ,-0.105904 ,1.290000  ,-0.143450 ,1.524356  
0.400000  ,3.101243  ,-0.077723 ,7.999498  ,8.000000  ,0.062795  ,-0.016989 ,1.380000  ,-0.041997 ,0.100023  
0.420000  ,3.260879  ,-0.067078 ,7.999545  ,8.000000  ,0.053202  ,-0.034676 ,1.380000  ,-0.043516 ,1.368179  
0.440000  ,3.420621  ,-0.058177 ,7.999587  ,8.000000  ,0.045347  ,0.013934  ,1.460000  ,0.024438  ,2.910861  
0.460000  ,3.580457  ,-0.051131 ,7.999625  ,8.000000  ,0.039327  ,-0.016140 ,1.550000  ,0.017777  ,-4.365214 
0.480000  ,3.740361  ,-0.045812 ,7.999660  ,8.000000  ,0.035013  ,0.016627  ,1.640000  ,0.060201  ,-5.397795 
0.500000  ,3.900311  ,-0.042128 ,7.999692  ,8.000000  ,0.032312  ,0.018905  ,1.720000  ,0.070720  ,-5.814684 
0.520000  ,4.060291  ,-0.040025 ,7.999720  ,8.000000  ,0.031151  ,0.016757  ,1.720000  ,0.075806  ,-5.631875 
0.540000  ,4.220284  ,-0.039279 ,7.999746  ,8.000000  ,0.031340  ,0.069317  ,1.810000  ,0.125407  ,-4.970699 
0.560000  ,4.380278  ,-0.039628 ,7.999770  ,8.000000  ,0.032603  ,0.051957  ,1.890000  ,0.101470  ,-3.974525 
0.580000  ,4.540272  ,-0.040303 ,7.999791  ,8.000000  ,0.034172  ,0.000378  ,1.980000  ,0.038042  ,-2.669726 
0.600000  ,4.700268  ,-0.040832 ,7.999811  ,8.000000  ,0.035575  ,-0.014541 ,2.070000  ,0.007567  ,-1.111775 
0.620000  ,4.860264  ,-0.040853 ,7.999828  ,8.000000  ,0.036433  ,0.036550  ,2.070000  ,0.043008  ,0.494840  
0.640000  ,5.020259  ,-0.040264 ,7.999844  ,8.000000  ,0.036675  ,-0.027371 ,2.150000  ,-0.037066 ,1.876813  
0.660000  ,5.180251  ,-0.039007 ,7.999859  ,8.000000  ,0.036231  ,0.015360  ,2.240000  ,-0.005941 ,2.813035  
0.680000  ,5.340229  ,-0.036560 ,7.999872  ,8.000000  ,0.034581  ,0.028983  ,2.320000  ,-0.001912 ,3.361863  
0.700000  ,5.500187  ,-0.032977 ,7.999884  ,8.000000  ,0.031780  ,0.039680  ,2.410000  ,0.002173  ,3.616527  
0.720000  ,5.660113  ,-0.028202 ,7.999894  ,8.000000  ,0.027760  ,-0.056664 ,2.410000  ,-0.100590 ,3.595236  
0.740000  ,5.819999  ,-0.022248 ,7.999904  ,8.000000  ,0.022557  ,0.007700  ,2.500000  ,-0.038877 ,3.386079  
0.760000  ,5.979850  ,-0.015373 ,7.999913  ,8.000000  ,0.016422  ,-0.011536 ,2.580000  ,-0.062344 ,3.002415  
0.780000  ,6.139683  ,-0.008102 ,7.999921  ,8.000000  ,0.009881  ,-0.045993 ,2.670000  ,-0.088788 ,2.363899  
0.800000  ,6.299498  ,-0.000447 ,7.999929  ,8.000000  ,0.002948  ,0.075311  ,2.750000  ,0.038111  ,1.543366  
0.820000  ,6.459327  ,0.006911  ,7.999935  ,8.000000  ,0.003698  ,0.002951  ,2.750000  ,-0.027177 ,0.576942  
0.840000  ,6.619184  ,0.013647  ,7.999941  ,8.000000  ,0.009722  ,-0.089787 ,2.840000  ,-0.107440 ,0.535017  
0.860000  ,6.779065  ,0.019790  ,7.999947  ,8.000000  ,0.015154  ,0.012262  ,2.930000  ,0.006045  ,1.571876  
0.880000  ,6.938979  ,0.024985  ,7.999952  ,8.000000  ,0.019638  ,0.070231  ,3.010000  ,0.074659  ,-2.404150 
0.900000  ,7.098934  ,0.028714  ,7.999956  ,8.000000  ,0.022655  ,0.014307  ,3.100000  ,0.030230  ,-3.129542 
0.920000  ,7.258914  ,0.031152  ,7.999960  ,8.000000  ,0.024367  ,-0.049112 ,3.100000  ,-0.023050 ,-3.684485 
0.940000  ,7.418907  ,0.032552  ,7.999964  ,8.000000  ,0.025036  ,-0.007524 ,3.180000  ,0.023741  ,-3.864893 
0.960000  ,7.578906  ,0.032857  ,7.999967  ,8.000000  ,0.024601  ,-0.014340 ,3.270000  ,0.020850  ,-3.675907 
0.980000  ,7.738902  ,0.031903  ,7.999970  ,8.000000  ,0.022895  ,-0.001640 ,3.360000  ,0.032795  ,-3.318278 
1.000000  ,7.898891  ,0.030053  ,7.999973  ,8.000000  ,0.020276  ,0.067267  ,3.440000  ,0.100922  ,-2.859396 
1.020000  ,8.058869  ,0.027490  ,7.999976  ,8.000000  ,0.016903  ,0.043608  ,3.440000  ,0.076257  ,-2.285033 
1.040000  ,8.218843  ,0.024601  ,7.999978  ,8.000000  ,0.013194  ,-0.028027 ,3.530000  ,-0.000358 ,-1.594431 
1.060000  ,8.378822  ,0.022037  ,7.999980  ,8.000000  ,0.009785  ,-0.006251 ,3.610000  ,0.013228  ,-0.692413 
1.080000  ,8.538810  ,0.020112  ,7.999982  ,8.000000  ,0.006988  ,-0.001561 ,3.700000  ,0.004845  ,0.414732  
1.100000  ,8.698804  ,0.018790  ,7.999983  ,8.000000  ,0.004761  ,0.000499  ,3.790000  ,-0.004478 ,1.479532  
1.120000  ,8.858802  ,0.018229  ,7.999985  ,8.000000  ,0.003217  ,0.048806  ,3.790000  ,0.032768  ,2.297721  
