# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.167448  ,-0.145885 ,0.000000  ,0.900900  ,0.105862  ,0.066852  ,0.090000  ,nan       ,164.750436
0.000000  ,0.167448  ,-0.145885 ,0.000000  ,0.900900  ,0.105862  ,0.083272  ,0.090000  ,nan       ,0.245677  
0.020000  ,0.167789  ,-0.145884 ,0.050998  ,0.964313  ,0.105870  ,0.010822  ,0.090000  ,0.399996  ,0.000000  
0.040000  ,0.169667  ,-0.145876 ,0.135789  ,1.054616  ,0.105908  ,-0.031962 ,0.090000  ,0.399999  ,0.000000  
0.060000  ,0.173246  ,-0.145860 ,0.221092  ,1.145463  ,0.105983  ,0.045875  ,0.090000  ,0.399999  ,0.000000  
0.080000  ,0.178537  ,-0.145838 ,0.306910  ,1.236859  ,0.106092  ,-0.006724 ,0.090000  ,0.399999  ,0.000000  
0.100000  ,0.185549  ,-0.145808 ,0.393245  ,1.328806  ,0.106238  ,0.008224  ,0.090000  ,0.399999  ,0.000000  
0.120000  ,0.194293  ,-0.145770 ,0.480102  ,1.421309  ,0.106419  ,0.007779  ,0.090000  ,0.399999  ,0.000000  
0.140000  ,0.204779  ,-0.145715 ,0.567483  ,1.514369  ,0.106627  ,-0.028715 ,0.090000  ,0.400000  ,0.049893  
0.160000  ,0.217015  ,-0.145459 ,0.655391  ,1.607991  ,0.106677  ,-0.039828 ,0.090000  ,0.399999  ,0.860921  
0.180000  ,0.231001  ,-0.144769 ,0.743829  ,1.702178  ,0.106337  ,0.000207  ,0.090000  ,0.399993  ,2.258993  
0.200000  ,0.246724  ,-0.143477 ,0.832801  ,1.796933  ,0.105438  ,-0.041653 ,0.090000  ,0.297043  ,3.719341  
0.220000  ,0.264163  ,-0.141413 ,0.922310  ,1.892260  ,0.103811  ,-0.027109 ,0.090000  ,0.200942  ,5.137837  
0.240000  ,0.283282  ,-0.138390 ,1.012359  ,1.988163  ,0.101268  ,-0.029855 ,0.090000  ,0.135397  ,6.488370  
0.260000  ,0.304025  ,-0.134199 ,1.102952  ,2.084644  ,0.099389  ,0.002584  ,0.170000  ,0.006088  ,7.759464  
0.280000  ,0.326347  ,-0.128736 ,1.194091  ,2.181707  ,0.093998  ,-0.030288 ,0.170000  ,-0.098230 ,8.676360  
0.300000  ,0.350250  ,-0.122091 ,1.285781  ,2.279356  ,0.087430  ,-0.002392 ,0.170000  ,-0.201184 ,8.896964  
0.320000  ,0.375723  ,-0.114263 ,1.378023  ,2.377595  ,0.079684  ,-0.016563 ,0.170000  ,-0.295920 ,8.772605  
0.340000  ,0.402832  ,-0.105470 ,1.470822  ,2.476426  ,0.070978  ,-0.046420 ,0.170000  ,-0.365968 ,8.042469  
0.360000  ,0.431659  ,-0.095940 ,1.564182  ,2.575853  ,0.061541  ,0.021527  ,0.170000  ,-0.399999 ,6.898740  
0.380000  ,0.462268  ,-0.085835 ,1.658104  ,2.675881  ,0.051534  ,-0.015159 ,0.170000  ,-0.400000 ,5.616916  
0.400000  ,0.494719  ,-0.075299 ,1.752594  ,2.776512  ,0.040783  ,0.015634  ,0.260000  ,-0.400000 ,4.323220  
0.420000  ,0.529073  ,-0.064491 ,1.847653  ,2.877751  ,0.030207  ,0.052122  ,0.260000  ,-0.400000 ,3.077939  
0.440000  ,0.565393  ,-0.053591 ,1.943286  ,2.979600  ,0.019554  ,0.015812  ,0.260000  ,-0.400000 ,1.912248  
0.460000  ,0.603748  ,-0.042817 ,2.039497  ,3.082064  ,0.009040  ,-0.065360 ,0.260000  ,-0.400000 ,0.844028  
0.480000  ,0.644203  ,-0.032426 ,2.136288  ,3.185146  ,0.001077  ,-0.028108 ,0.260000  ,-0.400000 ,0.115207  
0.500000  ,0.686821  ,-0.022720 ,2.233663  ,3.288851  ,0.010737  ,0.049851  ,0.340000  ,-0.400000 ,0.957186  
0.520000  ,0.731654  ,-0.014052 ,2.331625  ,3.393181  ,0.018989  ,0.015756  ,0.340000  ,-0.395111 ,1.675440  
0.540000  ,0.778730  ,-0.006831 ,2.430179  ,3.498141  ,0.025774  ,-0.028063 ,0.340000  ,-0.345536 ,2.264613  
0.560000  ,0.828047  ,-0.001519 ,2.529327  ,3.603734  ,0.030630  ,0.005293  ,0.340000  ,-0.279881 ,2.720138  
0.580000  ,0.879549  ,0.001506  ,2.629074  ,3.709964  ,0.033178  ,-0.018989 ,0.340000  ,-0.197019 ,2.966393  
0.600000  ,0.933138  ,0.002123  ,2.729423  ,3.816835  ,0.033217  ,0.003457  ,0.430000  ,-0.115559 ,2.884124  
0.620000  ,0.988709  ,0.000172  ,2.830377  ,3.924352  ,0.030841  ,-0.019034 ,0.430000  ,-0.031585 ,2.616398  
0.640000  ,1.046147  ,-0.004540 ,2.931941  ,4.032517  ,0.025690  ,-0.059892 ,0.430000  ,0.055064  ,2.248447  
0.660000  ,1.105321  ,-0.012203 ,3.034117  ,4.141335  ,0.017586  ,0.033661  ,0.520000  ,0.136155  ,1.818909  
0.680000  ,1.166141  ,-0.022697 ,3.136910  ,4.250809  ,0.006618  ,-0.035376 ,0.520000  ,0.212947  ,1.244402  
0.700000  ,1.228569  ,-0.035770 ,3.240323  ,4.360944  ,0.006941  ,0.000770  ,0.520000  ,0.272191  ,0.607517  
0.720000  ,1.292605  ,-0.051153 ,3.344361  ,4.471744  ,0.022812  ,-0.036364 ,0.600000  ,0.316603  ,0.022234  
0.740000  ,1.358288  ,-0.068539 ,3.449026  ,4.583213  ,0.040717  ,-0.007200 ,0.600000  ,0.355274  ,-0.455763 
0.760000  ,1.425698  ,-0.087575 ,3.554323  ,4.695354  ,0.060286  ,-0.024482 ,0.600000  ,0.384685  ,-0.799573 
0.780000  ,1.494948  ,-0.107856 ,3.660255  ,4.808171  ,0.081133  ,0.006778  ,0.690000  ,0.380518  ,-0.996603 
0.800000  ,1.566182  ,-0.128919 ,3.766826  ,4.921670  ,0.102745  ,0.016338  ,0.690000  ,0.400000  ,-1.041420 
0.820000  ,1.639569  ,-0.150242 ,3.874041  ,5.035853  ,0.124634  ,-0.040358 ,0.690000  ,0.400000  ,-0.932215 
0.840000  ,1.715284  ,-0.171236 ,3.981902  ,5.150726  ,0.146218  ,-0.032504 ,0.770000  ,0.362565  ,-0.669072 
0.860000  ,1.793500  ,-0.191243 ,4.090415  ,5.266292  ,0.166821  ,-0.015143 ,0.770000  ,0.363918  ,-0.253123 
0.880000  ,1.874368  ,-0.209531 ,4.199582  ,5.382555  ,0.185725  ,0.013987  ,0.770000  ,0.317935  ,0.313854  
0.900000  ,1.957990  ,-0.225311 ,4.309408  ,5.499519  ,0.202146  ,-0.016412 ,0.860000  ,0.285943  ,1.029366  
0.920000  ,2.044359  ,-0.238020 ,4.419897  ,5.617190  ,0.215504  ,0.039455  ,0.860000  ,0.249824  ,1.901927  
0.940000  ,2.133422  ,-0.247012 ,4.531052  ,5.735571  ,0.225173  ,-0.008771 ,0.950000  ,0.144642  ,2.820377  
0.960000  ,2.225039  ,-0.251828 ,4.642878  ,5.854666  ,0.230665  ,-0.013490 ,0.950000  ,0.092002  ,3.756093  
0.980000  ,2.319025  ,-0.252227 ,4.755380  ,5.974479  ,0.231767  ,0.035349  ,1.030000  ,0.034693  ,4.635356  
1.000000  ,2.415168  ,-0.247841 ,4.868560  ,6.095016  ,0.228077  ,0.007633  ,1.030000  ,-0.010798 ,5.358771  
