# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.211887  ,0.039303  ,8.000000  ,7.999575  ,0.000000  
0.000000  ,0.211887  ,0.039303  ,0.000000  ,0.780000  ,0.000000  
0.020000  ,0.213503  ,0.039324  ,0.171176  ,1.017935  ,0.000000  
0.020000  ,0.213503  ,0.039324  ,0.171176  ,1.017935  ,0.000000  
0.040000  ,0.217722  ,0.039377  ,0.249788  ,1.127206  ,0.000000  
0.040000  ,0.217722  ,0.039377  ,0.249788  ,1.127206  ,0.000000  
0.060000  ,0.223542  ,0.039453  ,0.331247  ,1.240433  ,0.000357  
0.060000  ,0.223542  ,0.039453  ,0.331247  ,1.240433  ,0.000357  
0.080000  ,0.231020  ,0.039561  ,0.415655  ,1.357760  ,0.000575  
0.080000  ,0.231020  ,0.039561  ,0.415655  ,1.357760  ,0.000575  
0.100000  ,0.240217  ,0.039719  ,0.503119  ,1.479335  ,0.000817  
0.100000  ,0.240217  ,0.039719  ,0.503119  ,1.479335  ,0.000817  
0.120000  ,0.251180  ,0.040322  ,0.593750  ,1.605312  ,0.000690  
0.120000  ,0.251180  ,0.040322  ,0.593750  ,1.605312  ,0.000690  
0.140000  ,0.263987  ,0.040999  ,0.687662  ,1.735850  ,0.000571  
0.140000  ,0.263987  ,0.040999  ,0.687662  ,1.735850  ,0.000571  
0.160000  ,0.278718  ,0.041457  ,0.784975  ,1.871115  ,0.000754  
0.160000  ,0.278718  ,0.041457  ,0.784975  ,1.871115  ,0.000754  
0.180000  ,0.295435  ,0.041798  ,0.885811  ,2.011277  ,0.001140  
0.180000  ,0.295435  ,0.041798  ,0.885811  ,2.011277  ,0.001140  
0.200000  ,0.314206  ,0.042116  ,0.990298  ,2.156515  ,0.005067  
0.200000  ,0.314206  ,0.042116  ,0.990298  ,2.156515  ,0.005067  
0.220000  ,0.335105  ,0.042436  ,1.098569  ,2.307010  ,0.004920  
0.220000  ,0.335105  ,0.042436  ,1.098569  ,2.307010  ,0.004920  
0.240000  ,0.358210  ,0.042765  ,1.210759  ,2.462955  ,0.004784  
0.240000  ,0.358210  ,0.042765  ,1.210759  ,2.462955  ,0.004784  
0.260000  ,0.383599  ,0.043101  ,1.327012  ,2.624546  ,0.004659  
0.260000  ,0.383599  ,0.043101  ,1.327012  ,2.624546  ,0.004659  
0.280000  ,0.411355  ,0.043552  ,1.447474  ,2.791988  ,0.000000  
0.280000  ,0.411355  ,0.043552  ,1.447474  ,2.791988  ,0.000000  
0.300000  ,0.441561  ,0.044192  ,1.572297  ,2.965493  ,0.004049  
0.300000  ,0.441561  ,0.044192  ,1.572297  ,2.965493  ,0.004049  
0.320000  ,0.474307  ,0.044984  ,1.701640  ,3.145279  ,0.003528  
0.320000  ,0.474307  ,0.044984  ,1.701640  ,3.145279  ,0.003528  
0.340000  ,0.509684  ,0.045915  ,1.835666  ,3.331576  ,0.002892  
0.340000  ,0.509684  ,0.045915  ,1.835666  ,3.331576  ,0.002892  
0.360000  ,0.547788  ,0.046980  ,1.974545  ,3.524617  ,0.001737  
0.360000  ,0.547788  ,0.046980  ,1.974545  ,3.524617  ,0.001737  
0.380000  ,0.588721  ,0.048078  ,2.118452  ,3.724648  ,0.001240  
0.380000  ,0.588721  ,0.048078  ,2.118452  ,3.724648  ,0.001240  
0.400000  ,0.632587  ,0.049117  ,2.267569  ,3.931922  ,0.000846  
0.400000  ,0.632587  ,0.049117  ,2.267569  ,3.931922  ,0.000846  
0.420000  ,0.679492  ,0.050114  ,2.422086  ,4.146700  ,0.000537  
0.420000  ,0.679492  ,0.050114  ,2.422086  ,4.146700  ,0.000537  
0.440000  ,0.729545  ,0.051078  ,2.582198  ,4.369255  ,0.000054  
0.440000  ,0.729545  ,0.051078  ,2.582198  ,4.369255  ,0.000054  
0.460000  ,0.782860  ,0.052011  ,2.748106  ,4.599868  ,0.000032  
0.460000  ,0.782860  ,0.052011  ,2.748106  ,4.599868  ,0.000032  
0.480000  ,0.839553  ,0.053009  ,2.920022  ,4.838831  ,0.000116  
0.480000  ,0.839553  ,0.053009  ,2.920022  ,4.838831  ,0.000116  
0.500000  ,0.899745  ,0.054177  ,3.098162  ,5.086445  ,0.000099  
