# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.095228  ,0.013441  ,0.000000  ,0.900900  ,0.055221  ,0.006460  ,0.090000  ,nan       ,161.211594
0.000000  ,0.095228  ,0.013441  ,0.000000  ,0.900900  ,0.055221  ,-0.001372 ,0.090000  ,nan       ,0.245677  
0.020000  ,0.095228  ,0.013441  ,0.000000  ,0.900900  ,0.055221  ,-0.053153 ,0.090000  ,nan       ,0.245677  
0.040000  ,0.095228  ,0.013441  ,0.000000  ,0.900900  ,0.055221  ,-0.045629 ,0.090000  ,nan       ,0.245677  
0.060000  ,0.095228  ,0.013441  ,0.000000  ,0.900900  ,0.055221  ,0.016607  ,0.090000  ,nan       ,0.245677  
0.080000  ,0.095568  ,0.013443  ,0.050998  ,0.964313  ,0.055214  ,0.014265  ,0.090000  ,-0.399990 ,0.000000  
0.100000  ,0.097387  ,0.013450  ,0.129902  ,1.048346  ,0.055176  ,-0.001695 ,0.090000  ,-0.399995 ,0.000000  
0.120000  ,0.100710  ,0.013465  ,0.201481  ,1.124577  ,0.055107  ,0.006470  ,0.090000  ,-0.399995 ,0.000000  
0.140000  ,0.105396  ,0.013485  ,0.266414  ,1.193731  ,0.055010  ,0.022965  ,0.090000  ,-0.399989 ,0.000000  
0.160000  ,0.111380  ,0.013510  ,0.331206  ,1.262735  ,0.054886  ,0.001101  ,0.090000  ,-0.385943 ,0.000000  
0.180000  ,0.118678  ,0.013540  ,0.397785  ,1.333641  ,0.054733  ,-0.043162 ,0.090000  ,-0.319711 ,0.027642  
0.200000  ,0.127317  ,0.013561  ,0.465259  ,1.405501  ,0.054538  ,-0.003994 ,0.090000  ,-0.253938 ,0.080888  
0.220000  ,0.137304  ,0.013437  ,0.532890  ,1.477528  ,0.054165  ,0.011182  ,0.090000  ,-0.185168 ,0.496719  
0.240000  ,0.148602  ,0.012435  ,0.600648  ,1.549690  ,0.052880  ,0.008043  ,0.090000  ,-0.114983 ,4.500639  
0.260000  ,0.161187  ,0.010725  ,0.668698  ,1.622164  ,0.050856  ,0.009913  ,0.090000  ,-0.032327 ,6.611528  
0.280000  ,0.175057  ,0.008384  ,0.737102  ,1.695014  ,0.048168  ,-0.025426 ,0.090000  ,0.053187  ,7.763455  
0.300000  ,0.190237  ,0.005577  ,0.805843  ,1.768223  ,0.044982  ,-0.009131 ,0.090000  ,0.133432  ,7.890890  
0.320000  ,0.206785  ,0.002588  ,0.874901  ,1.841769  ,0.041580  ,-0.043351 ,0.090000  ,0.196661  ,6.951349  
0.340000  ,0.224742  ,-0.000378 ,0.944276  ,1.915654  ,0.038166  ,0.008101  ,0.090000  ,0.256200  ,5.509121  
0.360000  ,0.244129  ,-0.003195 ,1.013974  ,1.989882  ,0.034864  ,-0.027175 ,0.090000  ,0.275509  ,3.967059  
0.380000  ,0.264961  ,-0.005748 ,1.083997  ,2.064457  ,0.031791  ,-0.002580 ,0.090000  ,0.275728  ,2.434938  
0.400000  ,0.287248  ,-0.007910 ,1.154348  ,2.139381  ,0.026954  ,-0.020100 ,0.170000  ,0.271152  ,0.947347  
0.420000  ,0.310994  ,-0.009535 ,1.225027  ,2.214654  ,0.025252  ,0.009056  ,0.170000  ,0.247757  ,-0.481909 
0.440000  ,0.336195  ,-0.010456 ,1.296035  ,2.290278  ,0.024250  ,0.021609  ,0.170000  ,0.210132  ,-1.845259 
0.460000  ,0.362836  ,-0.010481 ,1.367375  ,2.366254  ,0.024139  ,0.027869  ,0.170000  ,0.160671  ,-3.137175 
0.480000  ,0.390887  ,-0.009414 ,1.439047  ,2.442585  ,0.025116  ,-0.000893 ,0.170000  ,0.097519  ,-4.321868 
0.500000  ,0.420322  ,-0.007338 ,1.511054  ,2.519272  ,0.027097  ,0.001231  ,0.170000  ,0.020397  ,-4.962152 
0.520000  ,0.451142  ,-0.004471 ,1.583396  ,2.596317  ,0.029865  ,0.011823  ,0.170000  ,-0.050893 ,5.003002  
0.540000  ,0.483350  ,-0.000913 ,1.656076  ,2.673721  ,0.033319  ,0.032536  ,0.170000  ,-0.111898 ,4.755231  
0.560000  ,0.516971  ,0.003104  ,1.729095  ,2.751486  ,0.037468  ,0.040475  ,0.260000  ,-0.153818 ,4.163223  
0.580000  ,0.552010  ,0.007588  ,1.802454  ,2.829613  ,0.041715  ,0.005007  ,0.260000  ,-0.195325 ,3.616091  
0.600000  ,0.588496  ,0.012343  ,1.876155  ,2.908106  ,0.046222  ,-0.015357 ,0.260000  ,-0.227978 ,2.912333  
0.620000  ,0.626476  ,0.017064  ,1.950201  ,2.986964  ,0.050686  ,0.023653  ,0.260000  ,-0.249550 ,2.028011  
0.640000  ,0.665988  ,0.021470  ,2.024591  ,3.066190  ,0.054824  ,-0.018648 ,0.260000  ,-0.254518 ,1.097807  
0.660000  ,0.707060  ,0.025270  ,2.099329  ,3.145785  ,0.058538  ,-0.014875 ,0.340000  ,-0.228200 ,0.191329  
0.680000  ,0.749708  ,0.028155  ,2.174415  ,3.225752  ,0.061028  ,-0.013724 ,0.340000  ,-0.206652 ,0.654131  
0.700000  ,0.793928  ,0.029781  ,2.249851  ,3.306091  ,0.062244  ,-0.034911 ,0.340000  ,-0.170655 ,1.417555  
0.720000  ,0.839690  ,0.029918  ,2.325639  ,3.386805  ,0.061958  ,-0.049887 ,0.340000  ,-0.129449 ,1.989390  
0.740000  ,0.886953  ,0.028609  ,2.401780  ,3.467896  ,0.060055  ,-0.004719 ,0.430000  ,-0.061246 ,2.202007  
0.760000  ,0.935683  ,0.025840  ,2.478277  ,3.549365  ,0.056914  ,0.010415  ,0.430000  ,-0.007374 ,2.213841  
0.780000  ,0.985845  ,0.021580  ,2.555131  ,3.631214  ,0.052271  ,-0.014033 ,0.430000  ,0.042341  ,2.107538  
0.800000  ,1.037436  ,0.016082  ,2.632342  ,3.713445  ,0.046378  ,0.023987  ,0.430000  ,0.095387  ,1.767250  
0.820000  ,1.090447  ,0.009392  ,2.709914  ,3.796059  ,0.039296  ,0.000853  ,0.520000  ,0.142332  ,1.432442  
0.840000  ,1.144901  ,0.001754  ,2.787848  ,3.879058  ,0.031234  ,0.013071  ,0.520000  ,0.175454  ,1.024962  
0.860000  ,1.200852  ,-0.006446 ,2.866145  ,3.962445  ,0.022598  ,-0.023752 ,0.520000  ,0.199305  ,0.558289  
0.880000  ,1.258366  ,-0.014813 ,2.944808  ,4.046220  ,0.013782  ,0.024752  ,0.520000  ,0.208763  ,0.125575  
0.900000  ,1.317506  ,-0.022942 ,3.023837  ,4.130386  ,0.005201  ,-0.050286 ,0.600000  ,0.204944  ,-0.221325 
0.920000  ,1.378293  ,-0.030700 ,3.103235  ,4.214945  ,0.000000  ,-0.020167 ,0.600000  ,0.196251  ,-0.352046 
0.940000  ,1.440772  ,-0.037707 ,3.183003  ,4.299898  ,0.010540  ,0.008772  ,0.600000  ,0.179467  ,-0.430974 
0.960000  ,1.504987  ,-0.043435 ,3.263143  ,4.385248  ,0.016792  ,-0.029096 ,0.690000  ,0.148098  ,-0.479342 
0.980000  ,1.570927  ,-0.047658 ,3.343657  ,4.470995  ,0.021524  ,-0.012737 ,0.690000  ,0.115875  ,-0.347529 
1.000000  ,1.638568  ,-0.050250 ,3.424547  ,4.557142  ,0.024637  ,0.010055  ,0.690000  ,0.076604  ,-0.086317 
1.020000  ,1.707874  ,-0.051063 ,3.505814  ,4.643691  ,0.025993  ,0.021950  ,0.770000  ,0.034084  ,0.214091  
1.040000  ,1.778808  ,-0.050076 ,3.587459  ,4.730644  ,0.025547  ,-0.011989 ,0.770000  ,-0.004233 ,0.538873  
1.060000  ,1.851333  ,-0.047293 ,3.669486  ,4.818003  ,0.023317  ,-0.039374 ,0.770000  ,-0.040693 ,0.841190  
1.080000  ,1.925427  ,-0.042933 ,3.751895  ,4.905768  ,0.019527  ,0.026117  ,0.860000  ,-0.072174 ,1.125474  
