# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.002750  ,-0.017049 ,7.969993  ,8.000000  ,0.019658  ,-0.022698 ,100.000000,-0.013669 ,31.009662 
0.020000  ,0.162128  ,-0.013059 ,7.972779  ,8.000000  ,0.021999  ,-0.041297 ,0.090000  ,0.005435  ,22.682772 
0.040000  ,0.321576  ,-0.009848 ,7.975306  ,7.991190  ,0.065848  ,0.000448  ,0.170000  ,-0.387979 ,-21.079657
0.060000  ,0.481076  ,-0.007208 ,7.976781  ,8.000000  ,0.032935  ,0.012085  ,0.260000  ,0.007086  ,13.827614 
0.080000  ,0.640621  ,-0.005278 ,7.978937  ,8.000000  ,0.002724  ,-0.021971 ,0.260000  ,0.017977  ,11.426497 
0.100000  ,0.800217  ,-0.004506 ,7.980892  ,8.000000  ,0.032733  ,-0.033034 ,0.340000  ,0.016814  ,-11.385660
0.120000  ,0.959853  ,-0.004550 ,7.982666  ,8.000000  ,0.033059  ,-0.001317 ,0.430000  ,0.021120  ,-3.077101 
0.140000  ,1.119521  ,-0.005267 ,7.984275  ,8.000000  ,0.029971  ,0.013752  ,0.520000  ,0.022395  ,-1.895565 
0.160000  ,1.279215  ,-0.006624 ,7.985735  ,8.000000  ,0.012632  ,-0.061519 ,0.520000  ,0.032430  ,16.689887 
0.180000  ,1.438932  ,-0.008531 ,7.987060  ,8.000000  ,0.002355  ,-0.052427 ,0.600000  ,0.027118  ,-7.656754 
0.200000  ,1.598669  ,-0.010840 ,7.988261  ,8.000000  ,0.013423  ,0.012487  ,0.690000  ,0.023556  ,-6.215050 
0.220000  ,1.758428  ,-0.013172 ,7.989351  ,7.990090  ,0.031752  ,0.004689  ,0.770000  ,-0.396844 ,-7.836933 
0.240000  ,1.918197  ,-0.015591 ,7.989419  ,7.984286  ,0.020950  ,-0.035793 ,0.860000  ,-0.367257 ,2.470771  
0.260000  ,2.077947  ,-0.018126 ,7.987652  ,7.993053  ,0.045090  ,0.015709  ,0.950000  ,-0.399200 ,-8.535737 
0.280000  ,2.237675  ,-0.021242 ,7.988154  ,8.000000  ,0.000235  ,-0.014724 ,0.950000  ,0.012871  ,19.367264 
0.300000  ,2.397390  ,-0.025548 ,7.989254  ,7.983418  ,0.007133  ,0.003602  ,1.030000  ,-0.364673 ,-4.589054 
0.320000  ,2.557037  ,-0.031647 ,7.987245  ,8.000000  ,0.008936  ,-0.045843 ,1.120000  ,0.040548  ,2.010336  
0.340000  ,2.716587  ,-0.039730 ,7.988429  ,7.989937  ,0.000717  ,0.023733  ,1.200000  ,-0.396767 ,-8.997463 
0.360000  ,2.875989  ,-0.050548 ,7.988569  ,8.000000  ,0.049033  ,-0.022980 ,1.200000  ,0.100838  ,12.464520 
0.380000  ,3.035158  ,-0.064492 ,7.989630  ,7.990413  ,0.025273  ,0.039664  ,1.290000  ,-0.397858 ,-18.832809
0.400000  ,3.193942  ,-0.082386 ,7.989703  ,7.987727  ,0.052468  ,-0.038599 ,1.380000  ,-0.385263 ,-4.925457 
0.420000  ,3.352170  ,-0.104605 ,7.989023  ,8.000000  ,0.107235  ,0.021882  ,1.460000  ,0.190116  ,5.075737  
0.440000  ,3.509567  ,-0.132107 ,7.990042  ,8.000000  ,0.138320  ,0.005578  ,1.550000  ,0.222094  ,-10.500630
0.460000  ,3.665776  ,-0.165792 ,7.990966  ,7.987959  ,0.137703  ,-0.051480 ,1.550000  ,-0.379424 ,-25.955141
0.480000  ,3.820496  ,-0.205752 ,7.989931  ,8.000000  ,0.221826  ,-0.000330 ,1.640000  ,0.322620  ,7.505236  
0.500000  ,3.973434  ,-0.252062 ,7.990866  ,7.994248  ,0.190912  ,0.001117  ,1.720000  ,-0.398456 ,-40.988712
0.520000  ,4.124123  ,-0.305268 ,7.991180  ,7.990540  ,0.270923  ,-0.012388 ,1.810000  ,-0.398132 ,-4.173091 
0.540000  ,4.272197  ,-0.365369 ,7.990960  ,8.000000  ,0.382529  ,0.033623  ,1.810000  ,0.399795  ,8.820926  
0.560000  ,4.417062  ,-0.432845 ,7.991799  ,8.000000  ,0.429021  ,0.024798  ,1.890000  ,0.400000  ,-28.211278
0.580000  ,4.558075  ,-0.508073 ,7.992560  ,7.991127  ,0.470952  ,-0.031184 ,1.980000  ,-0.397871 ,-34.130452
0.600000  ,4.694904  ,-0.590673 ,7.992067  ,8.000000  ,0.602355  ,-0.042633 ,1.980000  ,0.400000  ,4.898770  
0.620000  ,4.762056  ,-0.634592 ,0.076080  ,0.991173  ,0.629511  ,-0.002683 ,2.070000  ,0.400000  ,17.547514 
0.640000  ,4.764437  ,-0.634594 ,0.161036  ,1.075498  ,0.635274  ,0.002664  ,2.070000  ,0.400000  ,120.363739
0.660000  ,4.768517  ,-0.634602 ,0.245934  ,1.184261  ,0.618166  ,0.030977  ,2.070000  ,0.400000  ,-39.086723
0.680000  ,4.774318  ,-0.634619 ,0.333047  ,1.281122  ,0.614398  ,-0.015255 ,2.070000  ,0.400000  ,-21.793053
0.700000  ,4.781869  ,-0.634640 ,0.421066  ,1.356094  ,0.631988  ,-0.009614 ,2.070000  ,0.400000  ,119.585919
0.720000  ,4.791169  ,-0.634650 ,0.507873  ,1.475477  ,0.606889  ,0.009094  ,2.070000  ,0.400000  ,36.135109 
0.740000  ,4.802221  ,-0.634107 ,0.597704  ,1.554985  ,0.621501  ,0.049969  ,2.070000  ,0.400000  ,106.003281
0.760000  ,4.815015  ,-0.632886 ,0.686577  ,1.619313  ,0.648669  ,-0.085113 ,2.070000  ,0.400000  ,120.589068
0.780000  ,4.829492  ,-0.630935 ,0.773172  ,1.693918  ,0.663249  ,-0.048266 ,2.070000  ,0.400000  ,99.358572 
0.800000  ,4.845572  ,-0.628107 ,0.858653  ,1.790453  ,0.655370  ,-0.004812 ,2.070000  ,0.400000  ,18.461015 
0.820000  ,4.863200  ,-0.624238 ,0.945160  ,1.943381  ,0.594821  ,-0.027489 ,2.150000  ,0.400000  ,35.949197 
0.840000  ,4.882439  ,-0.619390 ,1.037834  ,2.007499  ,0.622358  ,-0.000250 ,2.070000  ,0.400000  ,120.119010
0.860000  ,4.903316  ,-0.613591 ,1.127857  ,2.116713  ,0.604219  ,0.004267  ,2.150000  ,0.400000  ,22.832016 
0.880000  ,4.925794  ,-0.606784 ,1.219661  ,2.246540  ,0.567581  ,0.033472  ,2.150000  ,0.400000  ,27.642227 
0.900000  ,4.949882  ,-0.598862 ,1.314996  ,2.316553  ,0.589226  ,-0.002971 ,2.150000  ,0.400000  ,113.298769
0.920000  ,4.975539  ,-0.589709 ,1.407979  ,2.397813  ,0.596801  ,0.033025  ,2.150000  ,0.338492  ,50.770380 
0.940000  ,5.002668  ,-0.579214 ,1.499874  ,2.506326  ,0.576500  ,-0.004725 ,2.150000  ,0.219853  ,16.290425 
0.960000  ,5.031257  ,-0.567375 ,1.593312  ,2.628936  ,0.543228  ,0.064721  ,2.150000  ,0.183224  ,19.232276 
0.980000  ,5.061431  ,-0.554417 ,1.689459  ,2.691457  ,0.567674  ,0.055773  ,2.150000  ,0.122516  ,122.723041
1.000000  ,5.093263  ,-0.540525 ,1.782483  ,2.797754  ,0.547194  ,0.018933  ,2.150000  ,-0.069261 ,10.455554 
1.020000  ,5.126802  ,-0.525863 ,1.876740  ,2.895292  ,0.535370  ,-0.026933 ,2.240000  ,-0.135820 ,2.255978  
1.040000  ,5.162132  ,-0.510586 ,1.971301  ,3.044571  ,0.474888  ,-0.014351 ,2.240000  ,-0.209519 ,17.013207 
1.060000  ,5.199379  ,-0.494852 ,2.070942  ,3.100002  ,0.506695  ,0.077109  ,2.240000  ,-0.197463 ,128.566371
1.080000  ,5.238636  ,-0.478871 ,2.166479  ,3.226930  ,0.467381  ,-0.007343 ,2.240000  ,-0.231735 ,11.356912 
1.100000  ,5.279986  ,-0.462902 ,2.264931  ,3.299566  ,0.481717  ,0.033856  ,2.240000  ,-0.238393 ,72.880942 
1.120000  ,5.323525  ,-0.447245 ,2.360985  ,3.413615  ,0.455304  ,-0.029387 ,2.320000  ,-0.220399 ,5.861056  
1.140000  ,5.369341  ,-0.432251 ,2.458710  ,3.534834  ,0.424515  ,0.024073  ,2.320000  ,-0.155241 ,7.443158  
