# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.013274 ,0.101095  ,7.926286  ,8.005137  ,0.077828  ,0.005137  ,100.000000,0.064025  ,-2.249117 
0.020000  ,0.145304  ,0.098487  ,7.933607  ,8.010663  ,0.092325  ,0.010663  ,0.100000  ,0.042479  ,-0.419915 
0.040000  ,0.304034  ,0.096288  ,7.940761  ,8.053666  ,0.089699  ,0.053666  ,0.200000  ,0.036246  ,1.010258  
0.060000  ,0.462949  ,0.095006  ,7.951243  ,8.017285  ,0.104849  ,0.017285  ,0.200000  ,0.035797  ,2.189460  
0.080000  ,0.622036  ,0.094966  ,7.957374  ,8.007327  ,0.118588  ,0.007327  ,0.300000  ,0.016741  ,3.131411  
0.100000  ,0.781222  ,0.096488  ,7.962011  ,8.006231  ,0.129866  ,0.006231  ,0.400000  ,0.013141  ,3.856442  
0.120000  ,0.940469  ,0.099792  ,7.966117  ,8.062608  ,0.137558  ,0.062608  ,0.510000  ,0.000806  ,4.396409  
0.140000  ,1.099802  ,0.104802  ,7.975075  ,7.985621  ,0.144849  ,-0.014379 ,0.610000  ,-0.007889 ,4.700629  
0.160000  ,1.259168  ,0.111590  ,7.976054  ,7.940947  ,0.150166  ,-0.059053 ,0.610000  ,-0.010611 ,4.765474  
0.180000  ,1.418340  ,0.119998  ,7.963969  ,8.043438  ,0.153819  ,0.043438  ,0.710000  ,-0.012533 ,4.640639  
0.200000  ,1.577389  ,0.129836  ,7.971347  ,7.951561  ,0.155827  ,-0.048439 ,0.810000  ,-0.012196 ,4.298221  
0.220000  ,1.736354  ,0.140984  ,7.964536  ,7.936015  ,0.156504  ,-0.063985 ,0.910000  ,-0.014077 ,3.785075  
0.240000  ,1.895068  ,0.153248  ,7.954718  ,8.002766  ,0.155772  ,0.002766  ,0.910000  ,-0.011195 ,3.198796  
0.260000  ,2.053660  ,0.166437  ,7.959179  ,7.906120  ,0.154013  ,-0.093880 ,1.010000  ,-0.014177 ,2.578978  
0.280000  ,2.212043  ,0.180328  ,7.940915  ,7.989515  ,0.151347  ,-0.010079 ,1.110000  ,-0.006569 ,1.970645  
0.300000  ,2.370254  ,0.194715  ,7.945427  ,8.005090  ,0.147976  ,0.005090  ,1.210000  ,-0.013024 ,1.396053  
0.320000  ,2.528537  ,0.209424  ,7.950966  ,7.917760  ,0.144068  ,-0.082240 ,1.320000  ,-0.013917 ,0.862589  
0.340000  ,2.686742  ,0.224258  ,7.939536  ,7.981334  ,0.139545  ,-0.018666 ,1.320000  ,-0.011268 ,0.383722  
0.360000  ,2.844881  ,0.239053  ,7.943416  ,7.968346  ,0.134931  ,-0.031654 ,1.420000  ,-0.007676 ,0.036450  
0.380000  ,3.003098  ,0.253680  ,7.945731  ,7.942820  ,0.130211  ,-0.056829 ,1.520000  ,0.002089  ,0.398060  
0.400000  ,3.161355  ,0.268010  ,7.944729  ,7.918030  ,0.125500  ,-0.081970 ,1.620000  ,-0.002193 ,0.704901  
0.420000  ,3.319527  ,0.282091  ,7.935538  ,8.011206  ,0.120732  ,0.011206  ,1.720000  ,-0.007354 ,0.913598  
0.440000  ,3.477711  ,0.295854  ,7.942563  ,7.949789  ,0.115667  ,-0.050211 ,1.720000  ,-0.005651 ,1.010426  
0.460000  ,3.636014  ,0.309123  ,7.943234  ,8.025082  ,0.110965  ,0.025082  ,1.820000  ,-0.001654 ,1.070773  
0.480000  ,3.794443  ,0.321876  ,7.950833  ,8.082846  ,0.106457  ,0.083090  ,1.920000  ,0.004746  ,1.144483  
0.500000  ,3.953114  ,0.334098  ,7.963089  ,7.992470  ,0.102159  ,-0.007530 ,2.020000  ,-0.005819 ,1.219136  
0.520000  ,4.111964  ,0.345916  ,7.965816  ,7.951233  ,0.097936  ,-0.048767 ,2.130000  ,-0.009472 ,1.243001  
0.540000  ,4.270820  ,0.357301  ,7.960797  ,7.873304  ,0.093491  ,-0.126696 ,2.130000  ,-0.008378 ,1.206017  
0.560000  ,4.429352  ,0.368091  ,7.930680  ,7.985029  ,0.089498  ,-0.014971 ,2.230000  ,-0.004920 ,1.187349  
0.580000  ,4.587688  ,0.378301  ,7.935725  ,7.964026  ,0.085748  ,-0.035974 ,2.330000  ,0.002740  ,1.215479  
0.600000  ,4.746136  ,0.387945  ,7.938353  ,7.944003  ,0.082244  ,-0.055997 ,2.430000  ,-0.011056 ,1.261867  
0.620000  ,4.904640  ,0.397161  ,7.938877  ,8.001028  ,0.078852  ,0.001028  ,2.530000  ,-0.010406 ,1.269260  
0.640000  ,5.063233  ,0.405942  ,7.944647  ,7.995266  ,0.075300  ,-0.004734 ,2.530000  ,-0.008609 ,1.215895  
0.660000  ,5.221961  ,0.414159  ,7.949347  ,8.017512  ,0.072220  ,0.017512  ,2.630000  ,-0.003114 ,1.166922  
0.680000  ,5.380827  ,0.421828  ,7.955675  ,8.018046  ,0.069411  ,0.018049  ,2.730000  ,-0.001168 ,1.163121  
0.700000  ,5.539840  ,0.428949  ,7.961466  ,8.040715  ,0.066887  ,0.040715  ,2.830000  ,-0.013259 ,1.188985  
0.720000  ,5.699008  ,0.435513  ,7.968823  ,7.922970  ,0.064679  ,-0.077030 ,2.940000  ,-0.018789 ,1.232703  
0.740000  ,5.858106  ,0.441493  ,7.953039  ,8.002682  ,0.062533  ,0.002682  ,2.940000  ,-0.016483 ,1.295985  
0.760000  ,6.017122  ,0.446869  ,7.957648  ,7.994177  ,0.060892  ,-0.005823 ,3.040000  ,-0.014222 ,1.368422  
0.780000  ,6.176239  ,0.451620  ,7.961039  ,8.048615  ,0.059564  ,0.048662  ,3.140000  ,-0.004570 ,1.436372  
0.800000  ,6.335489  ,0.455726  ,7.969170  ,7.978555  ,0.058518  ,-0.021445 ,3.240000  ,-0.021217 ,-1.496143 
0.820000  ,6.494844  ,0.459164  ,7.970041  ,7.994772  ,0.057709  ,-0.005228 ,3.340000  ,-0.019723 ,-1.549383 
0.840000  ,6.654244  ,0.461915  ,7.972337  ,8.036457  ,0.056385  ,0.036456  ,3.340000  ,-0.015944 ,-1.598277 
0.860000  ,6.813738  ,0.463962  ,7.978290  ,8.085031  ,0.055568  ,0.085031  ,3.440000  ,-0.025543 ,-1.639387 
0.880000  ,6.973398  ,0.465292  ,7.988200  ,8.035856  ,0.054796  ,0.036753  ,3.540000  ,-0.009519 ,-1.669524 
0.900000  ,7.133206  ,0.465894  ,7.992624  ,7.970122  ,0.054019  ,-0.029878 ,3.640000  ,-0.021397 ,-1.692240 
0.920000  ,7.292976  ,0.465759  ,7.984878  ,7.898641  ,0.053189  ,-0.101359 ,3.740000  ,-0.031086 ,-1.718764 
0.940000  ,7.452359  ,0.464878  ,7.955193  ,8.071502  ,0.051235  ,0.071502  ,3.740000  ,-0.029150 ,-1.765655 
