# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.189686  ,0.191355  ,8.000000  ,7.999027  ,0.000000  ,0.037444  ,0.100000  ,0.069768  ,-0.000787 
0.020000  ,0.191302  ,0.191355  ,0.171171  ,0.728999  ,0.000000  ,0.276898  ,0.100000  ,0.676892  ,0.000000  
0.040000  ,0.195250  ,0.191356  ,0.222959  ,0.792233  ,0.000000  ,-0.011275 ,0.100000  ,0.388723  ,0.015092  
0.060000  ,0.200244  ,0.191361  ,0.275810  ,0.856764  ,0.000122  ,-0.023166 ,0.100000  ,0.376829  ,0.046887  
0.080000  ,0.206306  ,0.191381  ,0.329745  ,0.922619  ,0.000176  ,-0.098954 ,0.100000  ,0.301042  ,0.091167  
0.100000  ,0.213458  ,0.191432  ,0.384787  ,0.989825  ,0.000211  ,-0.175502 ,0.100000  ,0.224495  ,0.148908  
0.120000  ,0.221721  ,0.191543  ,0.440958  ,1.058410  ,0.000200  ,-0.057832 ,0.100000  ,0.342164  ,0.221361  
0.140000  ,0.231118  ,0.191746  ,0.498282  ,1.128402  ,0.000111  ,-0.118678 ,0.100000  ,0.281317  ,0.231634  
0.160000  ,0.241612  ,0.192802  ,0.556781  ,1.199830  ,0.000819  ,0.041013  ,0.100000  ,0.437082  ,3.811347  
0.180000  ,0.253172  ,0.194848  ,0.616481  ,1.272724  ,0.002725  ,0.071878  ,0.100000  ,0.324529  ,7.536743  
0.200000  ,0.265895  ,0.197239  ,0.677406  ,1.347113  ,0.004962  ,-0.078018 ,0.100000  ,0.043919  ,7.541773  
0.220000  ,0.279751  ,0.200242  ,0.739581  ,1.423028  ,0.007797  ,0.129147  ,0.100000  ,0.111034  ,8.359287  
0.240000  ,0.294791  ,0.203706  ,0.803032  ,1.500502  ,0.018115  ,-0.096753 ,0.200000  ,-0.225121 ,8.312210  
0.260000  ,0.311114  ,0.207307  ,0.867784  ,1.579564  ,0.020277  ,0.066791  ,0.200000  ,-0.141116 ,7.076565  
0.280000  ,0.328777  ,0.210897  ,0.933865  ,1.660249  ,0.022312  ,0.020373  ,0.200000  ,-0.240741 ,5.546425  
0.300000  ,0.347822  ,0.214372  ,1.001302  ,1.742589  ,0.024112  ,-0.083456 ,0.200000  ,-0.372300 ,3.973839  
0.320000  ,0.368287  ,0.217629  ,1.070122  ,1.826619  ,0.025569  ,0.031197  ,0.200000  ,-0.263711 ,2.428010  
0.340000  ,0.390206  ,0.220547  ,1.140355  ,1.912373  ,0.026563  ,-0.030952 ,0.200000  ,-0.312471 ,0.932286  
0.360000  ,0.413611  ,0.222988  ,1.212028  ,1.999886  ,0.026952  ,-0.146998 ,0.200000  ,-0.396876 ,0.502342  
0.380000  ,0.438525  ,0.224789  ,1.285172  ,2.089195  ,0.026572  ,-0.091832 ,0.200000  ,-0.293383 ,1.868406  
0.400000  ,0.464965  ,0.225760  ,1.359817  ,2.180336  ,0.025231  ,0.060315  ,0.200000  ,-0.076193 ,3.159451  
0.420000  ,0.492930  ,0.225682  ,1.435993  ,2.273347  ,0.021978  ,-0.071422 ,0.300000  ,-0.120586 ,4.369274  
0.440000  ,0.522411  ,0.224469  ,1.513732  ,2.368267  ,0.018425  ,0.080043  ,0.300000  ,0.119257  ,5.265270  
0.460000  ,0.553431  ,0.222573  ,1.593066  ,2.465134  ,0.014070  ,0.011659  ,0.300000  ,0.127187  ,5.149752  
0.480000  ,0.586039  ,0.220397  ,1.674028  ,2.563988  ,0.000000  ,0.042883  ,0.300000  ,0.215671  ,4.400673  
0.500000  ,0.620287  ,0.218221  ,1.756651  ,2.664871  ,0.004416  ,0.119938  ,0.300000  ,0.330854  ,3.396501  
0.520000  ,0.656221  ,0.216285  ,1.840969  ,2.767823  ,0.000371  ,-0.038777 ,0.300000  ,0.192403  ,2.317839  
0.540000  ,0.693882  ,0.214823  ,1.927017  ,2.872888  ,0.005628  ,0.094227  ,0.400000  ,0.319110  ,1.253484  
0.560000  ,0.733304  ,0.214092  ,2.014831  ,2.980109  ,0.009157  ,0.058820  ,0.400000  ,0.275603  ,0.249618  
0.580000  ,0.774505  ,0.214375  ,2.104447  ,3.089529  ,0.011800  ,0.055382  ,0.400000  ,0.238694  ,-0.667769 
0.600000  ,0.817487  ,0.215995  ,2.195901  ,3.201195  ,0.013236  ,0.019285  ,0.400000  ,0.161471  ,1.482538  
0.620000  ,0.862235  ,0.219174  ,2.289231  ,3.315151  ,0.013243  ,-0.049870 ,0.400000  ,0.034853  ,2.085883  
0.640000  ,0.908748  ,0.223855  ,2.384477  ,3.431446  ,0.011429  ,-0.121144 ,0.510000  ,-0.093447 ,2.297762  
0.660000  ,0.957066  ,0.229719  ,2.481676  ,3.550127  ,0.009285  ,-0.061987 ,0.510000  ,-0.078055 ,2.085841  
0.680000  ,1.007263  ,0.236383  ,2.580870  ,3.671242  ,0.006486  ,-0.070302 ,0.510000  ,-0.123595 ,1.606618  
0.700000  ,1.059422  ,0.243497  ,2.682099  ,3.794843  ,0.003389  ,0.012450  ,0.510000  ,-0.063287 ,1.044034  
0.720000  ,1.113632  ,0.250707  ,2.785405  ,3.920980  ,0.000412  ,0.132468  ,0.610000  ,0.047845  ,0.496947  
0.740000  ,1.169966  ,0.257772  ,2.890831  ,4.049704  ,0.002360  ,-0.028288 ,0.610000  ,-0.111120 ,0.076489  
0.760000  ,1.228457  ,0.264746  ,2.998419  ,4.181070  ,0.004879  ,-0.082482 ,0.610000  ,-0.159519 ,0.092615  
0.780000  ,1.289126  ,0.271819  ,3.108215  ,4.315131  ,0.007176  ,0.036356  ,0.710000  ,-0.035430 ,0.067739  
0.800000  ,1.352053  ,0.278666  ,3.220264  ,4.451943  ,0.009332  ,-0.003965 ,0.710000  ,-0.066620 ,0.146810  
0.820000  ,1.417312  ,0.284960  ,3.334612  ,4.591561  ,0.010764  ,-0.117576 ,0.710000  ,-0.166342 ,0.228909  
0.840000  ,1.484931  ,0.290836  ,3.451306  ,4.734045  ,0.011551  ,0.056510  ,0.810000  ,0.021925  ,0.113175  
0.860000  ,1.554954  ,0.296233  ,3.570394  ,4.879451  ,0.011771  ,0.019212  ,0.810000  ,-0.001561 ,0.011996  
0.880000  ,1.627441  ,0.300914  ,3.691926  ,5.027841  ,0.011096  ,-0.048216 ,0.810000  ,-0.054284 ,0.094363  
0.900000  ,1.702416  ,0.305123  ,3.815951  ,5.179276  ,0.009662  ,-0.070018 ,0.910000  ,-0.066419 ,0.281073  
0.920000  ,1.779914  ,0.309110  ,3.942521  ,5.333818  ,0.000000  ,-0.023156 ,0.910000  ,-0.010376 ,0.447358  
0.940000  ,1.859997  ,0.312567  ,4.071687  ,5.491530  ,0.005669  ,0.047039  ,0.910000  ,0.064803  ,0.445372  
0.960000  ,1.942714  ,0.315473  ,4.203504  ,5.652478  ,0.002508  ,-0.004571 ,1.010000  ,0.019288  ,0.466488  
0.980000  ,2.028101  ,0.318240  ,4.338025  ,5.816729  ,0.000781  ,0.090498  ,1.010000  ,0.118612  ,0.542886  
1.000000  ,2.116202  ,0.321178  ,4.475307  ,5.984349  ,0.004209  ,0.033965  ,1.110000  ,0.059357  ,0.520697  
1.020000  ,2.207075  ,0.324202  ,4.615405  ,6.155409  ,0.007473  ,0.203050  ,1.110000  ,0.227814  ,0.344632  
1.040000  ,2.300771  ,0.327555  ,4.758377  ,6.329978  ,0.010770  ,-0.078009 ,1.210000  ,-0.061454 ,0.172651  
1.060000  ,2.397335  ,0.331471  ,4.904283  ,6.508130  ,0.013348  ,0.107156  ,1.210000  ,0.122894  ,0.038430  
1.080000  ,2.496809  ,0.336335  ,5.053183  ,6.689936  ,0.015364  ,-0.027803 ,1.320000  ,-0.028736 ,0.289117  
1.100000  ,2.599246  ,0.342148  ,5.205137  ,6.875472  ,0.016219  ,0.069077  ,1.320000  ,0.059610  ,0.619599  
1.120000  ,2.704682  ,0.349195  ,5.360209  ,7.064816  ,0.016223  ,0.110144  ,1.420000  ,0.090060  ,0.915274  
1.140000  ,2.813182  ,0.357348  ,5.518463  ,7.258044  ,0.014882  ,0.020855  ,1.420000  ,-0.007973 ,1.184888  
1.160000  ,2.924796  ,0.366685  ,5.679964  ,7.455236  ,0.012700  ,-0.024693 ,1.520000  ,-0.060605 ,1.339775  
