# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.016815  ,0.123296  ,7.985772  ,8.000000  ,0.057486  ,0.003306  ,100.000000,-0.010863 ,0.279981  
0.000000  ,0.016815  ,0.123296  ,7.985772  ,8.000000  ,0.057486  ,0.012154  ,100.000000,-0.010863 ,6.307235  
0.020000  ,0.175684  ,0.139839  ,7.987093  ,8.000000  ,0.051343  ,-0.003048 ,0.100000  ,0.004912  ,2.130079  
0.040000  ,0.334773  ,0.154384  ,7.988291  ,8.000000  ,0.034509  ,-0.006578 ,0.200000  ,0.024648  ,4.051204  
0.060000  ,0.494059  ,0.166890  ,7.989378  ,8.000000  ,0.036717  ,0.007390  ,0.300000  ,0.029864  ,-5.634684 
0.080000  ,0.653508  ,0.177417  ,7.990364  ,8.000000  ,0.038900  ,0.002727  ,0.300000  ,0.046954  ,-6.582656 
0.100000  ,0.813102  ,0.185827  ,7.991259  ,8.000000  ,0.043017  ,0.003098  ,0.400000  ,0.062342  ,-6.860671 
0.120000  ,0.972813  ,0.192036  ,7.992070  ,8.000000  ,0.048063  ,0.004579  ,0.510000  ,0.059592  ,-6.636965 
0.140000  ,1.132608  ,0.196155  ,7.992807  ,8.000000  ,0.056247  ,0.002822  ,0.610000  ,0.054287  ,-6.083271 
0.160000  ,1.292451  ,0.198639  ,7.993474  ,8.000000  ,0.066049  ,-0.006725 ,0.710000  ,0.048076  ,-5.255326 
0.180000  ,1.452322  ,0.199804  ,7.994080  ,8.000000  ,0.076756  ,-0.006002 ,0.710000  ,0.056240  ,-4.208785 
0.200000  ,1.612209  ,0.200013  ,7.994630  ,8.000000  ,0.088408  ,-0.006595 ,0.810000  ,0.059143  ,-3.060153 
0.220000  ,1.772106  ,0.199661  ,7.995128  ,8.000000  ,0.100572  ,0.001398  ,0.910000  ,0.050650  ,-1.897515 
0.240000  ,1.932013  ,0.199148  ,7.995581  ,8.000000  ,0.112767  ,-0.006962 ,1.010000  ,0.034205  ,-0.779658 
0.260000  ,2.091928  ,0.198856  ,7.995991  ,8.000000  ,0.124386  ,0.006481  ,1.010000  ,0.025152  ,0.256711  
0.280000  ,2.251851  ,0.199141  ,7.996363  ,8.000000  ,0.135331  ,-0.005585 ,1.110000  ,0.028704  ,1.191161  
0.300000  ,2.411777  ,0.200321  ,7.996701  ,8.000000  ,0.145171  ,-0.002153 ,1.210000  ,0.014428  ,2.014958  
0.320000  ,2.571697  ,0.202650  ,7.997007  ,8.000000  ,0.153632  ,-0.005177 ,1.320000  ,0.003775  ,2.718243  
0.340000  ,2.731602  ,0.206106  ,7.997285  ,8.000000  ,0.160717  ,0.006872  ,1.420000  ,-0.001008 ,3.226955  
0.360000  ,2.891480  ,0.210833  ,7.997537  ,8.000000  ,0.166014  ,0.000522  ,1.420000  ,-0.007320 ,3.507407  
0.380000  ,3.051317  ,0.216925  ,7.997766  ,8.000000  ,0.169800  ,-0.007753 ,1.520000  ,-0.004045 ,3.617624  
0.400000  ,3.211106  ,0.224256  ,7.997973  ,8.000000  ,0.172045  ,0.017522  ,1.620000  ,-0.007550 ,3.559577  
0.420000  ,3.370846  ,0.232651  ,7.998161  ,8.000000  ,0.172912  ,-0.005490 ,1.720000  ,-0.015176 ,3.309116  
0.440000  ,3.530536  ,0.242022  ,7.998332  ,8.000000  ,0.172481  ,0.014098  ,1.820000  ,-0.014012 ,2.903019  
0.460000  ,3.690179  ,0.252224  ,7.998487  ,8.000000  ,0.170887  ,-0.005035 ,1.920000  ,-0.020391 ,2.412876  
0.480000  ,3.849780  ,0.263090  ,7.998627  ,8.000000  ,0.167898  ,-0.000463 ,1.920000  ,-0.017120 ,1.889884  
0.500000  ,4.009351  ,0.274439  ,7.998755  ,8.000000  ,0.164366  ,0.004768  ,2.020000  ,-0.013531 ,1.369388  
0.520000  ,4.168902  ,0.286093  ,7.998870  ,8.000000  ,0.160186  ,-0.007947 ,2.130000  ,-0.015513 ,0.874629  
0.540000  ,4.328446  ,0.297882  ,7.998975  ,8.000000  ,0.155528  ,0.006624  ,2.230000  ,-0.012597 ,0.419768  
0.560000  ,4.487993  ,0.309653  ,7.999070  ,8.000000  ,0.150548  ,0.000205  ,2.330000  ,-0.018344 ,0.012317  
0.580000  ,4.647553  ,0.321266  ,7.999157  ,8.000000  ,0.145023  ,0.011314  ,2.330000  ,-0.006500 ,0.344959  
0.600000  ,4.807135  ,0.332599  ,7.999235  ,8.000000  ,0.139718  ,-0.007325 ,2.430000  ,-0.012639 ,0.652554  
0.620000  ,4.966745  ,0.343549  ,7.999306  ,8.000000  ,0.134480  ,0.003979  ,2.530000  ,-0.009173 ,0.913094  
0.640000  ,5.126388  ,0.354026  ,7.999370  ,8.000000  ,0.129403  ,0.015050  ,2.630000  ,-0.005272 ,1.130492  
0.660000  ,5.286068  ,0.363957  ,7.999429  ,8.000000  ,0.124572  ,0.003296  ,2.730000  ,-0.017899 ,1.309330  
0.680000  ,5.445785  ,0.373281  ,7.999482  ,8.000000  ,0.119779  ,0.001585  ,2.730000  ,-0.012624 ,1.454419  
0.700000  ,5.605540  ,0.381949  ,7.999530  ,8.000000  ,0.115595  ,-0.009365 ,2.830000  ,-0.007471 ,1.570500  
0.720000  ,5.765332  ,0.389921  ,7.999574  ,8.000000  ,0.111855  ,-0.001750 ,2.940000  ,-0.013112 ,1.662047  
0.740000  ,5.925160  ,0.397166  ,7.999613  ,8.000000  ,0.108613  ,-0.006944 ,3.040000  ,-0.012732 ,1.733152  
0.760000  ,6.085020  ,0.403659  ,7.999649  ,8.000000  ,0.105871  ,-0.010861 ,3.140000  ,-0.021103 ,1.787463  
0.780000  ,6.244911  ,0.409383  ,7.999682  ,8.000000  ,0.103033  ,-0.005250 ,3.140000  ,-0.018944 ,1.828169  
0.800000  ,6.404828  ,0.414324  ,7.999711  ,8.000000  ,0.100879  ,-0.003488 ,3.240000  ,-0.015810 ,-1.858005 
0.820000  ,6.564769  ,0.418471  ,7.999738  ,8.000000  ,0.099027  ,0.007034  ,3.340000  ,-0.011512 ,-1.879280 
0.840000  ,6.724729  ,0.421816  ,7.999762  ,8.000000  ,0.097422  ,-0.002713 ,3.440000  ,-0.023482 ,-1.893918 
0.860000  ,6.884704  ,0.424356  ,7.999785  ,8.000000  ,0.096006  ,0.017487  ,3.540000  ,-0.026122 ,-1.903495 
0.880000  ,7.044690  ,0.426086  ,7.999805  ,8.000000  ,0.093781  ,0.013903  ,3.540000  ,-0.019578 ,-1.909287 
0.900000  ,7.204684  ,0.427006  ,7.999823  ,8.000000  ,0.092181  ,0.018650  ,3.640000  ,-0.013588 ,-1.912312 
0.920000  ,7.364680  ,0.427113  ,7.999839  ,8.000000  ,0.090554  ,-0.009744 ,3.740000  ,-0.024995 ,-1.913371 
0.940000  ,7.524675  ,0.426407  ,7.999854  ,8.000000  ,0.088845  ,0.004421  ,3.850000  ,-0.023993 ,-1.913084 
0.960000  ,7.684665  ,0.424889  ,7.999868  ,8.000000  ,0.087002  ,-0.011806 ,3.950000  ,-0.035775 ,-1.911922 
0.980000  ,7.844645  ,0.422559  ,7.999880  ,8.000000  ,0.083750  ,0.003851  ,3.950000  ,-0.034882 ,-1.910237 
1.000000  ,8.004612  ,0.419417  ,7.999891  ,8.000000  ,0.081035  ,-0.008770 ,4.050000  ,-0.031117 ,-1.908286 
1.020000  ,8.164560  ,0.415439  ,7.999901  ,8.000000  ,0.078031  ,-0.009759 ,4.150000  ,-0.038860 ,-1.915503 
1.040000  ,8.324477  ,0.410358  ,7.999910  ,8.000000  ,0.074959  ,0.015246  ,4.250000  ,-0.038919 ,-2.010939 
1.060000  ,8.484355  ,0.404142  ,7.999919  ,8.000000  ,0.071814  ,0.011454  ,4.350000  ,-0.036244 ,-2.227223 
1.080000  ,8.644191  ,0.396950  ,7.999926  ,8.000000  ,0.066960  ,-0.002631 ,4.350000  ,-0.033294 ,-2.446602 
1.100000  ,8.803964  ,0.388472  ,7.999933  ,8.000000  ,0.063033  ,0.007433  ,4.450000  ,-0.039720 ,-2.664191 
1.120000  ,8.963658  ,0.378607  ,7.999939  ,8.000000  ,0.059143  ,-0.010120 ,4.550000  ,-0.033891 ,-2.940298 
1.140000  ,9.123254  ,0.367260  ,7.999945  ,8.000000  ,0.055353  ,0.001625  ,4.660000  ,-0.037381 ,-3.248775 
1.160000  ,9.282728  ,0.354327  ,7.999950  ,8.000000  ,0.051737  ,-0.017213 ,4.760000  ,-0.038731 ,-3.564400 
1.180000  ,9.442057  ,0.339701  ,7.999955  ,8.000000  ,0.046784  ,0.010210  ,4.760000  ,-0.035153 ,-3.870172 
1.200000  ,9.601210  ,0.323279  ,7.999959  ,8.000000  ,0.043196  ,-0.010884 ,4.860000  ,-0.027962 ,-4.155306 
1.220000  ,9.760157  ,0.304967  ,7.999963  ,8.000000  ,0.039983  ,-0.015503 ,4.960000  ,-0.031273 ,-4.413628 
1.240000  ,9.918864  ,0.284679  ,7.999966  ,7.961680  ,0.037208  ,-0.004643 ,5.060000  ,-0.028431 ,-4.642295 
1.260000  ,10.077161 ,0.262386  ,7.986787  ,7.894983  ,0.034901  ,0.005138  ,5.160000  ,-0.024299 ,-4.853479 
1.280000  ,10.234739 ,0.238340  ,7.955186  ,7.889121  ,0.031129  ,0.002609  ,5.160000  ,-0.018584 ,-5.006286 
1.300000  ,10.391493 ,0.212537  ,7.932445  ,7.868235  ,0.028750  ,-0.022317 ,5.260000  ,-0.024048 ,-5.042702 
1.320000  ,10.547489 ,0.184957  ,7.910342  ,7.813832  ,0.026628  ,0.001861  ,5.360000  ,-0.022459 ,-4.979949 
1.340000  ,10.702602 ,0.155653  ,7.877121  ,7.739165  ,0.024732  ,0.002887  ,5.470000  ,-0.023362 ,-4.870458 
1.360000  ,10.856568 ,0.124726  ,7.829633  ,7.677926  ,0.023029  ,0.001985  ,5.570000  ,-0.025419 ,-4.767956 
1.380000  ,11.009196 ,0.092264  ,7.777412  ,7.678435  ,0.019463  ,-0.005675 ,5.570000  ,-0.023468 ,-4.694788 
1.400000  ,11.160616 ,0.058272  ,7.743342  ,7.618765  ,0.017354  ,0.001984  ,5.670000  ,-0.025164 ,-4.618199 
1.420000  ,11.310895 ,0.022772  ,7.700459  ,7.539923  ,0.015336  ,0.009488  ,5.770000  ,-0.024092 ,-4.531966 
1.440000  ,11.459815 ,-0.014141 ,7.645199  ,7.416462  ,0.013393  ,-0.004650 ,5.870000  ,-0.024964 ,-4.469081 
1.460000  ,11.607015 ,-0.052334 ,7.566462  ,7.416769  ,0.009589  ,-0.006361 ,5.870000  ,-0.025648 ,-4.468675 
1.480000  ,11.752544 ,-0.091804 ,7.514934  ,7.338101  ,0.006955  ,-0.003831 ,5.970000  ,-0.021411 ,-4.492102 
1.500000  ,11.896538 ,-0.132584 ,7.454064  ,7.228981  ,0.004390  ,-0.003940 ,6.070000  ,-0.017689 ,-4.510216 
1.520000  ,12.038730 ,-0.174582 ,7.376585  ,7.060556  ,0.001929  ,0.007783  ,6.170000  ,-0.013352 ,-4.558540 
1.540000  ,12.178641 ,-0.217637 ,7.267800  ,7.074291  ,0.002612  ,0.000874  ,6.170000  ,-0.012512 ,-4.689016 
1.560000  ,12.316385 ,-0.261810 ,7.201190  ,6.962787  ,0.005772  ,-0.002278 ,6.280000  ,-0.010705 ,-4.836161 
1.580000  ,12.452159 ,-0.307197 ,7.119126  ,6.795893  ,0.008681  ,-0.007653 ,6.380000  ,0.007063  ,-4.960481 
1.600000  ,12.585511 ,-0.353648 ,7.007861  ,6.604309  ,0.011221  ,0.003264  ,6.480000  ,0.018342  ,-5.135288 
1.620000  ,12.715883 ,-0.400969 ,6.868949  ,6.667072  ,0.016630  ,0.005422  ,6.480000  ,0.016194  ,-5.421754 
1.640000  ,12.843728 ,-0.449216 ,6.799458  ,6.538168  ,0.019790  ,-0.003100 ,6.580000  ,0.031214  ,-5.629236 
1.660000  ,12.969480 ,-0.498439 ,6.709516  ,6.344724  ,0.022760  ,0.014139  ,6.680000  ,0.038027  ,-5.624876 
1.680000  ,13.092607 ,-0.548375 ,6.583946  ,6.385557  ,0.028755  ,0.013787  ,6.680000  ,0.032473  ,-5.526010 
1.700000  ,13.213351 ,-0.599082 ,6.515655  ,6.266644  ,0.032613  ,-0.002863 ,6.780000  ,0.045188  ,-5.304437 
1.720000  ,13.332066 ,-0.650596 ,6.429940  ,6.111927  ,0.036513  ,-0.013769 ,6.880000  ,0.072461  ,-4.955131 
1.740000  ,13.448538 ,-0.702333 ,6.320472  ,6.154163  ,0.042364  ,0.006835  ,6.880000  ,0.060775  ,-4.518800 
1.760000  ,13.563119 ,-0.754281 ,6.263224  ,6.032327  ,0.046861  ,-0.017383 ,6.980000  ,0.077048  ,-3.887335 
1.780000  ,13.676197 ,-0.806200 ,6.183744  ,6.002190  ,0.051993  ,-0.006534 ,6.980000  ,0.052863  ,-3.086431 
1.800000  ,13.787844 ,-0.857855 ,6.121249  ,5.937344  ,0.056717  ,-0.015297 ,7.090000  ,0.058771  ,-2.168677 
1.820000  ,13.898326 ,-0.909030 ,6.057944  ,5.801728  ,0.061852  ,0.006635  ,7.190000  ,0.073923  ,-1.201294 
1.840000  ,14.007523 ,-0.959344 ,5.969749  ,5.823085  ,0.066111  ,-0.005604 ,7.190000  ,0.065847  ,-0.244980 
1.860000  ,14.115642 ,-1.008728 ,5.919264  ,5.725765  ,0.071099  ,0.014369  ,7.290000  ,0.057371  ,0.631315  
1.880000  ,14.223042 ,-1.056839 ,5.852657  ,5.702839  ,0.075146  ,-0.010802 ,7.290000  ,0.045234  ,1.402775  
1.900000  ,14.329882 ,-1.103311 ,5.801086  ,5.641522  ,0.080378  ,-0.003347 ,7.390000  ,0.015467  ,2.155083  
1.920000  ,14.436269 ,-1.148133 ,5.746160  ,5.536043  ,0.086750  ,0.006069  ,7.490000  ,0.055872  ,2.874150  
1.940000  ,14.542011 ,-1.191160 ,5.673833  ,5.549346  ,0.090076  ,-0.008748 ,7.490000  ,0.011397  ,3.483961  
1.960000  ,14.647286 ,-1.232290 ,5.630982  ,5.469915  ,0.096355  ,-0.017359 ,7.590000  ,0.029590  ,3.912306  
1.980000  ,14.752169 ,-1.271680 ,5.575539  ,5.466021  ,0.099617  ,-0.012825 ,7.590000  ,0.011929  ,4.160398  
2.000000  ,14.856803 ,-1.309065 ,5.537840  ,5.415593  ,0.105434  ,-0.008281 ,7.690000  ,0.033269  ,4.218566  
2.020000  ,14.961200 ,-1.344707 ,5.495760  ,5.402381  ,0.108558  ,0.008784  ,7.690000  ,0.052692  ,4.198274  
2.040000  ,15.065384 ,-1.378656 ,5.463616  ,5.364636  ,0.113278  ,0.015877  ,7.790000  ,0.043977  ,4.035123  
2.060000  ,15.169396 ,-1.410960 ,5.429545  ,5.284612  ,0.118953  ,0.005517  ,7.890000  ,0.031419  ,3.789206  
2.080000  ,15.273089 ,-1.441386 ,5.379656  ,5.309089  ,0.119062  ,-0.006237 ,7.890000  ,0.060280  ,3.570445  
2.100000  ,15.376535 ,-1.470021 ,5.355365  ,5.259163  ,0.123493  ,-0.005129 ,8.000000  ,0.082111  ,3.453491  
2.120000  ,15.479835 ,-1.496973 ,5.322250  ,5.262221  ,0.122751  ,0.002757  ,8.000000  ,0.073392  ,3.387081  
2.140000  ,15.582946 ,-1.522510 ,5.301586  ,5.230196  ,0.125381  ,0.001072  ,8.100000  ,0.097053  ,3.312606  
2.160000  ,15.686012 ,-1.546281 ,5.277012  ,5.225422  ,0.123511  ,-0.009372 ,8.100000  ,0.089671  ,3.188783  
2.180000  ,15.789066 ,-1.568166 ,5.259254  ,5.206562  ,0.124952  ,0.010234  ,8.200000  ,0.108598  ,3.192689  
2.200000  ,15.892139 ,-1.588151 ,5.241116  ,5.197999  ,0.122579  ,0.014858  ,8.200000  ,0.098046  ,3.321095  
2.220000  ,15.995276 ,-1.605968 ,5.226274  ,5.179936  ,0.123266  ,0.004548  ,8.300000  ,0.077572  ,3.525630  
2.240000  ,16.098430 ,-1.621760 ,5.210323  ,5.179413  ,0.120820  ,0.009257  ,8.300000  ,0.099759  ,3.819267  
2.260000  ,16.201650 ,-1.635204 ,5.199683  ,5.168188  ,0.121030  ,0.013016  ,8.400000  ,0.076490  ,4.073387  
2.280000  ,16.304941 ,-1.646223 ,5.188842  ,5.168290  ,0.119101  ,-0.005720 ,8.400000  ,0.097186  ,4.359754  
2.300000  ,16.408273 ,-1.654957 ,5.181767  ,5.160863  ,0.119326  ,0.004032  ,8.500000  ,0.072536  ,4.617356  
2.320000  ,16.511647 ,-1.661118 ,5.174572  ,5.170758  ,0.121536  ,-0.005267 ,8.600000  ,0.130369  ,4.766171  
2.340000  ,16.615054 ,-1.664865 ,5.173259  ,5.166266  ,0.118617  ,-0.002598 ,8.600000  ,0.115201  ,4.893683  
2.360000  ,16.718485 ,-1.665955 ,5.170852  ,5.169893  ,0.121224  ,-0.017155 ,8.700000  ,0.133492  ,4.934070  
2.380000  ,16.821887 ,-1.664579 ,5.170522  ,5.165108  ,0.119543  ,0.010219  ,8.700000  ,0.119256  ,4.981921  
2.400000  ,16.925194 ,-1.660493 ,5.168658  ,5.169253  ,0.122936  ,0.001182  ,8.810000  ,0.138418  ,4.974557  
2.420000  ,17.028329 ,-1.653522 ,5.168713  ,5.164396  ,0.123063  ,0.012067  ,8.810000  ,0.121488  ,5.035077  
2.440000  ,17.131213 ,-1.643661 ,5.167227  ,5.169225  ,0.128158  ,-0.001876 ,8.910000  ,0.137377  ,5.178978  
2.460000  ,17.233759 ,-1.630856 ,5.167413  ,5.164298  ,0.130151  ,-0.009007 ,8.910000  ,0.118843  ,5.360288  
2.480000  ,17.335879 ,-1.615068 ,5.166341  ,5.162133  ,0.137025  ,0.003251  ,9.010000  ,0.094420  ,5.540784  
2.500000  ,17.437457 ,-1.596243 ,5.164892  ,5.166708  ,0.140372  ,0.002555  ,9.010000  ,0.113412  ,5.715710  
2.520000  ,17.538406 ,-1.574350 ,5.165061  ,5.167174  ,0.148381  ,-0.010152 ,9.110000  ,0.087846  ,5.864263  
2.540000  ,17.638678 ,-1.549524 ,5.165257  ,5.173836  ,0.151818  ,-0.011602 ,9.110000  ,0.107585  ,5.970269  
2.560000  ,17.738247 ,-1.521974 ,5.166054  ,5.176530  ,0.158750  ,-0.012113 ,9.210000  ,0.086243  ,5.971560  
2.580000  ,17.836986 ,-1.491526 ,5.167026  ,5.187896  ,0.160414  ,-0.001307 ,9.210000  ,0.107708  ,5.849310  
2.600000  ,17.934902 ,-1.458434 ,5.168964  ,5.195072  ,0.164036  ,0.002820  ,9.310000  ,0.088174  ,5.728683  
2.620000  ,18.031883 ,-1.422566 ,5.171388  ,5.245610  ,0.168689  ,0.005157  ,9.410000  ,0.133911  ,5.557444  
2.640000  ,18.127992 ,-1.384172 ,5.178278  ,5.236509  ,0.161670  ,0.001247  ,9.410000  ,0.126804  ,5.422943  
2.660000  ,18.223131 ,-1.343122 ,5.183684  ,5.278488  ,0.161434  ,-0.000373 ,9.510000  ,0.129836  ,5.257470  
2.680000  ,18.317353 ,-1.299666 ,5.192486  ,5.275579  ,0.152002  ,-0.001018 ,9.510000  ,0.122404  ,5.144017  
