# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.028217 ,0.057485  ,7.987213  ,8.000000  ,0.120455  ,0.008004  ,100.000000,0.074217  ,-2.780442 
0.000000  ,-0.028217 ,0.057485  ,7.987213  ,8.000000  ,0.120455  ,0.011967  ,100.000000,0.074217  ,-4.976767 
0.020000  ,0.131424  ,0.051421  ,7.988400  ,8.000000  ,0.139220  ,0.028749  ,0.100000  ,0.051361  ,-0.075562 
0.040000  ,0.291116  ,0.046159  ,7.989477  ,8.000000  ,0.138510  ,0.016566  ,0.200000  ,0.032301  ,2.196112  
0.060000  ,0.450872  ,0.042446  ,7.990454  ,8.000000  ,0.156153  ,-0.004405 ,0.200000  ,0.035964  ,4.019834  
0.080000  ,0.610678  ,0.040638  ,7.991340  ,8.000000  ,0.171841  ,0.028126  ,0.300000  ,0.011597  ,5.380587  
0.100000  ,0.770510  ,0.041169  ,7.992144  ,8.000000  ,0.184285  ,-0.005316 ,0.400000  ,0.004024  ,6.296264  
0.120000  ,0.930331  ,0.044187  ,7.992873  ,8.000000  ,0.192223  ,-0.021294 ,0.510000  ,-0.013058 ,6.818507  
0.140000  ,1.090098  ,0.049712  ,7.993535  ,8.000000  ,0.198956  ,0.005321  ,0.510000  ,-0.016196 ,6.972996  
0.160000  ,1.249770  ,0.057762  ,7.994135  ,8.000000  ,0.203126  ,0.005331  ,0.610000  ,-0.021594 ,6.828295  
0.180000  ,1.409328  ,0.068019  ,7.994680  ,8.000000  ,0.204986  ,0.017030  ,0.710000  ,-0.023260 ,6.410576  
0.200000  ,1.568753  ,0.080309  ,7.995174  ,8.000000  ,0.204583  ,0.000083  ,0.810000  ,-0.023154 ,5.755950  
0.220000  ,1.728038  ,0.094400  ,7.995622  ,8.000000  ,0.202364  ,0.006300  ,0.910000  ,-0.024402 ,4.968896  
0.240000  ,1.887189  ,0.110020  ,7.996028  ,8.000000  ,0.198315  ,-0.042456 ,0.910000  ,-0.025184 ,4.130993  
0.260000  ,2.046222  ,0.126881  ,7.996397  ,8.000000  ,0.192943  ,0.015280  ,1.010000  ,-0.023465 ,3.298460  
0.280000  ,2.205157  ,0.144699  ,7.996731  ,8.000000  ,0.186415  ,-0.028381 ,1.110000  ,-0.019554 ,2.508157  
0.300000  ,2.364021  ,0.163202  ,7.997035  ,8.000000  ,0.178999  ,0.015595  ,1.210000  ,-0.022021 ,1.782452  
0.320000  ,2.522838  ,0.182146  ,7.997310  ,8.000000  ,0.170919  ,0.018371  ,1.320000  ,-0.023089 ,1.133102  
0.340000  ,2.681635  ,0.201309  ,7.997560  ,8.000000  ,0.162114  ,0.040645  ,1.320000  ,-0.020493 ,0.564317  
0.360000  ,2.840433  ,0.220500  ,7.997786  ,8.000000  ,0.153169  ,-0.028916 ,1.420000  ,-0.016770 ,0.075131  
0.380000  ,2.999252  ,0.239552  ,7.997992  ,8.000000  ,0.144082  ,0.003228  ,1.520000  ,-0.012297 ,0.338795  
0.400000  ,3.158108  ,0.258326  ,7.998178  ,8.000000  ,0.134981  ,-0.009124 ,1.620000  ,-0.012514 ,0.683823  
0.420000  ,3.317014  ,0.276705  ,7.998348  ,8.000000  ,0.125971  ,-0.017992 ,1.720000  ,-0.016833 ,0.967353  
0.440000  ,3.475979  ,0.294594  ,7.998501  ,8.000000  ,0.116830  ,-0.004240 ,1.720000  ,-0.016105 ,1.197126  
