# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.311316  ,0.278784  ,0.000000  ,0.514800  ,0.091464  ,0.002456  ,0.200000  ,nan       ,-12.766660
0.000000  ,0.311316  ,0.278784  ,0.000000  ,0.514800  ,0.091464  ,0.024442  ,0.200000  ,nan       ,-0.000787 
0.020000  ,0.311316  ,0.278784  ,0.000000  ,0.514800  ,0.091464  ,0.003639  ,0.200000  ,nan       ,-0.000787 
0.040000  ,0.311316  ,0.278784  ,0.000000  ,0.514800  ,0.091464  ,-0.029833 ,0.200000  ,nan       ,-0.000787 
0.060000  ,0.227803  ,0.143568  ,7.890828  ,8.000000  ,0.048245  ,-0.007684 ,0.100000  ,0.043674  ,119.931781
0.080000  ,0.383649  ,0.148207  ,7.700628  ,8.000000  ,0.044928  ,0.006848  ,0.200000  ,0.045599  ,-3.327005 
0.100000  ,0.535688  ,0.152861  ,7.510428  ,8.000000  ,0.054011  ,-0.003534 ,0.300000  ,0.038913  ,-2.695527 
0.120000  ,0.684531  ,0.157667  ,7.443129  ,8.000000  ,0.061054  ,-0.034048 ,0.300000  ,0.034806  ,1.658967  
0.140000  ,0.833827  ,0.162849  ,7.494828  ,8.000000  ,0.067409  ,-0.019343 ,0.400000  ,0.030017  ,0.365631  
0.160000  ,0.984089  ,0.168590  ,7.541728  ,8.000000  ,0.072304  ,-0.005510 ,0.510000  ,0.017676  ,0.864232  
0.180000  ,1.135211  ,0.175162  ,7.584273  ,8.000000  ,0.077376  ,0.024201  ,0.610000  ,0.000861  ,1.857697  
0.200000  ,1.287090  ,0.182895  ,7.622869  ,8.000000  ,0.081183  ,0.007141  ,0.610000  ,-0.003255 ,2.598917  
0.220000  ,1.439629  ,0.192015  ,7.657882  ,8.000000  ,0.083582  ,-0.005690 ,0.710000  ,-0.013708 ,3.128436  
0.240000  ,1.592752  ,0.202451  ,7.689644  ,8.000000  ,0.084542  ,-0.005755 ,0.810000  ,-0.018840 ,3.424046  
0.260000  ,1.746382  ,0.214271  ,7.718457  ,8.000000  ,0.084136  ,-0.003069 ,0.910000  ,-0.023756 ,3.485629  
0.280000  ,1.900450  ,0.227487  ,7.744595  ,8.000000  ,0.082263  ,0.030955  ,1.010000  ,-0.027765 ,3.391708  
0.300000  ,2.054909  ,0.241909  ,7.768306  ,8.000000  ,0.078820  ,0.014989  ,1.010000  ,-0.030365 ,3.161859  
0.320000  ,2.209729  ,0.257306  ,7.789817  ,8.000000  ,0.074393  ,-0.002578 ,1.110000  ,-0.031455 ,2.783534  
0.340000  ,2.364876  ,0.273540  ,7.809330  ,8.000000  ,0.068968  ,-0.009438 ,1.210000  ,-0.031535 ,2.294597  
0.360000  ,2.520326  ,0.290436  ,7.827032  ,8.000000  ,0.062695  ,-0.007259 ,1.320000  ,-0.031077 ,1.763128  
0.380000  ,2.676064  ,0.307808  ,7.843090  ,8.000000  ,0.055478  ,-0.001992 ,1.320000  ,-0.031162 ,1.234735  
0.400000  ,2.832076  ,0.325472  ,7.857657  ,8.000000  ,0.047879  ,-0.023001 ,1.420000  ,-0.029057 ,0.738011  
0.420000  ,2.988354  ,0.343257  ,7.870872  ,8.000000  ,0.039909  ,0.007583  ,1.520000  ,-0.028162 ,0.289091  
0.440000  ,3.144890  ,0.361006  ,7.882860  ,8.000000  ,0.031710  ,0.003355  ,1.620000  ,-0.027021 ,0.104687  
0.460000  ,3.301675  ,0.378585  ,7.893735  ,8.000000  ,0.023404  ,-0.011244 ,1.720000  ,-0.027467 ,0.441927  
0.480000  ,3.458700  ,0.395875  ,7.903601  ,8.000000  ,0.014754  ,0.008986  ,1.720000  ,-0.026259 ,0.725034  
0.500000  ,3.615957  ,0.412778  ,7.912550  ,8.000000  ,0.006406  ,0.002171  ,1.820000  ,-0.025168 ,0.958640  
0.520000  ,3.773435  ,0.429214  ,7.920669  ,8.000000  ,0.000000  ,-0.006818 ,1.920000  ,-0.024055 ,1.148488  
0.540000  ,3.931123  ,0.445116  ,7.928034  ,8.000000  ,0.009760  ,0.025859  ,2.020000  ,-0.025260 ,1.300674  
0.560000  ,4.089010  ,0.460430  ,7.934715  ,8.000000  ,0.017470  ,-0.011123 ,2.130000  ,-0.026461 ,1.421160  
0.580000  ,4.247085  ,0.475114  ,7.940776  ,8.000000  ,0.025246  ,-0.016805 ,2.130000  ,-0.025564 ,1.515470  
0.600000  ,4.405336  ,0.489134  ,7.946275  ,8.000000  ,0.032425  ,0.023852  ,2.230000  ,-0.024673 ,1.588537  
0.620000  ,4.563752  ,0.502464  ,7.951262  ,8.000000  ,0.039236  ,-0.031034 ,2.330000  ,-0.022988 ,1.644639  
0.640000  ,4.722322  ,0.515083  ,7.955787  ,8.000000  ,0.045658  ,0.014003  ,2.430000  ,-0.026999 ,1.687397  
0.660000  ,4.881034  ,0.526975  ,7.959892  ,8.000000  ,0.051670  ,0.026399  ,2.530000  ,-0.026314 ,1.719815  
0.680000  ,5.039878  ,0.538129  ,7.963616  ,8.000000  ,0.057585  ,-0.011917 ,2.530000  ,-0.025340 ,1.744339  
0.700000  ,5.198844  ,0.548535  ,7.966993  ,8.000000  ,0.062800  ,0.006554  ,2.630000  ,-0.024396 ,1.762928  
0.720000  ,5.357922  ,0.558185  ,7.970058  ,8.000000  ,0.067541  ,0.032800  ,2.730000  ,-0.028792 ,1.777123  
0.740000  ,5.517104  ,0.567074  ,7.972838  ,8.000000  ,0.071788  ,0.007355  ,2.830000  ,-0.028622 ,1.788118  
0.760000  ,5.676379  ,0.575198  ,7.975359  ,8.000000  ,0.075729  ,0.009809  ,2.830000  ,-0.030002 ,1.796822  
0.780000  ,5.835739  ,0.582553  ,7.977647  ,8.000000  ,0.079025  ,0.028655  ,2.940000  ,-0.030517 ,1.803913  
