# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.175634  ,0.177304  ,-0.014052 ,0.501322  ,0.013881  ,0.020156  ,0.100000  ,0.220869  ,134.999213
0.020000  ,0.185157  ,0.186637  ,0.023660  ,0.548889  ,0.000000  ,-0.014847 ,0.100000  ,0.399969  ,-44.424767
0.040000  ,0.218424  ,0.218847  ,0.104195  ,0.647222  ,0.027143  ,0.012276  ,0.100000  ,0.399991  ,44.069477 
0.060000  ,0.216910  ,0.215264  ,0.153576  ,0.707517  ,0.023578  ,0.030357  ,0.100000  ,0.399983  ,112.949099
0.080000  ,0.157598  ,0.152820  ,0.144776  ,0.696771  ,0.038144  ,0.033153  ,0.100000  ,0.399997  ,133.656984
0.100000  ,0.192177  ,0.183266  ,0.222874  ,0.792129  ,0.000000  ,-0.038608 ,0.100000  ,0.399996  ,41.067095 
0.120000  ,0.224884  ,0.210863  ,0.302530  ,0.889389  ,0.019081  ,-0.078478 ,0.100000  ,0.399993  ,39.596440 
0.140000  ,0.241319  ,0.221150  ,0.369024  ,0.970578  ,0.029168  ,-0.011588 ,0.100000  ,0.399975  ,31.081949 
0.160000  ,0.204239  ,0.176849  ,0.383166  ,0.987845  ,0.014681  ,0.046597  ,0.100000  ,0.399996  ,131.431004
0.180000  ,0.194579  ,0.158950  ,0.419760  ,1.032527  ,0.032462  ,-0.036445 ,0.100000  ,0.399997  ,120.479669
0.200000  ,0.262356  ,0.217551  ,0.531774  ,1.169295  ,0.025315  ,-0.005234 ,0.100000  ,0.003343  ,38.017324 
0.220000  ,0.235442  ,0.182045  ,0.555828  ,1.198665  ,0.009862  ,0.022425  ,0.100000  ,0.198980  ,130.653161
0.240000  ,0.205842  ,0.143732  ,0.573169  ,1.219840  ,0.047815  ,0.022842  ,0.100000  ,0.379816  ,131.912521
0.260000  ,0.298462  ,0.226734  ,0.708145  ,1.384645  ,0.040735  ,-0.014617 ,0.200000  ,-0.315955 ,36.958989 
0.280000  ,0.301623  ,0.219281  ,0.762657  ,1.451204  ,0.033034  ,0.009627  ,0.200000  ,-0.339698 ,72.596774 
0.300000  ,0.295681  ,0.202035  ,0.806970  ,1.505310  ,0.016373  ,-0.000511 ,0.200000  ,-0.333664 ,115.363041
0.320000  ,0.355956  ,0.249997  ,0.915182  ,1.637437  ,0.058891  ,0.003025  ,0.200000  ,-0.400000 ,31.453715 
0.340000  ,0.345820  ,0.226241  ,0.957903  ,1.689600  ,0.036109  ,-0.074609 ,0.200000  ,-0.399999 ,120.747984
0.360000  ,0.318799  ,0.184106  ,0.980585  ,1.717294  ,0.003506  ,-0.000213 ,0.200000  ,-0.362382 ,130.746074
0.380000  ,0.407931  ,0.256540  ,1.114190  ,1.880426  ,0.060871  ,-0.037094 ,0.200000  ,-0.400000 ,30.776075 
0.400000  ,0.409499  ,0.239646  ,1.167866  ,1.945964  ,0.043905  ,0.020770  ,0.200000  ,-0.399999 ,93.059684 
0.420000  ,0.433082  ,0.242785  ,1.241198  ,2.035503  ,0.044973  ,0.015669  ,0.200000  ,-0.399998 ,0.589268  
0.440000  ,0.473508  ,0.260605  ,1.331308  ,2.145527  ,0.059197  ,-0.014865 ,0.200000  ,-0.393356 ,16.075089 
0.460000  ,0.504882  ,0.266984  ,1.414026  ,2.246526  ,0.062200  ,0.032128  ,0.300000  ,-0.315879 ,4.523620  
0.480000  ,0.519002  ,0.253466  ,1.479978  ,2.327054  ,0.047602  ,0.099076  ,0.300000  ,-0.208099 ,49.658619 
0.500000  ,0.572772  ,0.276856  ,1.583988  ,2.454049  ,0.066643  ,-0.018887 ,0.300000  ,-0.149059 ,18.927793 
0.520000  ,0.548524  ,0.219613  ,1.612691  ,2.489096  ,0.011509  ,-0.005749 ,0.300000  ,0.036838  ,116.089712
0.540000  ,0.638588  ,0.274424  ,1.749487  ,2.656124  ,0.058986  ,0.003148  ,0.300000  ,0.006171  ,29.558639 
0.560000  ,0.584427  ,0.183044  ,1.748468  ,2.654879  ,0.027799  ,0.055300  ,0.300000  ,0.220716  ,121.261061
0.580000  ,0.630607  ,0.190294  ,1.837815  ,2.763972  ,0.024243  ,-0.050398 ,0.300000  ,0.251366  ,-9.206401 
0.600000  ,0.722775  ,0.242108  ,1.974230  ,2.930535  ,0.019537  ,-0.102984 ,0.400000  ,0.181085  ,-30.203157
0.620000  ,0.720424  ,0.198103  ,2.022175  ,2.989076  ,0.024190  ,0.025993  ,0.400000  ,0.240577  ,91.967135 
0.640000  ,0.794472  ,0.229417  ,2.141769  ,3.135100  ,0.000000  ,-0.052290 ,0.400000  ,0.187159  ,-23.870010
0.660000  ,0.846213  ,0.237635  ,2.242689  ,3.258323  ,0.006310  ,-0.013104 ,0.400000  ,0.151004  ,-9.427550 
0.680000  ,0.863070  ,0.210322  ,2.309681  ,3.340121  ,0.022132  ,-0.017002 ,0.400000  ,0.144117  ,58.798817 
0.700000  ,0.927908  ,0.230272  ,2.421513  ,3.476667  ,0.006498  ,-0.001799 ,0.510000  ,0.083911  ,15.577406 
0.720000  ,0.990354  ,0.246892  ,2.532997  ,3.612789  ,0.000000  ,0.000648  ,0.510000  ,0.039070  ,12.343096 
0.740000  ,1.048746  ,0.258340  ,2.641996  ,3.745877  ,0.012228  ,0.048069  ,0.510000  ,0.001249  ,7.576655  
0.760000  ,1.102054  ,0.263134  ,2.746783  ,3.873822  ,0.012857  ,-0.014661 ,0.610000  ,-0.019387 ,0.922805  
0.780000  ,1.160648  ,0.271522  ,2.856926  ,4.008307  ,0.016778  ,0.041256  ,0.610000  ,-0.035458 ,3.414248  
0.800000  ,1.146973  ,0.205630  ,2.895208  ,4.055048  ,0.047888  ,-0.069886 ,0.610000  ,0.003978  ,106.709786
0.820000  ,1.220937  ,0.225272  ,3.013173  ,4.199084  ,0.033911  ,0.024974  ,0.610000  ,-0.005394 ,9.839520  
0.840000  ,1.362807  ,0.310561  ,3.200670  ,4.428018  ,0.040340  ,0.013111  ,0.710000  ,-0.050276 ,26.132020 
0.860000  ,1.428015  ,0.316985  ,3.320528  ,4.574364  ,0.041906  ,-0.030530 ,0.710000  ,-0.048103 ,0.897885  
0.880000  ,1.378633  ,0.206474  ,3.325967  ,4.581005  ,0.064635  ,-0.072073 ,0.710000  ,0.022358  ,118.648763
0.900000  ,1.502937  ,0.267147  ,3.492118  ,4.783876  ,0.013402  ,-0.034053 ,0.810000  ,-0.007187 ,21.715804 
0.920000  ,1.568747  ,0.266816  ,3.606026  ,4.922957  ,0.018583  ,0.007674  ,0.810000  ,0.004999  ,4.260285  
0.940000  ,1.667174  ,0.296675  ,3.751993  ,5.101183  ,0.003939  ,-0.002230 ,0.810000  ,-0.006523 ,13.151816 
0.960000  ,1.734640  ,0.293193  ,3.869839  ,5.245073  ,0.004571  ,0.010817  ,0.910000  ,-0.001836 ,6.556004  
0.980000  ,1.861922  ,0.347081  ,4.046592  ,5.460889  ,0.039954  ,-0.009472 ,0.910000  ,-0.019432 ,19.408047 
1.000000  ,1.897865  ,0.306978  ,4.137517  ,5.571909  ,0.002789  ,0.013003  ,1.010000  ,-0.002832 ,51.579864 
1.020000  ,1.901895  ,0.232255  ,4.191497  ,5.637818  ,0.077609  ,0.021465  ,1.010000  ,0.024279  ,90.254554 
1.040000  ,2.048117  ,0.297096  ,4.378752  ,5.866457  ,0.023289  ,-0.067484 ,1.010000  ,0.008718  ,20.693794 
1.060000  ,2.109773  ,0.274818  ,4.488189  ,6.000079  ,0.050013  ,-0.054428 ,1.110000  ,0.015986  ,23.030009 
1.080000  ,2.305113  ,0.383712  ,4.728284  ,6.293234  ,0.044969  ,-0.013333 ,1.210000  ,-0.017245 ,25.931485 
1.100000  ,2.318539  ,0.308063  ,4.798133  ,6.378520  ,0.031411  ,-0.079949 ,1.210000  ,0.004646  ,83.243414 
1.120000  ,2.390805  ,0.288465  ,4.917756  ,6.524580  ,0.055818  ,-0.002125 ,1.210000  ,0.018826  ,18.543702 
1.140000  ,2.567922  ,0.371000  ,5.139434  ,6.795249  ,0.014607  ,0.061809  ,1.320000  ,-0.012643 ,21.570353 
1.160000  ,2.583353  ,0.289146  ,5.208077  ,6.879062  ,0.068077  ,-0.026096 ,1.320000  ,0.008412  ,82.829903 
1.180000  ,2.749265  ,0.354931  ,5.417373  ,7.134612  ,0.013291  ,-0.016834 ,1.420000  ,-0.009137 ,18.074636 
1.200000  ,2.893568  ,0.396236  ,5.611768  ,7.371969  ,0.018676  ,-0.024495 ,1.520000  ,-0.016887 ,12.391786 
1.220000  ,2.972379  ,0.369026  ,5.744614  ,7.534174  ,0.013226  ,-0.010764 ,1.520000  ,-0.009458 ,22.635857 
1.240000  ,3.133147  ,0.420567  ,5.955641  ,7.791837  ,0.028428  ,0.002353  ,1.620000  ,-0.019443 ,14.253248 
1.260000  ,3.154228  ,0.329116  ,6.032024  ,7.885101  ,0.064085  ,0.028564  ,1.620000  ,-0.002322 ,80.430834 
1.280000  ,3.353652  ,0.412662  ,6.275738  ,8.000000  ,0.007771  ,-0.014614 ,1.720000  ,-0.013855 ,19.455334 
1.300000  ,3.452292  ,0.392159  ,6.410490  ,8.000000  ,0.018112  ,-0.014730 ,1.720000  ,-0.006614 ,14.868981 
1.320000  ,3.542868  ,0.360481  ,6.518986  ,8.000000  ,0.054825  ,0.012692  ,1.820000  ,0.001926  ,22.249459 
1.340000  ,3.757606  ,0.450092  ,6.735138  ,8.000000  ,0.023418  ,-0.034882 ,1.920000  ,-0.016888 ,19.835295 
1.360000  ,3.842498  ,0.407323  ,6.806474  ,8.000000  ,0.023482  ,0.002000  ,1.920000  ,-0.009483 ,29.472791 
1.380000  ,3.996142  ,0.430988  ,6.932980  ,8.000000  ,0.007372  ,-0.005490 ,2.020000  ,-0.012398 ,6.061800  
1.400000  ,4.080891  ,0.383523  ,6.978264  ,8.000000  ,0.058721  ,-0.010991 ,2.020000  ,-0.003486 ,31.861618 
1.420000  ,4.228767  ,0.397132  ,7.075493  ,8.000000  ,0.051863  ,0.047008  ,2.130000  ,-0.005251 ,2.769049  
1.440000  ,4.389764  ,0.421958  ,7.175696  ,8.000000  ,0.034059  ,-0.032881 ,2.230000  ,-0.007898 ,6.426560  
1.460000  ,4.521393  ,0.415640  ,7.237326  ,8.000000  ,0.045910  ,0.018187  ,2.330000  ,-0.006874 ,4.916058  
1.480000  ,4.737552  ,0.492187  ,7.375132  ,8.000000  ,0.022236  ,0.061134  ,2.430000  ,-0.015490 ,17.519396 
1.500000  ,4.803730  ,0.417183  ,7.355377  ,8.000000  ,0.055067  ,0.008785  ,2.430000  ,-0.001802 ,50.359262 
1.520000  ,5.004902  ,0.475690  ,7.463739  ,8.000000  ,0.003668  ,0.044388  ,2.530000  ,-0.013038 ,14.641324 
1.540000  ,5.083987  ,0.410700  ,7.443773  ,8.000000  ,0.071460  ,-0.031670 ,2.630000  ,-0.006903 ,40.773068 
1.560000  ,5.301971  ,0.483268  ,7.557043  ,8.000000  ,0.005760  ,0.048985  ,2.730000  ,-0.014327 ,17.270607 
1.580000  ,5.491961  ,0.526560  ,7.637181  ,8.000000  ,0.031947  ,-0.029534 ,2.830000  ,-0.019356 ,11.917397 
1.600000  ,5.588197  ,0.474872  ,7.618903  ,8.000000  ,0.022249  ,-0.036389 ,2.830000  ,-0.014950 ,28.932861 
1.620000  ,5.812804  ,0.550378  ,7.724768  ,8.000000  ,0.047411  ,-0.009166 ,2.940000  ,-0.019865 ,18.118302 
1.640000  ,5.897601  ,0.484940  ,7.686984  ,8.000000  ,0.020268  ,-0.006117 ,3.040000  ,-0.013710 ,37.886812 
1.660000  ,6.040123  ,0.476133  ,7.703445  ,8.000000  ,0.032127  ,0.048779  ,3.040000  ,-0.007664 ,3.528524  
1.680000  ,6.232552  ,0.516178  ,7.766657  ,8.000000  ,0.003967  ,-0.009700 ,3.140000  ,-0.013977 ,-12.002683
1.700000  ,6.363875  ,0.494091  ,7.765898  ,8.000000  ,0.020550  ,-0.000214 ,3.240000  ,-0.018720 ,9.057142  
1.720000  ,6.509698  ,0.485510  ,7.777044  ,8.000000  ,0.031497  ,0.035557  ,3.340000  ,-0.014714 ,2.631528  
1.740000  ,6.697055  ,0.517493  ,7.827370  ,8.000000  ,0.001655  ,-0.059884 ,3.440000  ,-0.028338 ,-10.672792
1.760000  ,6.917228  ,0.581346  ,7.908377  ,8.000000  ,0.061084  ,-0.040705 ,3.540000  ,-0.035489 ,-17.410324
1.780000  ,6.999440  ,0.506314  ,7.849490  ,8.000000  ,0.013694  ,-0.032640 ,3.540000  ,-0.017048 ,40.892653 
1.800000  ,7.144146  ,0.492844  ,7.851346  ,8.000000  ,0.026959  ,-0.013654 ,3.640000  ,-0.018867 ,3.549404  
1.820000  ,7.275599  ,0.464976  ,7.838365  ,8.000000  ,0.053496  ,-0.007061 ,3.640000  ,-0.015252 ,9.763351  
1.840000  ,7.474011  ,0.503135  ,7.890910  ,8.000000  ,0.012598  ,-0.042005 ,3.740000  ,-0.030247 ,-13.501444
1.860000  ,7.625566  ,0.493502  ,7.895301  ,8.000000  ,0.019144  ,-0.065261 ,3.850000  ,-0.023813 ,0.652468  
1.880000  ,7.790044  ,0.495847  ,7.911446  ,8.000000  ,0.012411  ,0.034802  ,3.950000  ,-0.022519 ,-4.140466 
1.900000  ,7.927890  ,0.470615  ,7.899903  ,8.000000  ,0.033283  ,0.011150  ,4.050000  ,-0.033341 ,6.733004  
