# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.183892  ,0.170394  ,8.000000  ,8.007482  ,0.000000  ,0.007482  ,0.120000  ,0.112686  ,-3.790280 
0.020000  ,0.185506  ,0.170287  ,0.171251  ,1.044475  ,0.000000  ,0.023771  ,0.120000  ,0.400000  ,0.000000  
0.040000  ,0.189742  ,0.170007  ,0.252320  ,0.940105  ,0.000000  ,-0.163776 ,0.120000  ,0.400000  ,0.016451  
0.060000  ,0.195423  ,0.169637  ,0.316174  ,1.231413  ,0.000868  ,0.062018  ,0.120000  ,0.400000  ,0.053478  
0.080000  ,0.202593  ,0.169189  ,0.401143  ,1.258945  ,0.001385  ,0.002371  ,0.120000  ,0.400000  ,0.108224  
0.100000  ,0.211407  ,0.168681  ,0.480781  ,1.494510  ,0.001978  ,0.156229  ,0.120000  ,0.400000  ,0.183933  
0.120000  ,0.221962  ,0.168889  ,0.574894  ,1.346460  ,0.001873  ,-0.088382 ,0.120000  ,0.400000  ,-3.792613 
0.140000  ,0.234117  ,0.170167  ,0.646526  ,1.472172  ,0.000713  ,-0.036164 ,0.120000  ,0.400000  ,-8.027196 
0.160000  ,0.247665  ,0.172238  ,0.723178  ,1.409486  ,0.001227  ,-0.177494 ,0.120000  ,0.400000  ,-9.846729 
0.180000  ,0.262532  ,0.174923  ,0.786894  ,1.614062  ,0.003769  ,-0.038291 ,0.120000  ,0.399999  ,-10.399872
0.200000  ,0.278725  ,0.178170  ,0.863688  ,1.686241  ,0.006859  ,-0.044902 ,0.120000  ,0.299137  ,10.408541 
0.220000  ,0.296352  ,0.182037  ,0.940053  ,1.908496  ,0.014879  ,0.099002  ,0.230000  ,0.175367  ,10.255612 
0.240000  ,0.315554  ,0.186491  ,1.029962  ,1.964494  ,0.018186  ,0.062753  ,0.230000  ,0.048257  ,9.725655  
0.260000  ,0.336485  ,0.191303  ,1.116723  ,1.918398  ,0.021748  ,-0.072360 ,0.230000  ,-0.054488 ,8.477081  
0.280000  ,0.359027  ,0.196291  ,1.191150  ,2.060778  ,0.025390  ,-0.006341 ,0.230000  ,-0.133827 ,7.002610  
0.300000  ,0.383147  ,0.201328  ,1.271885  ,2.149278  ,0.028988  ,-0.000676 ,0.230000  ,-0.210989 ,5.495821  
0.320000  ,0.408931  ,0.206313  ,1.353341  ,2.344792  ,0.032436  ,0.111263  ,0.230000  ,-0.227971 ,4.023055  
0.340000  ,0.436511  ,0.211138  ,1.445387  ,2.205623  ,0.035615  ,-0.122344 ,0.230000  ,-0.246099 ,2.615069  
0.360000  ,0.465792  ,0.215616  ,1.515966  ,2.261067  ,0.038349  ,-0.139314 ,0.230000  ,-0.248619 ,1.273815  
0.380000  ,0.496564  ,0.219517  ,1.585141  ,2.616377  ,0.040588  ,0.145022  ,0.350000  ,-0.215535 ,0.006156  
0.400000  ,0.529082  ,0.222674  ,1.680880  ,2.397148  ,0.041745  ,-0.172435 ,0.350000  ,-0.181494 ,1.181742  
0.420000  ,0.563301  ,0.224855  ,1.747377  ,2.623263  ,0.041824  ,-0.014546 ,0.350000  ,-0.133332 ,2.231597  
0.440000  ,0.599046  ,0.226210  ,1.828694  ,2.746822  ,0.040986  ,0.025582  ,0.350000  ,-0.080332 ,2.731349  
0.460000  ,0.636474  ,0.226962  ,1.913932  ,2.833034  ,0.039442  ,0.024340  ,0.350000  ,-0.028965 ,2.766445  
0.480000  ,0.675614  ,0.227432  ,1.999260  ,3.032527  ,0.037511  ,0.136286  ,0.350000  ,0.012674  ,2.391779  
0.500000  ,0.716566  ,0.227997  ,2.095188  ,3.028031  ,0.036191  ,0.033369  ,0.460000  ,0.050869  ,1.724456  
0.520000  ,0.759335  ,0.228970  ,2.181792  ,3.137247  ,0.034122  ,0.053728  ,0.460000  ,0.061477  ,0.967007  
0.540000  ,0.803847  ,0.230361  ,2.270495  ,3.012326  ,0.032345  ,-0.162202 ,0.460000  ,0.062981  ,0.437278  
0.560000  ,0.849914  ,0.232266  ,2.339366  ,3.095511  ,0.030972  ,-0.149679 ,0.460000  ,0.056654  ,0.013113  
0.580000  ,0.897353  ,0.234626  ,2.409566  ,3.185599  ,0.030509  ,-0.131616 ,0.580000  ,0.054380  ,0.210050  
0.600000  ,0.946195  ,0.237402  ,2.481612  ,3.439305  ,0.029478  ,0.048170  ,0.580000  ,0.042374  ,0.310356  
0.620000  ,0.996626  ,0.240590  ,2.570523  ,3.237567  ,0.028735  ,-0.244790 ,0.580000  ,0.029569  ,0.346988  
0.640000  ,1.048539  ,0.244187  ,2.632451  ,3.676640  ,0.028285  ,0.130745  ,0.580000  ,0.016900  ,0.344866  
0.660000  ,1.102020  ,0.248192  ,2.729392  ,3.768169  ,0.028609  ,0.122812  ,0.690000  ,0.010901  ,0.318486  
0.680000  ,1.157421  ,0.252441  ,2.825831  ,3.730262  ,0.028185  ,-0.014041 ,0.690000  ,0.001744  ,0.186567  
0.700000  ,1.214612  ,0.256929  ,2.909798  ,3.962838  ,0.027850  ,0.132386  ,0.690000  ,-0.004768 ,0.109680  
0.720000  ,1.273607  ,0.261675  ,3.007561  ,3.842727  ,0.027620  ,-0.088031 ,0.690000  ,-0.002759 ,0.069070  
0.740000  ,1.334347  ,0.266557  ,3.085097  ,4.145016  ,0.027599  ,0.134706  ,0.810000  ,-0.002665 ,0.001502  
0.760000  ,1.396852  ,0.271466  ,3.183499  ,4.230730  ,0.026923  ,0.119460  ,0.810000  ,-0.001876 ,0.063283  
