# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.058094 ,0.099210  ,7.990294  ,8.000000  ,0.077089  ,0.062622  ,100.000000,-0.140634 ,1.427268  
0.020000  ,0.091836  ,0.154542  ,7.991195  ,8.000000  ,0.014961  ,-0.032590 ,0.120000  ,-0.232209 ,1.201964  
0.040000  ,0.241866  ,0.209653  ,7.992013  ,8.000000  ,0.038697  ,0.117212  ,0.120000  ,-0.096711 ,0.685864  
0.060000  ,0.392209  ,0.263950  ,7.992754  ,8.000000  ,0.090962  ,0.094544  ,0.230000  ,-0.135132 ,0.186861  
0.080000  ,0.543099  ,0.316752  ,7.993427  ,8.000000  ,0.134787  ,-0.187006 ,0.350000  ,-0.401928 ,1.487563  
0.100000  ,0.694588  ,0.367846  ,7.994037  ,8.000000  ,0.177249  ,0.061017  ,0.460000  ,-0.116761 ,3.050994  
0.120000  ,0.846822  ,0.416710  ,7.994591  ,8.000000  ,0.215168  ,-0.039900 ,0.460000  ,-0.213030 ,4.655092  
0.140000  ,0.999996  ,0.462578  ,7.995093  ,8.000000  ,0.249790  ,-0.016427 ,0.580000  ,-0.162369 ,6.278377  
0.160000  ,1.154141  ,0.505099  ,7.995549  ,8.000000  ,0.280225  ,0.006989  ,0.690000  ,-0.161050 ,7.842229  
0.180000  ,1.309372  ,0.543501  ,7.995962  ,8.000000  ,0.305667  ,-0.006232 ,0.810000  ,-0.111124 ,9.307139  
0.200000  ,1.465688  ,0.577242  ,7.996337  ,8.000000  ,0.325696  ,0.017556  ,0.930000  ,-0.034275 ,10.708670 
0.220000  ,1.623032  ,0.605846  ,7.996677  ,8.000000  ,0.339539  ,0.014874  ,0.930000  ,-0.014565 ,-12.000805
0.240000  ,1.781234  ,0.629288  ,7.996985  ,8.000000  ,0.348058  ,-0.042228 ,1.040000  ,-0.054753 ,-13.018724
0.260000  ,1.940094  ,0.647820  ,7.997265  ,8.000000  ,0.351267  ,-0.059533 ,1.160000  ,-0.058242 ,-13.506133
0.280000  ,2.099434  ,0.661681  ,7.997519  ,8.000000  ,0.349501  ,-0.044179 ,1.270000  ,0.009271  ,-13.340830
0.300000  ,2.259135  ,0.670532  ,7.997749  ,8.000000  ,0.342514  ,0.079065  ,1.390000  ,0.148519  ,-12.762426
0.320000  ,2.419036  ,0.674577  ,7.997958  ,8.000000  ,0.330685  ,0.010661  ,1.390000  ,0.087965  ,-12.031667
0.340000  ,2.578993  ,0.674664  ,7.998148  ,8.000000  ,0.314936  ,-0.044950 ,1.500000  ,0.033303  ,-11.054428
0.360000  ,2.738929  ,0.671732  ,7.998320  ,8.000000  ,0.296260  ,0.013486  ,1.620000  ,0.100025  ,-9.626305 
0.380000  ,2.898803  ,0.666273  ,7.998476  ,8.000000  ,0.275211  ,0.045339  ,1.740000  ,0.120763  ,-7.819665 
0.400000  ,3.058585  ,0.658529  ,7.998617  ,8.000000  ,0.252089  ,-0.027545 ,1.850000  ,0.043744  ,-5.957113 
0.420000  ,3.218307  ,0.649559  ,7.998746  ,8.000000  ,0.228487  ,0.013423  ,1.850000  ,0.069495  ,-4.117676 
0.440000  ,3.378021  ,0.640407  ,7.998862  ,8.000000  ,0.204798  ,0.077405  ,1.970000  ,0.114409  ,-2.151737 
0.460000  ,3.537743  ,0.631355  ,7.998968  ,8.000000  ,0.181619  ,0.030958  ,2.080000  ,0.047296  ,-0.203577 
0.480000  ,3.697509  ,0.623078  ,7.999064  ,8.000000  ,0.159670  ,-0.071729 ,2.200000  ,-0.077075 ,1.549017  
0.500000  ,3.857357  ,0.616560  ,7.999151  ,8.000000  ,0.140540  ,0.073924  ,2.200000  ,0.038972  ,3.201959  
0.520000  ,4.017273  ,0.611948  ,7.999229  ,8.000000  ,0.123625  ,0.019408  ,2.310000  ,-0.040322 ,4.686470  
0.540000  ,4.177236  ,0.609308  ,7.999301  ,8.000000  ,0.109334  ,-0.152224 ,2.430000  ,-0.240715 ,5.754870  
0.560000  ,4.337220  ,0.608788  ,7.999366  ,8.000000  ,0.097864  ,0.035811  ,2.550000  ,-0.061929 ,6.316158  
0.580000  ,4.497203  ,0.609972  ,7.999425  ,8.000000  ,0.088850  ,-0.035966 ,2.660000  ,-0.142158 ,6.283463  
0.600000  ,4.657173  ,0.612425  ,7.999478  ,8.000000  ,0.082709  ,-0.036681 ,2.660000  ,-0.147216 ,5.586199  
0.620000  ,4.817121  ,0.616105  ,7.999527  ,8.000000  ,0.078210  ,0.053496  ,2.780000  ,-0.050620 ,4.432399  
0.640000  ,4.977060  ,0.620187  ,7.999571  ,8.000000  ,0.075031  ,-0.070161 ,2.890000  ,-0.162106 ,2.957450  
0.660000  ,5.137012  ,0.623746  ,7.999610  ,8.000000  ,0.072283  ,-0.012024 ,3.010000  ,-0.083454 ,1.111441  
0.680000  ,5.296983  ,0.626350  ,7.999647  ,8.000000  ,0.069574  ,-0.102482 ,3.120000  ,-0.149666 ,-0.944035 
0.700000  ,5.456973  ,0.627081  ,7.999679  ,8.000000  ,0.067026  ,-0.039250 ,3.120000  ,-0.056497 ,-3.046472 
0.720000  ,5.616956  ,0.625427  ,7.999709  ,8.000000  ,0.062579  ,-0.010346 ,3.240000  ,0.008570  ,-5.079324 
0.740000  ,5.776871  ,0.620481  ,7.999736  ,8.000000  ,0.055960  ,-0.010180 ,3.360000  ,0.044599  ,-6.975745 
0.760000  ,5.936639  ,0.612019  ,7.999761  ,8.000000  ,0.046970  ,0.153185  ,3.470000  ,0.231523  ,-8.621648 
0.780000  ,6.096188  ,0.600111  ,7.999783  ,8.000000  ,0.035705  ,-0.083203 ,3.590000  ,0.018827  ,-9.729718 
0.800000  ,6.255467  ,0.585015  ,7.999803  ,8.000000  ,0.023619  ,0.041842  ,3.590000  ,0.168653  ,-10.081899
0.820000  ,6.414449  ,0.567042  ,7.999821  ,8.000000  ,0.009167  ,-0.030901 ,3.700000  ,0.116773  ,-9.638217 
0.840000  ,6.573074  ,0.546156  ,7.999838  ,8.000000  ,0.006949  ,0.033031  ,3.820000  ,0.159490  ,-8.639476 
0.860000  ,6.731405  ,0.523128  ,7.999853  ,8.000000  ,0.023939  ,0.011478  ,3.940000  ,0.142603  ,-7.247259 
0.880000  ,6.889577  ,0.499034  ,7.999867  ,8.000000  ,0.040703  ,-0.044633 ,4.050000  ,0.048970  ,-5.372318 
0.900000  ,7.047688  ,0.474538  ,7.999879  ,8.000000  ,0.055261  ,0.028848  ,4.050000  ,0.105400  ,-3.108931 
0.920000  ,7.205830  ,0.450238  ,7.999890  ,8.000000  ,0.069096  ,-0.038437 ,4.170000  ,0.019363  ,-0.740038 
0.940000  ,7.364084  ,0.426681  ,7.999900  ,8.000000  ,0.080819  ,-0.122056 ,4.280000  ,-0.104371 ,1.466562  
0.960000  ,7.522523  ,0.404405  ,7.999910  ,8.000000  ,0.089869  ,0.039906  ,4.400000  ,0.009812  ,3.327762  
0.980000  ,7.681142  ,0.383444  ,7.999918  ,8.000000  ,0.096200  ,-0.092575 ,4.510000  ,-0.151183 ,4.641756  
1.000000  ,7.839932  ,0.363825  ,7.999926  ,8.000000  ,0.098481  ,0.093815  ,4.510000  ,0.021055  ,5.259819  
1.020000  ,7.998929  ,0.345959  ,7.999933  ,8.000000  ,0.098413  ,-0.028951 ,4.630000  ,-0.119051 ,5.339817  
1.040000  ,8.158095  ,0.329655  ,7.999939  ,8.000000  ,0.095342  ,-0.022181 ,4.750000  ,-0.125232 ,5.056967  
1.060000  ,8.317422  ,0.315023  ,7.999945  ,8.000000  ,0.089151  ,-0.053499 ,4.860000  ,-0.163555 ,4.550830  
1.080000  ,8.476846  ,0.301466  ,7.999950  ,8.000000  ,0.080430  ,-0.044301 ,4.980000  ,-0.165546 ,3.847748  
1.100000  ,8.636287  ,0.288119  ,7.999954  ,8.000000  ,0.068739  ,-0.022763 ,4.980000  ,-0.139706 ,2.750740  
1.120000  ,8.795676  ,0.274159  ,7.999959  ,8.000000  ,0.057015  ,-0.046136 ,5.090000  ,-0.149304 ,1.154796  
1.140000  ,8.954958  ,0.259032  ,7.999962  ,8.000000  ,0.044996  ,-0.112363 ,5.210000  ,-0.202064 ,-0.810713 
1.160000  ,9.114079  ,0.242298  ,7.999966  ,7.998693  ,0.033123  ,-0.122848 ,5.320000  ,-0.192966 ,-2.862915 
1.180000  ,9.272886  ,0.222864  ,7.999528  ,7.934282  ,0.022498  ,-0.079699 ,5.440000  ,-0.124959 ,-4.935624 
1.200000  ,9.430973  ,0.199875  ,7.977069  ,7.921544  ,0.012758  ,-0.027448 ,5.440000  ,-0.034695 ,-7.144156 
1.220000  ,9.587993  ,0.172808  ,7.957956  ,7.867108  ,0.006600  ,0.091909  ,5.560000  ,0.131593  ,-9.383016 
1.240000  ,9.743718  ,0.141584  ,7.926684  ,7.814575  ,0.003361  ,-0.073640 ,5.670000  ,0.016260  ,-11.361919
1.260000  ,9.897849  ,0.106279  ,7.888093  ,7.752206  ,0.003058  ,0.026282  ,5.790000  ,0.125545  ,-12.802680
1.280000  ,10.050165 ,0.067136  ,7.841317  ,7.683581  ,0.005507  ,0.146340  ,5.900000  ,0.249688  ,-13.528990
1.300000  ,10.200409 ,0.024230  ,7.787021  ,7.677603  ,0.009042  ,-0.117324 ,5.900000  ,0.008662  ,-13.575121
1.320000  ,10.348715 ,-0.021988 ,7.749356  ,7.622945  ,0.015737  ,-0.040186 ,6.020000  ,0.104747  ,-12.914421
