# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.104840  ,0.073715  ,0.000000  ,0.836550  ,0.095910  ,-0.012737 ,0.120000  ,nan       ,-174.176820
0.000000  ,0.104840  ,0.073715  ,0.000000  ,0.836550  ,0.095910  ,-0.013725 ,0.120000  ,nan       ,-3.790280 
0.020000  ,0.105155  ,0.073694  ,0.047355  ,0.893586  ,0.095934  ,-0.014353 ,0.120000  ,0.399999  ,0.000000  
0.040000  ,0.106894  ,0.073579  ,0.125919  ,0.974192  ,0.096066  ,0.000673  ,0.120000  ,0.400000  ,0.000000  
0.060000  ,0.110202  ,0.073360  ,0.204671  ,1.054993  ,0.096317  ,-0.003255 ,0.120000  ,0.400000  ,0.000000  
0.080000  ,0.115084  ,0.073037  ,0.283614  ,1.135988  ,0.096687  ,0.016353  ,0.120000  ,0.400000  ,-0.000000 
0.100000  ,0.121543  ,0.072609  ,0.362748  ,1.217179  ,0.097178  ,-0.020078 ,0.120000  ,0.400000  ,0.000000  
0.120000  ,0.129583  ,0.072076  ,0.442073  ,1.298566  ,0.097788  ,-0.042377 ,0.120000  ,0.400000  ,0.009818  
0.140000  ,0.139212  ,0.071497  ,0.521589  ,1.380150  ,0.098461  ,-0.011520 ,0.120000  ,0.400000  ,-0.231239 
0.160000  ,0.150447  ,0.071277  ,0.601297  ,1.461930  ,0.098789  ,-0.021059 ,0.120000  ,0.400000  ,-2.368455 
0.180000  ,0.163280  ,0.071484  ,0.681197  ,1.543908  ,0.098706  ,-0.007669 ,0.120000  ,0.400000  ,-4.061770 
0.200000  ,0.177694  ,0.072239  ,0.761290  ,1.626084  ,0.098090  ,0.004222  ,0.120000  ,0.400000  ,-5.595214 
0.220000  ,0.193665  ,0.073697  ,0.841577  ,1.708458  ,0.096786  ,0.026188  ,0.120000  ,0.400000  ,-7.050550 
0.240000  ,0.211154  ,0.076034  ,0.922057  ,1.791031  ,0.094618  ,0.011510  ,0.120000  ,0.400000  ,-8.436308 
0.260000  ,0.230129  ,0.079317  ,1.002732  ,1.873803  ,0.091519  ,0.018948  ,0.120000  ,0.399999  ,9.418302  
0.280000  ,0.250592  ,0.083433  ,1.083601  ,1.956775  ,0.087602  ,-0.008951 ,0.120000  ,0.399999  ,9.627374  
0.300000  ,0.272530  ,0.088393  ,1.164666  ,2.039947  ,0.082854  ,0.031349  ,0.120000  ,0.310586  ,9.540859  
0.320000  ,0.295919  ,0.094268  ,1.245926  ,2.123320  ,0.072710  ,0.008473  ,0.230000  ,0.160164  ,9.344478  
0.340000  ,0.320724  ,0.101152  ,1.327382  ,2.206894  ,0.067309  ,-0.006714 ,0.230000  ,0.032782  ,9.100190  
0.360000  ,0.346902  ,0.109152  ,1.409035  ,2.290670  ,0.060876  ,-0.001189 ,0.230000  ,-0.089952 ,8.830036  
0.380000  ,0.374403  ,0.118382  ,1.490885  ,2.374648  ,0.053293  ,-0.008804 ,0.230000  ,-0.206149 ,8.542475  
0.400000  ,0.403174  ,0.128940  ,1.572933  ,2.458829  ,0.044460  ,0.016256  ,0.230000  ,-0.312360 ,8.214428  
0.420000  ,0.433270  ,0.140641  ,1.655179  ,2.543213  ,0.034564  ,-0.006705 ,0.230000  ,-0.399995 ,7.466771  
0.440000  ,0.464777  ,0.153255  ,1.737623  ,2.627801  ,0.023842  ,0.014813  ,0.230000  ,-0.400000 ,6.390701  
