# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.021756 ,0.145969  ,7.984291  ,8.000000  ,0.029454  ,-0.010806 ,100.000000,-0.188751 ,0.954993  
0.000000  ,-0.021756 ,0.145969  ,7.984291  ,8.000000  ,0.029454  ,0.009873  ,100.000000,-0.188751 ,17.559260 
0.020000  ,0.130401  ,0.194468  ,7.985749  ,8.000000  ,0.024590  ,-0.021178 ,0.120000  ,-0.137647 ,2.657257  
0.040000  ,0.283377  ,0.240408  ,7.987072  ,8.000000  ,0.073916  ,-0.035552 ,0.230000  ,-0.109772 ,4.688952  
0.060000  ,0.437269  ,0.283275  ,7.988272  ,8.000000  ,0.107581  ,-0.012659 ,0.230000  ,-0.087687 ,6.723578  
0.080000  ,0.592140  ,0.322548  ,7.989361  ,8.000000  ,0.137565  ,-0.009093 ,0.350000  ,-0.068103 ,8.566265  
0.100000  ,0.747950  ,0.357999  ,7.990349  ,8.000000  ,0.163634  ,-0.030935 ,0.460000  ,-0.034731 ,10.024013 
0.120000  ,0.904666  ,0.389299  ,7.991245  ,8.000000  ,0.184145  ,0.005404  ,0.580000  ,0.003290  ,11.000302 
0.140000  ,1.062226  ,0.416128  ,7.992058  ,8.000000  ,0.198640  ,0.006997  ,0.580000  ,0.020103  ,-11.557919
0.160000  ,1.220465  ,0.438724  ,7.992795  ,8.000000  ,0.208509  ,-0.035225 ,0.690000  ,0.039873  ,-11.671497
0.180000  ,1.379221  ,0.457477  ,7.993464  ,8.000000  ,0.213765  ,-0.009610 ,0.810000  ,0.043326  ,-11.244807
0.200000  ,1.538366  ,0.472714  ,7.994071  ,8.000000  ,0.214860  ,0.059320  ,0.930000  ,0.049185  ,-10.308224
0.220000  ,1.697785  ,0.484909  ,7.994621  ,8.000000  ,0.212353  ,0.032897  ,1.040000  ,0.053540  ,-8.988355 
0.240000  ,1.857392  ,0.494517  ,7.995121  ,8.000000  ,0.206600  ,-0.029733 ,1.040000  ,0.042438  ,-7.436756 
0.260000  ,2.017120  ,0.502070  ,7.995574  ,8.000000  ,0.198674  ,-0.023463 ,1.160000  ,0.033860  ,-5.804292 
0.280000  ,2.176920  ,0.508129  ,7.995985  ,8.000000  ,0.189033  ,0.010140  ,1.270000  ,0.022660  ,-4.194314 
0.300000  ,2.336762  ,0.513245  ,7.996357  ,8.000000  ,0.178306  ,0.009202  ,1.390000  ,0.010236  ,-2.673989 
0.320000  ,2.496628  ,0.517780  ,7.996696  ,8.000000  ,0.166926  ,0.088012  ,1.500000  ,-0.001650 ,1.334148  
0.340000  ,2.656508  ,0.522037  ,7.997002  ,8.000000  ,0.155418  ,-0.016120 ,1.500000  ,-0.016737 ,0.259626  
0.360000  ,2.816393  ,0.526355  ,7.997281  ,8.000000  ,0.144054  ,-0.021164 ,1.620000  ,-0.024666 ,0.540417  
0.380000  ,2.976281  ,0.530740  ,7.997533  ,8.000000  ,0.132944  ,-0.058939 ,1.740000  ,-0.036425 ,1.039593  
0.400000  ,3.136168  ,0.535333  ,7.997762  ,8.000000  ,0.122288  ,0.020573  ,1.850000  ,-0.032807 ,1.240655  
0.420000  ,3.296056  ,0.540038  ,7.997970  ,8.000000  ,0.112052  ,-0.003771 ,1.970000  ,-0.032533 ,1.178246  
0.440000  ,3.455950  ,0.544679  ,7.998158  ,8.000000  ,0.102569  ,0.013146  ,1.970000  ,-0.031334 ,0.860663  
0.460000  ,3.615852  ,0.549142  ,7.998329  ,8.000000  ,0.093139  ,0.014601  ,2.080000  ,-0.024165 ,0.349037  
0.480000  ,3.775764  ,0.553405  ,7.998484  ,8.000000  ,0.084030  ,-0.000770 ,2.200000  ,-0.018923 ,0.216458  
0.500000  ,3.935684  ,0.557426  ,7.998625  ,8.000000  ,0.075249  ,-0.012211 ,2.310000  ,-0.012327 ,0.707449  
0.520000  ,4.095617  ,0.561039  ,7.998753  ,8.000000  ,0.066680  ,-0.012249 ,2.430000  ,-0.008265 ,1.086395  
0.540000  ,4.255564  ,0.564115  ,7.998869  ,8.000000  ,0.058961  ,0.029215  ,2.430000  ,-0.003308 ,-1.373765 
0.560000  ,4.415523  ,0.566558  ,7.998974  ,8.000000  ,0.050949  ,0.028620  ,2.550000  ,-0.000366 ,-1.587325 
0.580000  ,4.575494  ,0.568295  ,7.999069  ,8.000000  ,0.043028  ,0.004740  ,2.660000  ,0.001115  ,-1.742236 
0.600000  ,4.735473  ,0.569274  ,7.999155  ,8.000000  ,0.035190  ,-0.032692 ,2.780000  ,0.006501  ,-1.851228 
0.620000  ,4.895457  ,0.569484  ,7.999234  ,8.000000  ,0.027463  ,-0.033274 ,2.890000  ,0.002350  ,-1.915592 
0.640000  ,5.055442  ,0.569168  ,7.999305  ,8.000000  ,0.021072  ,-0.036646 ,2.890000  ,0.004229  ,-1.865022 
0.660000  ,5.215427  ,0.568370  ,7.999369  ,8.000000  ,0.014623  ,0.013712  ,3.010000  ,-0.000679 ,-1.664643 
