# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error
0.000000  ,0.211887  ,0.039303  ,8.000000  ,7.943068  ,0.000000  
0.000000  ,0.211887  ,0.039303  ,0.000000  ,0.780000  ,0.000000  
0.020000  ,0.213495  ,0.039324  ,0.170639  ,1.327750  ,0.000000  
0.020000  ,0.213495  ,0.039324  ,0.170639  ,1.327750  ,0.000000  
0.040000  ,0.217995  ,0.039380  ,0.278064  ,1.672584  ,0.000000  
0.040000  ,0.217995  ,0.039380  ,0.278064  ,1.672584  ,0.000000  
0.060000  ,0.224866  ,0.039467  ,0.407530  ,2.088170  ,0.000401  
0.060000  ,0.224866  ,0.039467  ,0.407530  ,2.088170  ,0.000401  
0.080000  ,0.234593  ,0.039669  ,0.563558  ,2.589023  ,0.000622  
0.080000  ,0.234593  ,0.039669  ,0.563558  ,2.589023  ,0.000622  
0.100000  ,0.247728  ,0.040421  ,0.750447  ,3.188936  ,0.000441  
0.100000  ,0.247728  ,0.040421  ,0.750447  ,3.188936  ,0.000441  
0.120000  ,0.264614  ,0.041334  ,0.940647  ,3.799478  ,0.000264  
0.120000  ,0.264614  ,0.041334  ,0.940647  ,3.799478  ,0.000264  
0.140000  ,0.285304  ,0.042348  ,1.130847  ,4.410020  ,0.000151  
0.140000  ,0.285304  ,0.042348  ,1.130847  ,4.410020  ,0.000151  
0.160000  ,0.309802  ,0.043381  ,1.321047  ,5.020562  ,0.000183  
0.160000  ,0.309802  ,0.043381  ,1.321047  ,5.020562  ,0.000183  
0.180000  ,0.338103  ,0.044489  ,1.511247  ,5.631104  ,0.002893  
0.180000  ,0.338103  ,0.044489  ,1.511247  ,5.631104  ,0.002893  
0.200000  ,0.370206  ,0.045715  ,1.701447  ,6.241646  ,0.001934  
0.200000  ,0.370206  ,0.045715  ,1.701447  ,6.241646  ,0.001934  
0.220000  ,0.406111  ,0.047089  ,1.891647  ,6.852188  ,0.000000  
0.220000  ,0.406111  ,0.047089  ,1.891647  ,6.852188  ,0.000000  
0.240000  ,0.445820  ,0.048537  ,2.081847  ,7.462730  ,0.000261  
0.240000  ,0.445820  ,0.048537  ,2.081847  ,7.462730  ,0.000261  
0.260000  ,0.489335  ,0.049979  ,2.272047  ,8.000000  ,0.001341  
0.260000  ,0.489335  ,0.049979  ,2.272047  ,8.000000  ,0.001341  
0.280000  ,0.536655  ,0.051430  ,2.462247  ,8.000000  ,0.002875  
0.280000  ,0.536655  ,0.051430  ,2.462247  ,8.000000  ,0.002875  
0.300000  ,0.587781  ,0.052896  ,2.652447  ,8.000000  ,0.003591  
0.300000  ,0.587781  ,0.052896  ,2.652447  ,8.000000  ,0.003591  
