# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,0.183892  ,0.170394  ,0.000000  ,0.836550  ,0.000000  ,-0.006409 ,0.120000  ,nan       ,-23.042083
0.000000  ,0.183892  ,0.170394  ,0.000000  ,0.836550  ,0.000000  ,0.003427  ,0.120000  ,nan       ,-3.790280 
0.020000  ,0.183892  ,0.170394  ,0.000000  ,0.836550  ,0.000000  ,-0.002598 ,0.120000  ,nan       ,-3.790280 
0.040000  ,0.063236  ,0.097734  ,7.798857  ,8.000000  ,0.075593  ,-0.011768 ,100.000000,-0.093149 ,162.191879
0.060000  ,0.212208  ,0.137055  ,7.608657  ,8.000000  ,0.033611  ,0.005315  ,0.120000  ,-0.095603 ,3.185087  
0.080000  ,0.360128  ,0.174313  ,7.644989  ,8.000000  ,0.003386  ,0.013750  ,0.230000  ,-0.071462 ,4.277292  
0.100000  ,0.509239  ,0.209612  ,7.677948  ,8.000000  ,0.029924  ,0.005845  ,0.350000  ,-0.056493 ,5.029182  
0.120000  ,0.659519  ,0.242606  ,7.707847  ,8.000000  ,0.053643  ,-0.006254 ,0.350000  ,-0.050966 ,5.571995  
0.140000  ,0.810911  ,0.273085  ,7.734970  ,8.000000  ,0.074460  ,-0.002913 ,0.460000  ,-0.036217 ,5.977190  
0.160000  ,0.963316  ,0.301035  ,7.759575  ,8.000000  ,0.091588  ,-0.005706 ,0.580000  ,-0.020405 ,6.234800  
0.180000  ,1.116633  ,0.326491  ,7.781896  ,8.000000  ,0.105402  ,0.001893  ,0.690000  ,-0.011514 ,6.314544  
0.200000  ,1.270779  ,0.349409  ,7.802145  ,8.000000  ,0.115281  ,-0.002717 ,0.690000  ,-0.001872 ,6.244800  
0.220000  ,1.425667  ,0.369825  ,7.820513  ,8.000000  ,0.122325  ,-0.006238 ,0.810000  ,0.000273  ,6.081287  
0.240000  ,1.581182  ,0.388031  ,7.837177  ,8.000000  ,0.126561  ,-0.010992 ,0.930000  ,0.007139  ,5.796535  
0.260000  ,1.737248  ,0.404144  ,7.852293  ,8.000000  ,0.128174  ,-0.003256 ,1.040000  ,0.012401  ,5.380609  
0.280000  ,1.893780  ,0.418452  ,7.866006  ,8.000000  ,0.127538  ,-0.014974 ,1.160000  ,0.017550  ,4.852011  
0.300000  ,2.050701  ,0.431282  ,7.878446  ,8.000000  ,0.124937  ,0.006316  ,1.160000  ,0.013441  ,4.201264  
0.320000  ,2.207959  ,0.442856  ,7.889731  ,8.000000  ,0.121009  ,0.005874  ,1.270000  ,0.010165  ,3.468284  
0.340000  ,2.365503  ,0.453425  ,7.899968  ,8.000000  ,0.115931  ,0.003843  ,1.390000  ,0.005128  ,2.721534  
0.360000  ,2.523291  ,0.463241  ,7.909255  ,8.000000  ,0.110027  ,0.011607  ,1.500000  ,-0.002741 ,2.005643  
0.380000  ,2.681288  ,0.472548  ,7.917680  ,8.000000  ,0.103608  ,0.007545  ,1.620000  ,-0.006634 ,1.347485  
0.400000  ,2.839461  ,0.481570  ,7.925322  ,8.000000  ,0.097242  ,-0.006439 ,1.620000  ,-0.014717 ,0.761098  
0.420000  ,2.997795  ,0.490348  ,7.932255  ,8.000000  ,0.090695  ,-0.010048 ,1.740000  ,-0.023195 ,0.300907  
0.440000  ,3.156274  ,0.498888  ,7.938545  ,8.000000  ,0.084150  ,0.002330  ,1.850000  ,-0.023615 ,0.028984  
0.460000  ,3.314881  ,0.507275  ,7.944250  ,8.000000  ,0.077755  ,0.005086  ,1.970000  ,-0.025400 ,0.065727  
0.480000  ,3.473603  ,0.515538  ,7.949426  ,8.000000  ,0.071594  ,0.001735  ,2.080000  ,-0.026777 ,0.038940  
0.500000  ,3.632431  ,0.523664  ,7.954121  ,8.000000  ,0.066360  ,0.008531  ,2.080000  ,-0.027172 ,0.066699  
0.520000  ,3.791358  ,0.531616  ,7.958380  ,8.000000  ,0.061077  ,0.006973  ,2.200000  ,-0.027811 ,0.219289  
0.540000  ,3.950377  ,0.539339  ,7.962244  ,8.000000  ,0.056131  ,-0.002561 ,2.310000  ,-0.027159 ,0.395585  
0.560000  ,4.109484  ,0.546771  ,7.965750  ,8.000000  ,0.051510  ,0.001051  ,2.430000  ,-0.026916 ,0.579181  
0.580000  ,4.268674  ,0.553850  ,7.968929  ,8.000000  ,0.047198  ,0.014947  ,2.550000  ,-0.027417 ,0.758960  
0.600000  ,4.427943  ,0.560513  ,7.971814  ,8.000000  ,0.044159  ,-0.015200 ,2.550000  ,-0.025935 ,0.927820  
0.620000  ,4.587285  ,0.566701  ,7.974431  ,8.000000  ,0.040804  ,-0.002124 ,2.660000  ,-0.026610 ,1.081632  
0.640000  ,4.746697  ,0.572362  ,7.976805  ,8.000000  ,0.037758  ,0.009433  ,2.780000  ,-0.025541 ,1.218411  
0.660000  ,4.906174  ,0.577449  ,7.978958  ,8.000000  ,0.035015  ,-0.016089 ,2.890000  ,-0.028546 ,1.337673  
0.680000  ,5.065710  ,0.581920  ,7.980912  ,8.000000  ,0.032575  ,0.009002  ,3.010000  ,-0.030382 ,1.439938  
0.700000  ,5.225300  ,0.585741  ,7.982684  ,8.000000  ,0.031696  ,-0.000747 ,3.010000  ,-0.029468 ,-1.526353 
0.720000  ,5.384939  ,0.588882  ,7.984291  ,8.000000  ,0.030312  ,0.004724  ,3.120000  ,-0.031814 ,-1.598423 
0.740000  ,5.544621  ,0.591318  ,7.985750  ,8.000000  ,0.029280  ,-0.006007 ,3.240000  ,-0.031787 ,-1.657810 
0.760000  ,5.704340  ,0.593029  ,7.987073  ,8.000000  ,0.028614  ,0.000642  ,3.360000  ,-0.036832 ,-1.706201 
0.780000  ,5.864091  ,0.593998  ,7.988273  ,8.000000  ,0.029349  ,-0.010073 ,3.360000  ,-0.037700 ,-1.745219 
0.800000  ,6.023867  ,0.594211  ,7.989362  ,8.000000  ,0.029910  ,-0.006093 ,3.470000  ,-0.040672 ,-1.776364 
0.820000  ,6.183663  ,0.593632  ,7.990349  ,8.000000  ,0.030880  ,-0.000426 ,3.590000  ,-0.044211 ,-1.810205 
0.840000  ,6.343470  ,0.591987  ,7.991245  ,8.000000  ,0.032009  ,0.010130  ,3.700000  ,-0.043509 ,-1.926547 
0.860000  ,6.503279  ,0.589208  ,7.992058  ,8.000000  ,0.033255  ,-0.001139 ,3.820000  ,-0.044669 ,-2.168166 
0.880000  ,6.663077  ,0.585211  ,7.992795  ,8.000000  ,0.035702  ,0.007984  ,3.820000  ,-0.041048 ,-2.487876 
0.900000  ,6.822850  ,0.579884  ,7.993464  ,8.000000  ,0.037436  ,0.007306  ,3.940000  ,-0.037969 ,-2.844441 
0.920000  ,6.982581  ,0.573104  ,7.994071  ,8.000000  ,0.039040  ,0.012623  ,4.050000  ,-0.035003 ,-3.208913 
0.940000  ,7.142249  ,0.564747  ,7.994621  ,8.000000  ,0.040401  ,0.010338  ,4.170000  ,-0.028729 ,-3.561807 
0.960000  ,7.301829  ,0.554694  ,7.995121  ,8.000000  ,0.041414  ,0.011973  ,4.280000  ,-0.027517 ,-3.890794 
0.980000  ,7.461295  ,0.542832  ,7.995574  ,8.000000  ,0.043205  ,-0.002803 ,4.280000  ,-0.020709 ,-4.188843 
1.000000  ,7.620618  ,0.529089  ,7.995985  ,8.000000  ,0.043731  ,-0.007933 ,4.400000  ,-0.016533 ,-4.443507 
1.020000  ,7.779793  ,0.513641  ,7.996358  ,8.000000  ,0.043929  ,0.005311  ,4.510000  ,-0.011581 ,-4.575449 
1.040000  ,7.938799  ,0.496473  ,7.996696  ,8.000000  ,0.043785  ,0.007410  ,4.630000  ,-0.015965 ,-4.544142 
1.060000  ,8.097617  ,0.477600  ,7.997002  ,8.000000  ,0.043324  ,0.001402  ,4.750000  ,-0.017968 ,-4.400055 
1.080000  ,8.256237  ,0.457075  ,7.997281  ,8.000000  ,0.043920  ,-0.007876 ,4.750000  ,-0.017388 ,-4.188195 
1.100000  ,8.414650  ,0.434974  ,7.997533  ,8.000000  ,0.043550  ,-0.001202 ,4.860000  ,-0.017289 ,-3.941436 
1.120000  ,8.572853  ,0.411383  ,7.997762  ,8.000000  ,0.043119  ,0.004376  ,4.980000  ,-0.020344 ,-3.683106 
1.140000  ,8.730846  ,0.386392  ,7.997970  ,8.000000  ,0.042724  ,0.012232  ,5.090000  ,-0.031061 ,-3.429146 
1.160000  ,8.888629  ,0.360089  ,7.998158  ,8.000000  ,0.042461  ,-0.009480 ,5.210000  ,-0.036398 ,-3.189878 
1.180000  ,9.046207  ,0.332556  ,7.998329  ,8.000000  ,0.043761  ,-0.009043 ,5.210000  ,-0.038887 ,-2.971437 
1.200000  ,9.203581  ,0.303869  ,7.998485  ,7.987637  ,0.044495  ,-0.003233 ,5.320000  ,-0.041417 ,-2.776903 
1.220000  ,9.360752  ,0.274068  ,7.998625  ,7.950007  ,0.045552  ,-0.000360 ,5.440000  ,-0.050773 ,-2.616449 
1.240000  ,9.517629  ,0.242958  ,7.994843  ,7.875292  ,0.046717  ,-0.000528 ,5.560000  ,-0.052357 ,-2.572183 
1.260000  ,9.674042  ,0.210556  ,7.979409  ,7.807487  ,0.047948  ,-0.011619 ,5.670000  ,-0.056512 ,-2.697983 
1.280000  ,9.829651  ,0.176886  ,7.943570  ,7.799008  ,0.050569  ,-0.003636 ,5.670000  ,-0.054065 ,-2.970165 
1.300000  ,9.984123  ,0.141927  ,7.896727  ,7.745295  ,0.052242  ,-0.005310 ,5.790000  ,-0.050251 ,-3.362848 
1.320000  ,10.137447 ,0.105555  ,7.863090  ,7.702599  ,0.053727  ,0.012584  ,5.900000  ,-0.048753 ,-3.817787 
1.340000  ,10.289625 ,0.067623  ,7.822542  ,7.621789  ,0.054902  ,0.000975  ,6.020000  ,-0.042363 ,-4.295171 
1.360000  ,10.440526 ,0.028005  ,7.781255  ,7.551151  ,0.055632  ,0.001536  ,6.130000  ,-0.040586 ,-4.781190 
1.380000  ,10.589943 ,-0.013396 ,7.726363  ,7.554695  ,0.057776  ,0.001112  ,6.130000  ,-0.031268 ,-5.282984 
1.400000  ,10.737625 ,-0.056668 ,7.666051  ,7.498329  ,0.057958  ,0.004944  ,6.250000  ,-0.016575 ,-5.810872 
1.420000  ,10.883664 ,-0.102008 ,7.627720  ,7.439515  ,0.057266  ,0.008704  ,6.370000  ,-0.013459 ,-6.302327 
1.440000  ,11.028122 ,-0.149563 ,7.583180  ,7.357436  ,0.055567  ,0.009045  ,6.480000  ,-0.002043 ,-6.721589 
1.460000  ,11.170903 ,-0.199133 ,7.533727  ,7.354553  ,0.055014  ,-0.003532 ,6.480000  ,0.010161  ,-7.016526 
1.480000  ,11.311798 ,-0.250698 ,7.473043  ,7.302755  ,0.052358  ,-0.008563 ,6.600000  ,0.023461  ,-7.166541 
1.500000  ,11.450848 ,-0.304316 ,7.432256  ,7.238070  ,0.048716  ,-0.004854 ,6.710000  ,0.026036  ,-7.179764 
1.520000  ,11.588219 ,-0.359858 ,7.387679  ,7.162652  ,0.044227  ,0.013637  ,6.830000  ,0.017132  ,-7.023722 
1.540000  ,11.723863 ,-0.417055 ,7.336180  ,7.163680  ,0.041262  ,0.008409  ,6.830000  ,0.022275  ,-6.693491 
1.560000  ,11.857662 ,-0.475716 ,7.276447  ,7.107732  ,0.036469  ,0.004899  ,6.940000  ,0.041071  ,-6.236497 
1.580000  ,11.989786 ,-0.535742 ,7.237630  ,7.041874  ,0.031251  ,0.007096  ,7.060000  ,0.016726  ,-5.679747 
1.600000  ,12.120416 ,-0.597002 ,7.192916  ,6.961795  ,0.025756  ,0.000466  ,7.180000  ,0.006625  ,-5.056665 
1.620000  ,12.249524 ,-0.659204 ,7.140924  ,6.970994  ,0.022786  ,-0.007772 ,7.180000  ,0.019526  ,-4.419275 
1.640000  ,12.377155 ,-0.721833 ,7.079263  ,6.921752  ,0.018592  ,0.008292  ,7.290000  ,-0.000440 ,-3.735571 
1.660000  ,12.503438 ,-0.784984 ,7.041995  ,6.846465  ,0.014718  ,-0.012337 ,7.410000  ,-0.019582 ,-3.011742 
1.680000  ,12.628633 ,-0.848542 ,7.000604  ,6.844739  ,0.013580  ,-0.009783 ,7.410000  ,-0.026403 ,-2.355735 
1.700000  ,12.752614 ,-0.912383 ,6.947546  ,6.808154  ,0.011770  ,-0.004680 ,7.520000  ,-0.045717 ,-1.828547 
1.720000  ,12.875458 ,-0.976518 ,6.912157  ,6.743405  ,0.010483  ,0.014658  ,7.640000  ,-0.063229 ,-1.482300 
1.740000  ,12.997364 ,-1.040909 ,6.876357  ,6.732815  ,0.011842  ,0.008545  ,7.640000  ,-0.068184 ,-1.301093 
1.760000  ,13.118249 ,-1.105470 ,6.830592  ,6.701813  ,0.012925  ,0.010011  ,7.750000  ,-0.082667 ,-1.240759 
1.780000  ,13.238020 ,-1.170439 ,6.796935  ,6.652894  ,0.014368  ,0.006213  ,7.870000  ,-0.094424 ,-1.326283 
1.800000  ,13.356679 ,-1.236057 ,6.764191  ,6.645277  ,0.017927  ,0.006552  ,7.870000  ,-0.101550 ,-1.623851 
1.820000  ,13.474050 ,-1.302514 ,6.725880  ,6.614601  ,0.020610  ,-0.003289 ,7.990000  ,-0.095041 ,-2.133347 
1.840000  ,13.590093 ,-1.369970 ,6.698135  ,6.578172  ,0.022997  ,0.001556  ,8.100000  ,-0.095652 ,-2.791337 
1.860000  ,13.704748 ,-1.438665 ,6.669380  ,6.571549  ,0.026971  ,-0.008311 ,8.100000  ,-0.094881 ,-3.509439 
1.880000  ,13.817710 ,-1.508973 ,6.637984  ,6.547917  ,0.029224  ,-0.000616 ,8.220000  ,-0.076885 ,-4.294115 
1.900000  ,13.929000 ,-1.580914 ,6.615115  ,6.521976  ,0.030471  ,0.003014  ,8.330000  ,-0.072690 ,-5.091995 
1.920000  ,14.038519 ,-1.654700 ,6.591984  ,6.512267  ,0.032962  ,0.005562  ,8.330000  ,-0.054467 ,-5.765874 
1.940000  ,14.146093 ,-1.730476 ,6.567886  ,6.501581  ,0.033213  ,-0.014011 ,8.450000  ,-0.049512 ,-6.325064 
1.960000  ,14.251606 ,-1.808375 ,6.548740  ,6.484981  ,0.031889  ,-0.002849 ,8.560000  ,-0.048748 ,-6.774966 
1.980000  ,14.355079 ,-1.888390 ,6.532507  ,6.478509  ,0.032093  ,-0.022097 ,8.560000  ,-0.030915 ,-7.079409 
2.000000  ,14.456518 ,-1.970450 ,6.516147  ,6.473444  ,0.029777  ,0.002952  ,8.680000  ,-0.034119 ,-7.195342 
2.020000  ,14.555883 ,-2.054560 ,6.503191  ,6.465098  ,0.026043  ,0.011206  ,8.800000  ,-0.043797 ,-7.135000 
2.040000  ,14.653205 ,-2.140678 ,6.492951  ,6.460711  ,0.024887  ,-0.005167 ,8.800000  ,-0.032851 ,-6.950671 
2.060000  ,14.748669 ,-2.228560 ,6.483363  ,6.459755  ,0.021221  ,-0.003932 ,8.910000  ,-0.047151 ,-6.642052 
2.080000  ,14.842168 ,-2.318281 ,6.475566  ,6.458141  ,0.016529  ,-0.002623 ,9.030000  ,-0.064870 ,-6.244594 
2.100000  ,14.933770 ,-2.409752 ,6.470123  ,6.454353  ,0.015998  ,-0.010467 ,9.030000  ,-0.060301 ,-5.885203 
2.120000  ,15.023554 ,-2.502876 ,6.465999  ,6.455875  ,0.012598  ,0.012119  ,9.140000  ,-0.076148 ,-5.569821 
2.140000  ,15.111460 ,-2.597663 ,6.461990  ,6.457829  ,0.008576  ,0.024008  ,9.260000  ,-0.091662 ,-5.332671 
2.160000  ,15.197535 ,-2.694037 ,6.459885  ,6.453931  ,0.010507  ,0.001220  ,9.260000  ,-0.087091 ,-5.190988 
2.180000  ,15.281801 ,-2.791959 ,6.459177  ,6.456126  ,0.009023  ,0.004860  ,9.380000  ,-0.099120 ,-5.116135 
