# laptime, ego_x_pos, ego_y_pos, actual speed, expected speed, tracking error, nosie, completion, steering, slip_angle
0.000000  ,-0.024282 ,0.126293  ,7.987638  ,8.000000  ,0.049186  ,-0.002888 ,100.000000,-0.183197 ,1.511985  
0.020000  ,0.145547  ,0.194344  ,8.006585  ,7.961587  ,0.024320  ,-0.005894 ,0.120000  ,-0.159443 ,4.646268  
0.040000  ,0.275414  ,0.219838  ,7.973931  ,8.000000  ,0.048557  ,0.010732  ,0.120000  ,-0.145686 ,3.557030  
0.060000  ,0.437886  ,0.274618  ,7.985114  ,8.000000  ,0.098903  ,0.006639  ,0.230000  ,-0.120018 ,6.937663  
0.080000  ,0.572923  ,0.298084  ,7.967810  ,8.000000  ,0.114326  ,-0.007635 ,0.350000  ,-0.114513 ,1.243004  
0.100000  ,0.747229  ,0.356391  ,7.988679  ,8.000000  ,0.162081  ,-0.000878 ,0.460000  ,-0.057660 ,12.888467 
0.120000  ,0.909335  ,0.397613  ,7.996253  ,8.000000  ,0.192071  ,-0.009985 ,0.580000  ,-0.029535 ,11.491257 
0.140000  ,1.068539  ,0.430609  ,7.999859  ,8.000000  ,0.213195  ,-0.002142 ,0.690000  ,-0.001760 ,11.589380 
0.160000  ,1.218460  ,0.449204  ,7.993268  ,8.000000  ,0.219121  ,-0.003912 ,0.690000  ,0.018076  ,-9.164030 
0.180000  ,1.368632  ,0.463288  ,7.986175  ,8.000000  ,0.220496  ,-0.012749 ,0.810000  ,0.030104  ,-9.041631 
0.200000  ,1.536579  ,0.490657  ,7.996240  ,8.000000  ,0.232891  ,-0.005296 ,0.930000  ,0.040107  ,-13.936649
0.220000  ,1.685300  ,0.494736  ,7.986602  ,8.000000  ,0.223334  ,-0.009563 ,1.040000  ,0.056945  ,-6.715621 
0.240000  ,1.865704  ,0.526866  ,8.008286  ,7.988889  ,0.238180  ,-0.003040 ,1.160000  ,-0.386220 ,-15.299703
0.260000  ,2.001369  ,0.511405  ,7.982982  ,8.000000  ,0.209506  ,-0.007271 ,1.160000  ,0.052189  ,1.695112  
0.280000  ,2.175483  ,0.532068  ,7.998175  ,8.000000  ,0.212997  ,0.002063  ,1.270000  ,0.040593  ,-10.865807
