# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,37.520000 ,100.000000,0.000000  ,-0.000000 ,0.017350  ,15.656818 
2.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,-0.000000 ,0.017362  ,15.485523 
3.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,-0.000000 ,0.017165  ,15.489167 
4.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,-0.000000 ,0.017473  ,15.459187 
5.000000  ,1.000000  ,36.780000 ,100.000000,0.000000  ,0.000000  ,0.017291  ,15.355852 
6.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,-0.000000 ,0.016855  ,15.368108 
7.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,0.000000  ,0.017397  ,15.347468 
8.000000  ,1.000000  ,36.780000 ,100.000000,0.000000  ,0.000000  ,0.016676  ,15.376800 
9.000000  ,1.000000  ,36.780000 ,100.000000,0.000000  ,-0.000000 ,0.016993  ,15.313884 
10.000000 ,1.000000  ,36.740000 ,100.000000,0.000000  ,-0.000000 ,0.017074  ,15.383667 
11.000000 ,1.000000  ,36.780000 ,100.000000,0.020000  ,0.000000  ,0.016857  ,15.434201 
12.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.012707  ,0.017040  ,15.313519 
13.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.014231  ,0.017044  ,15.420522 
14.000000 ,1.000000  ,36.780000 ,100.000000,0.020000  ,0.012826  ,0.017004  ,15.316522 
15.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.012426  ,0.017463  ,15.343710 
16.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.014055  ,0.016958  ,15.454929 
17.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.011890  ,0.017479  ,15.360199 
18.000000 ,1.000000  ,36.780000 ,100.000000,0.020000  ,0.014568  ,0.016926  ,15.428897 
19.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.012411  ,0.017306  ,15.388572 
20.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.012604  ,0.016994  ,15.341799 
21.000000 ,1.000000  ,36.760000 ,100.000000,0.040000  ,0.014775  ,0.017179  ,15.340204 
22.000000 ,1.000000  ,36.760000 ,100.000000,0.040000  ,0.030018  ,0.017375  ,15.330563 
23.000000 ,1.000000  ,36.760000 ,100.000000,0.040000  ,0.029082  ,0.017618  ,15.426012 
24.000000 ,1.000000  ,36.780000 ,100.000000,0.040000  ,0.024626  ,0.016912  ,15.490295 
25.000000 ,1.000000  ,36.760000 ,100.000000,0.040000  ,0.028313  ,0.017433  ,15.234300 
26.000000 ,1.000000  ,36.760000 ,100.000000,0.040000  ,0.023619  ,0.017832  ,15.342397 
27.000000 ,1.000000  ,36.780000 ,100.000000,0.040000  ,0.025736  ,0.016769  ,15.401003 
28.000000 ,1.000000  ,36.760000 ,100.000000,0.040000  ,0.029669  ,0.017342  ,15.297214 
29.000000 ,1.000000  ,36.760000 ,100.000000,0.040000  ,0.027980  ,0.017264  ,15.341340 
30.000000 ,1.000000  ,36.760000 ,100.000000,0.040000  ,0.026710  ,0.017012  ,15.399033 
31.000000 ,1.000000  ,36.760000 ,100.000000,0.060000  ,0.030761  ,0.017641  ,15.268445 
32.000000 ,1.000000  ,36.760000 ,100.000000,0.060000  ,0.041878  ,0.017539  ,15.376921 
33.000000 ,1.000000  ,36.760000 ,100.000000,0.060000  ,0.035494  ,0.017359  ,15.379296 
