# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,33.800000 ,100.000000,0.000000  ,0.000000  ,0.022995  ,15.041596 
2.000000  ,1.000000  ,33.060000 ,100.000000,10.000000 ,0.000000  ,0.021861  ,14.875262 
3.000000  ,1.000000  ,33.080000 ,99.830000 ,20.000000 ,0.000000  ,0.021588  ,14.706899 
4.000000  ,1.000000  ,33.080000 ,99.830000 ,30.000000 ,0.000000  ,0.021936  ,14.710523 
5.000000  ,1.000000  ,33.960000 ,99.830000 ,40.000000 ,0.000000  ,0.023017  ,15.723341 
6.000000  ,1.000000  ,33.980000 ,99.740000 ,50.000000 ,0.000000  ,0.027066  ,15.148451 
7.000000  ,0.000000  ,12.340000 ,37.230000 ,60.000000 ,0.000000  ,0.007646  ,5.575285  
8.000000  ,0.000000  ,10.480000 ,29.380000 ,70.000000 ,0.000000  ,0.006502  ,4.836659  
9.000000  ,0.000000  ,5.840000  ,15.430000 ,80.000000 ,0.000000  ,0.002768  ,2.873656  
10.000000 ,0.000000  ,5.740000  ,14.820000 ,90.000000 ,0.000000  ,0.004786  ,2.977198  
