# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,37.560000 ,100.000000,0.000000  ,-0.000000 ,0.017016  ,15.756376 
2.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,0.000000  ,0.017220  ,15.346062 
3.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,0.000000  ,0.017351  ,15.442624 
4.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,0.000000  ,0.017352  ,15.440263 
5.000000  ,1.000000  ,36.780000 ,100.000000,0.000000  ,0.000000  ,0.016847  ,15.404314 
6.000000  ,1.000000  ,36.760000 ,100.000000,0.000000  ,0.000000  ,0.016964  ,15.381899 
7.000000  ,1.000000  ,36.780000 ,100.000000,0.000000  ,0.000000  ,0.016885  ,15.514385 
8.000000  ,1.000000  ,36.780000 ,100.000000,0.000000  ,-0.000000 ,0.016764  ,15.541478 
9.000000  ,1.000000  ,36.740000 ,100.000000,0.000000  ,0.000000  ,0.017315  ,15.359741 
10.000000 ,1.000000  ,36.780000 ,100.000000,0.000000  ,0.000000  ,0.016606  ,15.442330 
11.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,-0.000000 ,0.017309  ,15.459908 
12.000000 ,1.000000  ,36.800000 ,100.000000,0.020000  ,0.013603  ,0.017553  ,15.553205 
13.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.013109  ,0.017909  ,15.471806 
14.000000 ,1.000000  ,36.780000 ,100.000000,0.020000  ,0.013384  ,0.017265  ,15.533071 
15.000000 ,1.000000  ,36.780000 ,100.000000,0.020000  ,0.013771  ,0.017548  ,15.531190 
16.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.013508  ,0.017660  ,15.540451 
17.000000 ,1.000000  ,36.780000 ,100.000000,0.020000  ,0.013232  ,0.017117  ,15.489569 
18.000000 ,1.000000  ,36.780000 ,100.000000,0.020000  ,0.012752  ,0.017659  ,15.581412 
19.000000 ,1.000000  ,36.760000 ,100.000000,0.020000  ,0.011808  ,0.017624  ,15.575846 
20.000000 ,1.000000  ,36.780000 ,100.000000,0.020000  ,0.012952  ,0.017390  ,15.508695 
