# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,32.380000 ,100.000000,0.000000  ,0.000000  ,0.029556  ,14.404089 
2.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,0.000000  ,0.030718  ,14.056829 
3.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,0.000000  ,0.030327  ,13.967573 
4.000000  ,1.000000  ,31.560000 ,100.000000,0.000000  ,-0.000000 ,0.030862  ,14.117120 
5.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,-0.000000 ,0.031322  ,14.119591 
6.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,-0.000000 ,0.030708  ,13.997811 
7.000000  ,1.000000  ,31.560000 ,100.000000,0.000000  ,-0.000000 ,0.030618  ,13.999785 
8.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,-0.000000 ,0.031656  ,14.076200 
9.000000  ,1.000000  ,31.520000 ,100.000000,0.000000  ,-0.000000 ,0.031987  ,14.080589 
10.000000 ,1.000000  ,31.540000 ,100.000000,0.000000  ,0.000000  ,0.031290  ,13.990664 
11.000000 ,1.000000  ,31.540000 ,100.000000,0.020000  ,0.000000  ,0.031410  ,13.921556 
12.000000 ,1.000000  ,31.580000 ,100.000000,0.020000  ,0.011834  ,0.029918  ,14.056931 
13.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.015133  ,0.030340  ,14.028384 
14.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.012054  ,0.030615  ,13.979172 
15.000000 ,1.000000  ,31.580000 ,100.000000,0.020000  ,0.013048  ,0.030613  ,14.041766 
16.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.014990  ,0.030955  ,14.025587 
17.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.013603  ,0.031047  ,14.053614 
18.000000 ,1.000000  ,31.520000 ,100.000000,0.020000  ,0.014970  ,0.031364  ,14.012572 
19.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.013333  ,0.031922  ,14.112751 
20.000000 ,1.000000  ,31.520000 ,100.000000,0.020000  ,0.010866  ,0.030920  ,14.036419 
21.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.012579  ,0.030627  ,14.157584 
22.000000 ,1.000000  ,31.580000 ,100.000000,0.040000  ,0.025504  ,0.030089  ,14.029850 
23.000000 ,1.000000  ,31.540000 ,100.000000,0.040000  ,0.029617  ,0.031803  ,14.078180 
24.000000 ,1.000000  ,31.600000 ,100.000000,0.040000  ,0.022642  ,0.029813  ,14.058287 
25.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.023104  ,0.030381  ,14.131289 
26.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.025871  ,0.030862  ,14.014376 
27.000000 ,1.000000  ,31.540000 ,100.000000,0.040000  ,0.028483  ,0.031459  ,14.051960 
28.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.024665  ,0.031614  ,14.136142 
29.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.026386  ,0.030744  ,14.091770 
30.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.032974  ,0.030169  ,14.093008 
31.000000 ,1.000000  ,31.540000 ,100.000000,0.060000  ,0.024228  ,0.030330  ,14.102607 
32.000000 ,1.000000  ,31.560000 ,100.000000,0.060000  ,0.039972  ,0.030261  ,14.136388 
33.000000 ,1.000000  ,31.560000 ,100.000000,0.060000  ,0.037329  ,0.030179  ,14.097729 
34.000000 ,1.000000  ,31.540000 ,100.000000,0.060000  ,0.034201  ,0.031004  ,14.023940 
35.000000 ,1.000000  ,31.580000 ,100.000000,0.060000  ,0.044312  ,0.029987  ,14.065573 
36.000000 ,1.000000  ,31.560000 ,100.000000,0.060000  ,0.042527  ,0.030451  ,13.966224 
37.000000 ,1.000000  ,31.560000 ,100.000000,0.060000  ,0.035148  ,0.030311  ,14.193275 
38.000000 ,1.000000  ,31.560000 ,100.000000,0.060000  ,0.036357  ,0.030557  ,13.985143 
39.000000 ,1.000000  ,31.540000 ,100.000000,0.060000  ,0.034300  ,0.031453  ,14.009779 
40.000000 ,1.000000  ,31.580000 ,100.000000,0.060000  ,0.042601  ,0.030918  ,13.959511 
41.000000 ,1.000000  ,31.540000 ,100.000000,0.080000  ,0.040826  ,0.030634  ,13.933752 
42.000000 ,1.000000  ,31.560000 ,100.000000,0.080000  ,0.055654  ,0.031069  ,14.005663 
43.000000 ,1.000000  ,31.540000 ,100.000000,0.080000  ,0.052517  ,0.030771  ,14.097340 
44.000000 ,1.000000  ,31.560000 ,100.000000,0.080000  ,0.044596  ,0.030474  ,14.055597 
45.000000 ,1.000000  ,31.560000 ,100.000000,0.080000  ,0.053089  ,0.029869  ,13.985057 
46.000000 ,1.000000  ,31.580000 ,100.000000,0.080000  ,0.057109  ,0.030780  ,14.066418 
47.000000 ,1.000000  ,31.580000 ,100.000000,0.080000  ,0.051481  ,0.029647  ,14.133153 
48.000000 ,1.000000  ,31.560000 ,100.000000,0.080000  ,0.049730  ,0.031420  ,14.190982 
49.000000 ,1.000000  ,31.560000 ,100.000000,0.080000  ,0.046119  ,0.030680  ,13.970962 
50.000000 ,1.000000  ,31.560000 ,100.000000,0.080000  ,0.049247  ,0.030297  ,13.961232 
51.000000 ,1.000000  ,31.540000 ,100.000000,0.100000  ,0.051342  ,0.030453  ,13.990291 
52.000000 ,1.000000  ,31.540000 ,100.000000,0.100000  ,0.071742  ,0.030575  ,14.075516 
53.000000 ,1.000000  ,31.580000 ,100.000000,0.100000  ,0.057671  ,0.030540  ,14.039416 
54.000000 ,1.000000  ,31.580000 ,100.000000,0.100000  ,0.078154  ,0.030695  ,14.020177 
55.000000 ,1.000000  ,31.540000 ,100.000000,0.100000  ,0.062968  ,0.031308  ,14.065942 
56.000000 ,1.000000  ,31.580000 ,100.000000,0.100000  ,0.064268  ,0.030421  ,14.096079 
57.000000 ,1.000000  ,31.540000 ,100.000000,0.100000  ,0.066254  ,0.031142  ,14.112133 
58.000000 ,1.000000  ,31.580000 ,100.000000,0.100000  ,0.063836  ,0.030064  ,14.012105 
59.000000 ,1.000000  ,31.540000 ,100.000000,0.100000  ,0.078558  ,0.030826  ,14.129961 
60.000000 ,1.000000  ,31.600000 ,100.000000,0.100000  ,0.071615  ,0.030034  ,14.224466 
61.000000 ,1.000000  ,31.560000 ,100.000000,0.120000  ,0.060913  ,0.030992  ,14.057454 
62.000000 ,1.000000  ,31.540000 ,100.000000,0.120000  ,0.072970  ,0.030050  ,14.009330 
63.000000 ,1.000000  ,31.560000 ,100.000000,0.120000  ,0.080470  ,0.030751  ,14.113921 
64.000000 ,1.000000  ,31.560000 ,100.000000,0.120000  ,0.083779  ,0.031128  ,14.221631 
65.000000 ,1.000000  ,31.540000 ,100.000000,0.120000  ,0.081315  ,0.030834  ,13.942002 
66.000000 ,1.000000  ,31.560000 ,100.000000,0.120000  ,0.070430  ,0.030196  ,13.979266 
67.000000 ,1.000000  ,31.540000 ,100.000000,0.120000  ,0.089639  ,0.030833  ,14.111608 
