# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,-0.000000 ,0.024074  ,11.633689 
2.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,0.000000  ,0.024074  ,11.660560 
3.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,0.000000  ,0.024074  ,11.619047 
4.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,0.000000  ,0.024074  ,11.638892 
5.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,-0.000000 ,0.024074  ,11.639238 
6.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,-0.000000 ,0.024074  ,11.617631 
7.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,-0.000000 ,0.024074  ,11.630083 
8.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,-0.000000 ,0.024074  ,11.636949 
9.000000  ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,0.000000  ,0.024074  ,11.617840 
10.000000 ,0.000000  ,16.040000 ,45.550000 ,0.000000  ,0.000000  ,0.024074  ,11.627610 
11.000000 ,0.000000  ,16.040000 ,45.550000 ,0.020000  ,-0.000000 ,0.024074  ,11.683804 
12.000000 ,0.000000  ,16.240000 ,45.750000 ,0.020000  ,0.013720  ,0.028846  ,11.812705 
13.000000 ,0.000000  ,16.280000 ,45.450000 ,0.020000  ,0.012518  ,0.031096  ,12.104674 
14.000000 ,0.000000  ,14.820000 ,42.710000 ,0.020000  ,0.013966  ,0.024180  ,10.798103 
15.000000 ,0.000000  ,15.940000 ,45.340000 ,0.020000  ,0.014377  ,0.023359  ,11.645180 
16.000000 ,0.000000  ,23.440000 ,63.260000 ,0.020000  ,0.014740  ,0.036055  ,17.969933 
17.000000 ,0.000000  ,22.700000 ,63.260000 ,0.020000  ,0.011936  ,0.039085  ,17.460101 
18.000000 ,0.000000  ,16.020000 ,45.450000 ,0.020000  ,0.013313  ,0.028586  ,11.809500 
19.000000 ,0.000000  ,16.260000 ,45.550000 ,0.020000  ,0.012226  ,0.029208  ,11.838985 
20.000000 ,0.000000  ,27.960000 ,71.560000 ,0.020000  ,0.013211  ,0.076825  ,21.359245 
21.000000 ,0.000000  ,21.760000 ,60.930000 ,0.040000  ,0.013415  ,0.044467  ,16.567256 
22.000000 ,0.000000  ,15.460000 ,43.830000 ,0.040000  ,0.025245  ,0.029768  ,12.221006 
23.000000 ,0.000000  ,16.380000 ,45.950000 ,0.040000  ,0.027948  ,0.027488  ,12.034660 
24.000000 ,0.000000  ,16.120000 ,45.450000 ,0.040000  ,0.024250  ,0.026914  ,11.746414 
25.000000 ,0.000000  ,16.400000 ,45.650000 ,0.040000  ,0.023729  ,0.036643  ,12.096068 
26.000000 ,0.000000  ,16.220000 ,45.450000 ,0.040000  ,0.025976  ,0.031362  ,11.935785 
27.000000 ,0.000000  ,23.520000 ,63.360000 ,0.040000  ,0.030095  ,0.039508  ,18.943292 
28.000000 ,0.000000  ,15.920000 ,45.550000 ,0.040000  ,0.035941  ,0.020584  ,11.568069 
29.000000 ,0.000000  ,21.160000 ,60.630000 ,0.040000  ,0.023878  ,0.031104  ,16.828538 
30.000000 ,0.000000  ,21.340000 ,61.030000 ,0.040000  ,0.030073  ,0.027165  ,16.495763 
31.000000 ,0.000000  ,16.200000 ,45.750000 ,0.060000  ,0.028663  ,0.024635  ,11.742797 
32.000000 ,0.000000  ,15.660000 ,44.530000 ,0.060000  ,0.043636  ,0.026812  ,11.626795 
33.000000 ,0.000000  ,17.320000 ,45.650000 ,0.060000  ,0.043172  ,0.033261  ,12.759280 
34.000000 ,0.000000  ,16.560000 ,45.550000 ,0.060000  ,0.040907  ,0.041021  ,12.227997 
35.000000 ,0.000000  ,17.200000 ,45.450000 ,0.060000  ,0.037684  ,0.046957  ,12.765549 
36.000000 ,0.000000  ,21.180000 ,60.430000 ,0.060000  ,0.042164  ,0.036325  ,16.681509 
37.000000 ,0.000000  ,15.920000 ,45.450000 ,0.060000  ,0.041504  ,0.023959  ,12.303282 
38.000000 ,0.000000  ,16.300000 ,45.450000 ,0.060000  ,0.040878  ,0.034443  ,11.953327 
39.000000 ,0.000000  ,26.400000 ,70.850000 ,0.060000  ,0.045400  ,0.060983  ,21.274001 
40.000000 ,0.000000  ,16.260000 ,45.450000 ,0.060000  ,0.034518  ,0.033866  ,12.807945 
41.000000 ,0.000000  ,16.680000 ,46.660000 ,0.080000  ,0.038237  ,0.031234  ,12.277302 
42.000000 ,0.000000  ,23.500000 ,63.770000 ,0.080000  ,0.055184  ,0.052109  ,18.191141 
43.000000 ,0.000000  ,8.080000  ,23.480000 ,0.080000  ,0.049931  ,0.012683  ,6.468732  
44.000000 ,0.000000  ,14.720000 ,42.510000 ,0.080000  ,0.052740  ,0.023012  ,11.716872 
45.000000 ,0.000000  ,16.440000 ,45.650000 ,0.080000  ,0.061773  ,0.037047  ,12.126827 
46.000000 ,0.000000  ,16.540000 ,45.450000 ,0.080000  ,0.053022  ,0.034725  ,12.318024 
47.000000 ,0.000000  ,16.280000 ,45.950000 ,0.080000  ,0.055278  ,0.026818  ,11.987809 
48.000000 ,0.000000  ,20.120000 ,58.500000 ,0.080000  ,0.052951  ,0.037497  ,16.100577 
49.000000 ,0.000000  ,16.280000 ,45.140000 ,0.080000  ,0.049403  ,0.040603  ,12.032655 
50.000000 ,0.000000  ,14.980000 ,42.510000 ,0.080000  ,0.052583  ,0.031702  ,11.130479 
51.000000 ,0.000000  ,23.460000 ,63.360000 ,0.100000  ,0.049753  ,0.037165  ,18.133220 
52.000000 ,0.000000  ,16.300000 ,45.340000 ,0.100000  ,0.084341  ,0.039552  ,12.343749 
53.000000 ,0.000000  ,14.720000 ,42.910000 ,0.100000  ,0.058817  ,0.018704  ,10.843777 
54.000000 ,0.000000  ,21.340000 ,60.530000 ,0.100000  ,0.082421  ,0.037055  ,17.749082 
55.000000 ,0.000000  ,4.880000  ,10.630000 ,0.100000  ,0.071055  ,0.012179  ,4.651089  
