# lap_count, lap_success, laptime, completion, dt_gain, lookahead dist, aveTrackErr, Computation_time
1.000000  ,0.000000  ,8.100000  ,23.580000 ,0.000000  ,0.050000  ,0.008180  ,6.465197  
2.000000  ,1.000000  ,32.500000 ,100.000000,0.010000  ,0.130000  ,0.043505  ,31.643860 
3.000000  ,0.000000  ,4.020000  ,13.970000 ,0.020000  ,0.205720  ,0.008616  ,3.749304  
4.000000  ,0.000000  ,4.600000  ,13.870000 ,0.030000  ,0.285004  ,0.012283  ,4.858864  
5.000000  ,0.000000  ,3.080000  ,8.910000  ,0.040000  ,0.257645  ,0.008080  ,3.235542  
6.000000  ,0.000000  ,4.180000  ,10.830000 ,0.050000  ,0.392977  ,0.016197  ,4.302415  
7.000000  ,0.000000  ,3.160000  ,8.100000  ,0.060000  ,0.110735  ,0.016567  ,3.753656  
8.000000  ,0.000000  ,2.520000  ,7.090000  ,0.070000  ,0.110848  ,0.008813  ,2.788484  
9.000000  ,0.000000  ,2.780000  ,7.890000  ,0.080000  ,0.103035  ,0.009017  ,3.232114  
10.000000 ,0.000000  ,2.780000  ,7.790000  ,0.090000  ,0.163674  ,0.008569  ,3.459839  
11.000000 ,0.000000  ,2.740000  ,7.690000  ,0.100000  ,0.557525  ,0.007575  ,3.316010  
12.000000 ,0.000000  ,2.840000  ,7.590000  ,0.110000  ,0.250573  ,0.009721  ,3.600171  
13.000000 ,0.000000  ,2.760000  ,7.590000  ,0.120000  ,0.657835  ,0.010020  ,3.670744  
14.000000 ,0.000000  ,2.740000  ,7.390000  ,0.130000  ,0.698532  ,0.009572  ,3.814528  
15.000000 ,0.000000  ,2.740000  ,7.390000  ,0.140000  ,0.743599  ,0.010854  ,3.734686  
16.000000 ,0.000000  ,2.740000  ,7.290000  ,0.150000  ,0.796579  ,0.010487  ,3.745774  
17.000000 ,0.000000  ,2.940000  ,7.190000  ,0.160000  ,0.157147  ,0.014429  ,3.934729  
18.000000 ,0.000000  ,2.720000  ,6.980000  ,0.170000  ,0.886338  ,0.009631  ,3.477236  
19.000000 ,0.000000  ,2.700000  ,6.880000  ,0.180000  ,0.926554  ,0.009803  ,3.526235  
20.000000 ,0.000000  ,2.680000  ,6.780000  ,0.190000  ,0.974440  ,0.009268  ,3.400240  
21.000000 ,0.000000  ,2.840000  ,6.780000  ,0.200000  ,0.765368  ,0.012447  ,3.494810  
22.000000 ,0.000000  ,2.660000  ,6.580000  ,0.210000  ,1.070965  ,0.009089  ,3.140242  
23.000000 ,0.000000  ,2.820000  ,6.580000  ,0.220000  ,1.238333  ,0.012917  ,3.291096  
24.000000 ,0.000000  ,3.040000  ,6.780000  ,0.230000  ,1.213614  ,0.017757  ,3.989825  
25.000000 ,0.000000  ,2.560000  ,6.280000  ,0.240000  ,1.215656  ,0.008529  ,3.136233  
26.000000 ,0.000000  ,2.480000  ,6.070000  ,0.250000  ,1.260953  ,0.008144  ,3.184863  
27.000000 ,0.000000  ,2.460000  ,5.970000  ,0.260000  ,1.308951  ,0.007818  ,3.130365  
28.000000 ,0.000000  ,3.160000  ,6.780000  ,0.270000  ,1.407666  ,0.019017  ,4.116678  
29.000000 ,0.000000  ,2.400000  ,5.670000  ,0.280000  ,0.390849  ,0.007172  ,3.461059  
30.000000 ,0.000000  ,3.340000  ,6.980000  ,0.290000  ,0.272890  ,0.019723  ,4.743318  
31.000000 ,0.000000  ,2.600000  ,5.970000  ,0.300000  ,0.579453  ,0.010078  ,3.425378  
32.000000 ,0.000000  ,3.340000  ,6.880000  ,0.310000  ,0.386265  ,0.020321  ,4.472629  
33.000000 ,0.000000  ,3.220000  ,6.780000  ,0.320000  ,2.211898  ,0.018276  ,4.393235  
34.000000 ,0.000000  ,3.440000  ,7.090000  ,0.330000  ,0.276230  ,0.021242  ,4.564842  
35.000000 ,0.000000  ,2.140000  ,4.960000  ,0.340000  ,1.682655  ,0.004176  ,2.673344  
36.000000 ,0.000000  ,3.340000  ,7.190000  ,0.350000  ,2.850000  ,0.017741  ,4.515722  
37.000000 ,0.000000  ,3.360000  ,7.390000  ,0.360000  ,0.305043  ,0.015878  ,4.657617  
38.000000 ,0.000000  ,3.400000  ,7.690000  ,0.370000  ,3.010000  ,0.016671  ,4.609958  
39.000000 ,0.000000  ,1.900000  ,4.250000  ,0.380000  ,1.862324  ,0.002979  ,2.348228  
40.000000 ,0.000000  ,3.200000  ,6.980000  ,0.390000  ,3.170000  ,0.013649  ,4.308223  
41.000000 ,0.000000  ,3.800000  ,8.700000  ,0.400000  ,3.250000  ,0.011858  ,5.126102  
42.000000 ,0.000000  ,3.240000  ,6.980000  ,0.410000  ,0.344429  ,0.015655  ,4.197024  
43.000000 ,0.000000  ,3.200000  ,6.980000  ,0.420000  ,3.410000  ,0.015623  ,4.395570  
44.000000 ,0.000000  ,2.840000  ,6.170000  ,0.430000  ,3.490000  ,0.007031  ,3.776401  
45.000000 ,0.000000  ,1.640000  ,3.540000  ,0.440000  ,2.221301  ,0.002113  ,1.834358  
46.000000 ,0.000000  ,1.760000  ,3.850000  ,0.450000  ,2.211513  ,0.002882  ,1.876328  
47.000000 ,0.000000  ,3.960000  ,9.210000  ,0.460000  ,2.946081  ,0.017303  ,5.638567  
48.000000 ,0.000000  ,3.900000  ,9.110000  ,0.470000  ,1.918854  ,0.017416  ,4.940042  
49.000000 ,0.000000  ,3.420000  ,7.790000  ,0.480000  ,0.431831  ,0.014034  ,4.372315  
50.000000 ,0.000000  ,1.700000  ,3.640000  ,0.490000  ,2.356450  ,0.002650  ,1.931877  
