# lap_count, lap_success, laptime, completion, delay time, NA, aveTrackErr, Computation_time
1.000000  ,1.000000  ,29.640000 ,100.000000,0.000000  ,0.000000  ,0.014040  ,13.086872 
2.000000  ,0.000000  ,18.900000 ,63.320000 ,10.000000 ,0.000000  ,0.012604  ,8.223707  
3.000000  ,0.000000  ,14.460000 ,46.000000 ,20.000000 ,0.000000  ,0.010428  ,6.223898  
4.000000  ,0.000000  ,1.780000  ,2.250000  ,30.000000 ,0.000000  ,0.000828  ,0.814747  
5.000000  ,0.000000  ,8.100000  ,20.080000 ,40.000000 ,0.000000  ,0.013838  ,3.942161  
6.000000  ,0.000000  ,2.040000  ,2.560000  ,50.000000 ,0.000000  ,0.001727  ,1.006553  
7.000000  ,0.000000  ,2.140000  ,2.770000  ,60.000000 ,0.000000  ,0.002080  ,1.131059  
8.000000  ,0.000000  ,4.500000  ,6.150000  ,70.000000 ,0.000000  ,0.006620  ,3.952108  
9.000000  ,0.000000  ,3.720000  ,2.660000  ,80.000000 ,0.000000  ,0.003580  ,1.718931  
10.000000 ,0.000000  ,3.040000  ,2.250000  ,90.000000 ,0.000000  ,0.003252  ,1.486320  
