# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,32.440000 ,100.000000,0.000000  ,0.000000  ,0.030244  ,14.504358 
2.000000  ,1.000000  ,31.560000 ,100.000000,0.000000  ,-0.000000 ,0.030443  ,13.991829 
3.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,-0.000000 ,0.030040  ,14.057577 
4.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,0.000000  ,0.031028  ,14.127865 
5.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,-0.000000 ,0.031170  ,13.955179 
6.000000  ,1.000000  ,31.560000 ,100.000000,0.000000  ,0.000000  ,0.030605  ,14.150484 
7.000000  ,1.000000  ,31.520000 ,100.000000,0.000000  ,-0.000000 ,0.031510  ,14.007281 
8.000000  ,1.000000  ,31.540000 ,100.000000,0.000000  ,0.000000  ,0.031813  ,14.041676 
9.000000  ,1.000000  ,31.560000 ,100.000000,0.000000  ,0.000000  ,0.029545  ,14.035557 
10.000000 ,1.000000  ,31.540000 ,100.000000,0.000000  ,0.000000  ,0.030883  ,13.943587 
11.000000 ,1.000000  ,31.540000 ,100.000000,0.020000  ,0.000000  ,0.031698  ,13.984891 
12.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.012608  ,0.030886  ,14.062409 
13.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.011763  ,0.030817  ,14.030946 
14.000000 ,1.000000  ,31.540000 ,100.000000,0.020000  ,0.015408  ,0.031469  ,14.093099 
15.000000 ,1.000000  ,31.540000 ,100.000000,0.020000  ,0.014591  ,0.030144  ,14.072182 
16.000000 ,1.000000  ,31.540000 ,100.000000,0.020000  ,0.013596  ,0.030561  ,14.058787 
17.000000 ,1.000000  ,31.540000 ,100.000000,0.020000  ,0.016967  ,0.030987  ,14.013227 
18.000000 ,1.000000  ,31.540000 ,100.000000,0.020000  ,0.011264  ,0.031448  ,13.997068 
19.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.013348  ,0.031399  ,13.947412 
20.000000 ,1.000000  ,31.560000 ,100.000000,0.020000  ,0.014470  ,0.031247  ,14.076273 
21.000000 ,1.000000  ,31.540000 ,100.000000,0.040000  ,0.011678  ,0.030943  ,14.114570 
22.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.027208  ,0.031483  ,14.121499 
23.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.029496  ,0.031322  ,14.100146 
24.000000 ,1.000000  ,31.540000 ,100.000000,0.040000  ,0.028331  ,0.033624  ,14.038915 
25.000000 ,1.000000  ,31.580000 ,100.000000,0.040000  ,0.030136  ,0.030196  ,14.003539 
26.000000 ,1.000000  ,31.580000 ,100.000000,0.040000  ,0.026119  ,0.031578  ,14.212816 
27.000000 ,1.000000  ,31.540000 ,100.000000,0.040000  ,0.026667  ,0.030779  ,14.017315 
28.000000 ,1.000000  ,31.540000 ,100.000000,0.040000  ,0.027183  ,0.033984  ,14.047360 
29.000000 ,1.000000  ,31.580000 ,100.000000,0.040000  ,0.024440  ,0.031031  ,13.965339 
30.000000 ,1.000000  ,31.560000 ,100.000000,0.040000  ,0.027908  ,0.031635  ,14.116849 
31.000000 ,1.000000  ,31.560000 ,100.000000,0.060000  ,0.028575  ,0.031048  ,14.042949 
32.000000 ,1.000000  ,31.540000 ,100.000000,0.060000  ,0.037323  ,0.031354  ,14.218887 
33.000000 ,1.000000  ,31.600000 ,100.000000,0.060000  ,0.043464  ,0.030031  ,14.100693 
34.000000 ,1.000000  ,31.580000 ,100.000000,0.060000  ,0.045173  ,0.031973  ,14.050755 
35.000000 ,0.000000  ,1.540000  ,6.070000  ,0.060000  ,0.022489  ,0.002034  ,0.797305  
36.000000 ,1.000000  ,32.440000 ,100.000000,0.060000  ,0.040052  ,0.031168  ,14.393843 
37.000000 ,1.000000  ,31.560000 ,100.000000,0.060000  ,0.040414  ,0.032706  ,14.103102 
38.000000 ,1.000000  ,31.540000 ,100.000000,0.060000  ,0.036193  ,0.032929  ,14.115579 
39.000000 ,1.000000  ,31.560000 ,100.000000,0.060000  ,0.040700  ,0.031332  ,14.180987 
40.000000 ,1.000000  ,31.580000 ,100.000000,0.060000  ,0.045903  ,0.032597  ,14.269903 
41.000000 ,1.000000  ,31.540000 ,100.000000,0.080000  ,0.041549  ,0.033381  ,14.046839 
42.000000 ,0.000000  ,16.120000 ,53.240000 ,0.080000  ,0.048178  ,0.016509  ,7.306078  
43.000000 ,1.000000  ,32.480000 ,100.000000,0.080000  ,0.055591  ,0.031223  ,14.480293 
44.000000 ,1.000000  ,31.580000 ,100.000000,0.080000  ,0.051698  ,0.033601  ,14.042562 
45.000000 ,1.000000  ,31.560000 ,100.000000,0.080000  ,0.054537  ,0.031753  ,14.062038 
46.000000 ,0.000000  ,1.380000  ,5.470000  ,0.080000  ,0.052676  ,0.002256  ,0.744071  
47.000000 ,1.000000  ,32.440000 ,99.800000 ,0.080000  ,0.047995  ,0.033226  ,14.502662 
48.000000 ,0.000000  ,16.000000 ,52.730000 ,0.080000  ,0.051083  ,0.016300  ,7.258208  
49.000000 ,1.000000  ,32.460000 ,99.800000 ,0.080000  ,0.061041  ,0.029906  ,14.366987 
50.000000 ,0.000000  ,1.560000  ,6.070000  ,0.080000  ,0.037795  ,0.002243  ,0.795044  
51.000000 ,0.000000  ,17.160000 ,53.740000 ,0.100000  ,0.057372  ,0.015194  ,7.606853  
52.000000 ,1.000000  ,32.480000 ,100.000000,0.100000  ,0.061836  ,0.033234  ,14.474417 
53.000000 ,1.000000  ,32.400000 ,100.000000,0.100000  ,0.074336  ,0.043313  ,14.443236 
54.000000 ,1.000000  ,31.540000 ,100.000000,0.100000  ,0.069931  ,0.034537  ,14.284767 
55.000000 ,1.000000  ,31.600000 ,100.000000,0.100000  ,0.076226  ,0.037121  ,14.236627 
56.000000 ,1.000000  ,31.580000 ,100.000000,0.100000  ,0.055310  ,0.034503  ,14.160185 
57.000000 ,1.000000  ,31.580000 ,100.000000,0.100000  ,0.062368  ,0.032719  ,15.294856 
58.000000 ,0.000000  ,16.300000 ,54.050000 ,0.100000  ,0.076896  ,0.019120  ,7.515898  
59.000000 ,1.000000  ,32.500000 ,100.000000,0.100000  ,0.070783  ,0.031102  ,14.604496 
60.000000 ,0.000000  ,16.000000 ,52.830000 ,0.100000  ,0.059109  ,0.015200  ,7.389490  
61.000000 ,1.000000  ,32.480000 ,100.000000,0.120000  ,0.068698  ,0.033934  ,14.727081 
62.000000 ,1.000000  ,31.560000 ,100.000000,0.120000  ,0.081507  ,0.033920  ,14.445695 
63.000000 ,1.000000  ,31.580000 ,100.000000,0.120000  ,0.084610  ,0.032082  ,14.456741 
64.000000 ,1.000000  ,31.600000 ,100.000000,0.120000  ,0.088701  ,0.038222  ,14.719038 
65.000000 ,1.000000  ,31.560000 ,100.000000,0.120000  ,0.073434  ,0.033955  ,14.384879 
66.000000 ,1.000000  ,32.360000 ,100.000000,0.120000  ,0.078960  ,0.035229  ,14.876236 
67.000000 ,1.000000  ,32.580000 ,100.000000,0.120000  ,0.078267  ,0.038765  ,14.846560 
68.000000 ,1.000000  ,31.600000 ,100.000000,0.120000  ,0.074508  ,0.033105  ,14.458288 
69.000000 ,1.000000  ,32.540000 ,100.000000,0.120000  ,0.080706  ,0.039936  ,15.028694 
70.000000 ,1.000000  ,31.560000 ,100.000000,0.120000  ,0.076389  ,0.034098  ,14.281398 
71.000000 ,1.000000  ,32.320000 ,100.000000,0.140000  ,0.098427  ,0.036679  ,14.803603 
72.000000 ,0.000000  ,17.260000 ,53.950000 ,0.140000  ,0.084339  ,0.027315  ,8.086915  
73.000000 ,1.000000  ,33.460000 ,100.000000,0.140000  ,0.109508  ,0.037090  ,15.143735 
74.000000 ,1.000000  ,32.620000 ,99.800000 ,0.140000  ,0.098101  ,0.038583  ,14.962595 
75.000000 ,1.000000  ,32.620000 ,100.000000,0.140000  ,0.085817  ,0.038184  ,14.976390 
76.000000 ,0.000000  ,16.260000 ,53.850000 ,0.140000  ,0.087752  ,0.018456  ,7.587569  
77.000000 ,1.000000  ,33.440000 ,100.000000,0.140000  ,0.093116  ,0.036565  ,15.314595 
78.000000 ,1.000000  ,32.580000 ,100.000000,0.140000  ,0.077175  ,0.039422  ,15.036049 
79.000000 ,1.000000  ,32.500000 ,100.000000,0.140000  ,0.100130  ,0.045184  ,15.046258 
80.000000 ,1.000000  ,32.400000 ,100.000000,0.140000  ,0.087265  ,0.043579  ,14.940995 
81.000000 ,0.000000  ,1.480000  ,5.770000  ,0.160000  ,0.069193  ,0.002548  ,0.819806  
82.000000 ,1.000000  ,32.480000 ,100.000000,0.160000  ,0.089451  ,0.033500  ,14.895213 
83.000000 ,1.000000  ,31.540000 ,100.000000,0.160000  ,0.109818  ,0.035385  ,14.593535 
84.000000 ,0.000000  ,16.840000 ,52.730000 ,0.160000  ,0.102465  ,0.022520  ,7.868639  
85.000000 ,1.000000  ,32.480000 ,100.000000,0.160000  ,0.097790  ,0.035548  ,14.775671 
86.000000 ,1.000000  ,32.580000 ,100.000000,0.160000  ,0.102374  ,0.040927  ,14.957769 
87.000000 ,1.000000  ,31.580000 ,99.800000 ,0.160000  ,0.116436  ,0.034153  ,14.451600 
88.000000 ,1.000000  ,32.580000 ,100.000000,0.160000  ,0.106794  ,0.045429  ,15.123354 
89.000000 ,1.000000  ,32.400000 ,100.000000,0.160000  ,0.090344  ,0.039681  ,14.910460 
90.000000 ,1.000000  ,32.520000 ,100.000000,0.160000  ,0.111304  ,0.038146  ,15.019195 
91.000000 ,0.000000  ,15.920000 ,52.430000 ,0.180000  ,0.096185  ,0.018572  ,7.390099  
92.000000 ,1.000000  ,32.460000 ,100.000000,0.180000  ,0.122548  ,0.031765  ,14.719918 
93.000000 ,1.000000  ,33.580000 ,100.000000,0.180000  ,0.132946  ,0.047399  ,15.398680 
94.000000 ,0.000000  ,1.500000  ,5.970000  ,0.180000  ,0.104562  ,0.001010  ,0.804614  
95.000000 ,1.000000  ,33.440000 ,100.000000,0.180000  ,0.120391  ,0.037245  ,15.231927 
96.000000 ,0.000000  ,17.260000 ,54.350000 ,0.180000  ,0.112834  ,0.024260  ,8.069924  
97.000000 ,0.000000  ,16.940000 ,52.830000 ,0.180000  ,0.137637  ,0.016876  ,7.875983  
98.000000 ,0.000000  ,16.760000 ,52.130000 ,0.180000  ,0.125523  ,0.016921  ,7.678249  
