# lap_count, lap_success, laptime, completion, noise_scale, max_noise(m), aveTrackErr, Computation_time
1.000000  ,1.000000  ,26.080000 ,100.000000,0.000000  ,0.000000  ,0.032890  ,23.136183 
2.000000  ,1.000000  ,25.120000 ,100.000000,0.000000  ,0.000000  ,0.033153  ,22.461201 
3.000000  ,1.000000  ,25.140000 ,100.000000,0.000000  ,-0.000000 ,0.033193  ,22.286755 
4.000000  ,1.000000  ,25.140000 ,100.000000,0.000000  ,0.000000  ,0.032270  ,22.048955 
5.000000  ,1.000000  ,25.140000 ,100.000000,0.000000  ,0.000000  ,0.032588  ,22.173347 
6.000000  ,1.000000  ,25.180000 ,100.000000,0.000000  ,0.000000  ,0.032147  ,22.686047 
7.000000  ,1.000000  ,25.200000 ,100.000000,0.000000  ,-0.000000 ,0.032843  ,22.203456 
8.000000  ,1.000000  ,25.120000 ,100.000000,0.000000  ,-0.000000 ,0.032923  ,22.985620 
9.000000  ,1.000000  ,25.160000 ,100.000000,0.000000  ,0.000000  ,0.031997  ,22.459213 
10.000000 ,1.000000  ,25.120000 ,100.000000,0.000000  ,-0.000000 ,0.033003  ,22.290673 
11.000000 ,1.000000  ,25.140000 ,100.000000,0.020000  ,0.000000  ,0.032629  ,22.152345 
12.000000 ,1.000000  ,25.160000 ,100.000000,0.020000  ,0.015142  ,0.031719  ,22.982626 
13.000000 ,1.000000  ,25.160000 ,100.000000,0.020000  ,0.014164  ,0.032381  ,22.628486 
14.000000 ,1.000000  ,25.180000 ,100.000000,0.020000  ,0.013071  ,0.032694  ,22.716474 
15.000000 ,1.000000  ,25.120000 ,100.000000,0.020000  ,0.014256  ,0.033610  ,22.580733 
16.000000 ,1.000000  ,25.180000 ,100.000000,0.020000  ,0.016729  ,0.031878  ,22.900812 
17.000000 ,1.000000  ,25.120000 ,100.000000,0.020000  ,0.013087  ,0.032161  ,22.555258 
18.000000 ,1.000000  ,25.180000 ,100.000000,0.020000  ,0.013409  ,0.032575  ,22.943354 
19.000000 ,1.000000  ,25.160000 ,100.000000,0.020000  ,0.012238  ,0.033336  ,22.641905 
20.000000 ,1.000000  ,25.120000 ,100.000000,0.020000  ,0.012078  ,0.032987  ,22.667060 
21.000000 ,1.000000  ,25.160000 ,100.000000,0.040000  ,0.012441  ,0.032679  ,23.004514 
22.000000 ,1.000000  ,25.160000 ,100.000000,0.040000  ,0.028713  ,0.032955  ,23.858382 
23.000000 ,1.000000  ,25.160000 ,100.000000,0.040000  ,0.029342  ,0.032943  ,22.827558 
24.000000 ,1.000000  ,25.180000 ,100.000000,0.040000  ,0.036761  ,0.031612  ,22.883618 
25.000000 ,1.000000  ,25.160000 ,100.000000,0.040000  ,0.026527  ,0.031244  ,22.907524 
26.000000 ,1.000000  ,25.160000 ,100.000000,0.040000  ,0.027897  ,0.034965  ,22.774088 
27.000000 ,1.000000  ,25.180000 ,100.000000,0.040000  ,0.026111  ,0.031498  ,24.560883 
28.000000 ,1.000000  ,25.140000 ,100.000000,0.040000  ,0.027064  ,0.033651  ,23.142928 
29.000000 ,1.000000  ,25.120000 ,100.000000,0.040000  ,0.029832  ,0.033801  ,22.938509 
30.000000 ,1.000000  ,25.140000 ,100.000000,0.040000  ,0.027645  ,0.033313  ,22.774273 
31.000000 ,1.000000  ,25.160000 ,100.000000,0.060000  ,0.026874  ,0.032671  ,22.778359 
32.000000 ,1.000000  ,25.180000 ,100.000000,0.060000  ,0.039994  ,0.032364  ,23.122136 
33.000000 ,1.000000  ,26.140000 ,100.000000,0.060000  ,0.044198  ,0.046141  ,24.322452 
34.000000 ,1.000000  ,26.080000 ,100.000000,0.060000  ,0.041370  ,0.040543  ,23.855983 
35.000000 ,1.000000  ,25.160000 ,100.000000,0.060000  ,0.044468  ,0.032736  ,22.764579 
36.000000 ,0.000000  ,2.000000  ,9.280000  ,0.060000  ,0.034162  ,0.002830  ,2.211044  
37.000000 ,0.000000  ,2.960000  ,9.400000  ,0.060000  ,0.033924  ,0.002541  ,2.888085  
38.000000 ,1.000000  ,26.140000 ,100.000000,0.060000  ,0.047101  ,0.033604  ,23.765759 
39.000000 ,0.000000  ,4.580000  ,21.390000 ,0.060000  ,0.035957  ,0.005257  ,5.343967  
40.000000 ,0.000000  ,5.460000  ,21.030000 ,0.060000  ,0.032079  ,0.006501  ,6.185763  
41.000000 ,1.000000  ,27.180000 ,100.000000,0.080000  ,0.039855  ,0.043179  ,25.027591 
42.000000 ,1.000000  ,26.120000 ,100.000000,0.080000  ,0.055008  ,0.045081  ,25.155380 
43.000000 ,0.000000  ,1.740000  ,7.870000  ,0.080000  ,0.044330  ,0.002550  ,1.930339  
44.000000 ,0.000000  ,4.860000  ,18.100000 ,0.080000  ,0.059741  ,0.006566  ,5.293239  
45.000000 ,1.000000  ,27.140000 ,100.000000,0.080000  ,0.053118  ,0.053225  ,25.259947 
46.000000 ,1.000000  ,26.300000 ,100.000000,0.080000  ,0.053076  ,0.055728  ,24.146767 
47.000000 ,1.000000  ,25.180000 ,100.000000,0.080000  ,0.061895  ,0.040685  ,24.168052 
48.000000 ,1.000000  ,26.200000 ,100.000000,0.080000  ,0.061259  ,0.053107  ,23.970995 
49.000000 ,0.000000  ,4.520000  ,21.030000 ,0.080000  ,0.044536  ,0.006014  ,5.300218  
50.000000 ,0.000000  ,6.260000  ,20.330000 ,0.080000  ,0.042611  ,0.009101  ,6.762862  
51.000000 ,0.000000  ,5.560000  ,21.500000 ,0.100000  ,0.049249  ,0.006508  ,6.373742  
52.000000 ,0.000000  ,3.000000  ,9.400000  ,0.100000  ,0.053798  ,0.002910  ,3.069729  
53.000000 ,0.000000  ,22.060000 ,80.610000 ,0.100000  ,0.066118  ,0.035366  ,22.433850 
54.000000 ,1.000000  ,27.260000 ,100.000000,0.100000  ,0.066534  ,0.053054  ,25.677507 
55.000000 ,0.000000  ,2.760000  ,12.570000 ,0.100000  ,0.046983  ,0.005895  ,3.154167  
56.000000 ,0.000000  ,3.840000  ,13.280000 ,0.100000  ,0.057969  ,0.007105  ,4.056082  
57.000000 ,0.000000  ,3.720000  ,12.930000 ,0.100000  ,0.066366  ,0.007988  ,3.920922  
58.000000 ,0.000000  ,5.420000  ,20.800000 ,0.100000  ,0.055879  ,0.013247  ,5.987257  
59.000000 ,0.000000  ,4.060000  ,14.340000 ,0.100000  ,0.060663  ,0.007918  ,4.235060  
60.000000 ,0.000000  ,5.080000  ,19.270000 ,0.100000  ,0.074582  ,0.007475  ,5.630136  
61.000000 ,0.000000  ,5.480000  ,21.030000 ,0.120000  ,0.064775  ,0.015515  ,6.070785  
62.000000 ,0.000000  ,5.300000  ,19.740000 ,0.120000  ,0.079687  ,0.009939  ,5.895902  
63.000000 ,0.000000  ,5.560000  ,21.500000 ,0.120000  ,0.069657  ,0.010888  ,6.092817  
64.000000 ,0.000000  ,3.740000  ,12.810000 ,0.120000  ,0.072391  ,0.005658  ,4.001917  
65.000000 ,1.000000  ,28.160000 ,100.000000,0.120000  ,0.080893  ,0.052570  ,25.760989 
66.000000 ,1.000000  ,26.240000 ,100.000000,0.120000  ,0.077828  ,0.047421  ,24.848913 
67.000000 ,0.000000  ,1.360000  ,6.110000  ,0.120000  ,0.097616  ,0.003625  ,1.506690  
68.000000 ,1.000000  ,28.100000 ,100.000000,0.120000  ,0.084290  ,0.045409  ,25.760339 
69.000000 ,0.000000  ,1.680000  ,7.760000  ,0.120000  ,0.070841  ,0.003982  ,1.877645  
70.000000 ,0.000000  ,3.940000  ,13.870000 ,0.120000  ,0.058654  ,0.006820  ,4.177334  
71.000000 ,1.000000  ,26.980000 ,99.760000 ,0.140000  ,0.081641  ,0.044853  ,25.557945 
72.000000 ,1.000000  ,26.200000 ,99.760000 ,0.140000  ,0.109544  ,0.045875  ,24.590607 
73.000000 ,0.000000  ,3.380000  ,15.510000 ,0.140000  ,0.086651  ,0.007575  ,4.067390  
74.000000 ,1.000000  ,26.240000 ,100.000000,0.140000  ,0.087144  ,0.040913  ,25.172910 
75.000000 ,0.000000  ,3.780000  ,17.510000 ,0.140000  ,0.068772  ,0.006495  ,4.516957  
76.000000 ,0.000000  ,23.100000 ,81.080000 ,0.140000  ,0.111810  ,0.045621  ,22.104224 
77.000000 ,0.000000  ,6.260000  ,20.330000 ,0.140000  ,0.090757  ,0.009354  ,6.691523  
78.000000 ,1.000000  ,27.200000 ,100.000000,0.140000  ,0.099385  ,0.053064  ,25.734744 
79.000000 ,0.000000  ,1.900000  ,8.700000  ,0.140000  ,0.074349  ,0.002601  ,2.137830  
80.000000 ,0.000000  ,3.020000  ,9.640000  ,0.140000  ,0.081933  ,0.002992  ,3.171730  
81.000000 ,0.000000  ,6.420000  ,21.030000 ,0.160000  ,0.088879  ,0.006994  ,6.878500  
82.000000 ,0.000000  ,3.020000  ,9.050000  ,0.160000  ,0.106663  ,0.004294  ,2.947509  
83.000000 ,0.000000  ,6.440000  ,20.210000 ,0.160000  ,0.109120  ,0.016263  ,6.868051  
84.000000 ,0.000000  ,23.540000 ,82.610000 ,0.160000  ,0.099630  ,0.052891  ,22.723774 
85.000000 ,0.000000  ,3.440000  ,9.170000  ,0.160000  ,0.078943  ,0.010299  ,3.363434  
86.000000 ,0.000000  ,3.640000  ,12.340000 ,0.160000  ,0.108224  ,0.005465  ,3.940462  
87.000000 ,0.000000  ,3.680000  ,12.690000 ,0.160000  ,0.101279  ,0.006024  ,3.968144  
88.000000 ,0.000000  ,6.360000  ,20.920000 ,0.160000  ,0.100190  ,0.009131  ,7.240204  
89.000000 ,0.000000  ,6.240000  ,20.330000 ,0.160000  ,0.103949  ,0.010310  ,6.878836  
90.000000 ,0.000000  ,6.600000  ,21.500000 ,0.160000  ,0.105323  ,0.024141  ,7.221772  
91.000000 ,1.000000  ,27.100000 ,99.760000 ,0.180000  ,0.104018  ,0.049188  ,24.967220 
92.000000 ,0.000000  ,5.120000  ,19.040000 ,0.180000  ,0.091570  ,0.034866  ,5.862944  
93.000000 ,1.000000  ,28.160000 ,100.000000,0.180000  ,0.108514  ,0.047603  ,26.303373 
